target_protein,target_gene,source,direct_or_indirect,biochemical_potency,potency_nM,cellular_potency,assay_type,species,action,interaction_type,citation_source,fold_vs_most_potent,plausibly_selective_concentration,clinical_exposure
P05771,PRKCB,PubChem BioAssay,assay-derived (assay format varies; see records file),median 2.0 nM,2.0,,Confirmatory; Other,,,,"PubChem AIDs 1345308,1437218,1799253,1902439,445141 (PMIDs 19827831,21797275,28131714,35167283)",9.090909090909092,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P17252,PRKCA,PubChem BioAssay,assay-derived (assay format varies; see records file),median 2.1 nM,2.1,,Confirmatory; Other,,,,"PubChem AIDs 1345407,1437217,1799253,1902438,445140 (PMIDs 19827831,21797275,28131714,35167283)",9.545454545454545,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
O94806,PRKD3,PubChem BioAssay,assay-derived (assay format varies; see records file),median 2.1 nM,2.1,,Confirmatory,,,,PubChem AIDs 1902442 (PMIDs 35167283),9.545454545454545,yes - within 10x of the most potent target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P24723,PRKCH,PubChem BioAssay,assay-derived (assay format varies; see records file),median 6.1 nM,6.1000000000000005,,Confirmatory; Other,,,,"PubChem AIDs 1345396,1437216,1799253,445144,690002 (PMIDs 19827831,21797275,28131714)",27.72727272727273,partial - 10-100x weaker; engaged only above selective range,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Q02156,PRKCE,PubChem BioAssay,assay-derived (assay format varies; see records file),median 6.2 nM,6.2,,Confirmatory; Other,,,,"PubChem AIDs 1345397,1437220,1799253,1902443,445143 (PMIDs 19827831,21797275,28131714,35167283)",28.181818181818183,partial - 10-100x weaker; engaged only above selective range,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C eta,PRKCH,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 8.2,6.31,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1487,28.68181818181818,partial - 10-100x weaker; engaged only above selective range,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
protein kinase C epsilon,PRKCE,Guide to Pharmacology,direct (curated ligand-target affinity),pIC50 8.2,6.31,,pIC50,Human,Inhibition,Inhibitor,GtoPdb ligand 7946 / target 1486,28.68181818181818,partial - 10-100x weaker; engaged only above selective range,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Serine/threonine-protein kinase pim-1,PIM1,BindingDB,direct (measured binding affinity),IC50 50 nM,50.0,,IC50,Human,,,BindingDB monomer 33971,227.27272727272728,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PIM1,PubChem BioAssay,assay-derived (assay format varies; see records file),median 50.1 nM,50.12,,Confirmatory; Other,,,,"PubChem AIDs 493040,767454 (PMIDs 21336281,23937569)",227.8181818181818,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Protein kinase C gamma type,PRKCG,BindingDB,direct (measured binding affinity),IC50 64 nM,64.0,,IC50,Human,,,BindingDB monomer 33971,290.90909090909093,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Protein kinase C beta type,PRKCB,BindingDB,direct (measured binding affinity),IC50 234 nM,234.0,,IC50,Rat,,,BindingDB monomer 33971,1063.6363636363637,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P68404,Prkcb,PubChem BioAssay,assay-derived (assay format varies; see records file),median 234.0 nM,234.0,,Confirmatory,,,,PubChem AIDs 1437237 (PMIDs 28131714),1063.6363636363637,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,SYK,PubChem BioAssay,assay-derived (assay format varies; see records file),median 646.9 nM,646.9,,Confirmatory,,,,"PubChem AIDs 1963823,1963824 (PMIDs )",2940.4545454545455,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P49841,GSK3B,PubChem BioAssay,assay-derived (assay format varies; see records file),median 870.0 nM,870.0,,Confirmatory; Other,,,,"PubChem AIDs 445171,493040 (PMIDs 19827831,21336281)",3954.5454545454545,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P52333,JAK3,PubChem BioAssay,assay-derived (assay format varies; see records file),median 1500.0 nM,1500.0,,Confirmatory; Other,,,,"PubChem AIDs 445172,493040 (PMIDs 19827831,21336281)",6818.181818181818,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P78396,CCNA1,PubChem BioAssay,assay-derived (assay format varies; see records file),median 2300.0 nM,2300.0,,Confirmatory,,,,PubChem AIDs 445173 (PMIDs 19827831),10454.545454545454,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Cytochrome P450 3A4,CYP3A4,BindingDB,direct (measured binding affinity),Ki 2900 nM,2900.0,,Ki,Human,,,BindingDB monomer 33971,13181.818181818182,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P08684,CYP3A4,PubChem BioAssay,assay-derived (assay format varies; see records file),median 2900.0 nM,2900.0,,Confirmatory,,,,PubChem AIDs 690049 (PMIDs 21797275),13181.818181818182,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P00519,ABL1,PubChem BioAssay,assay-derived (assay format varies; see records file),median 3300.0 nM,3300.0,,Confirmatory,,,,PubChem AIDs 445174 (PMIDs 19827831),15000.0,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P35968,KDR,PubChem BioAssay,assay-derived (assay format varies; see records file),median 3900.0 nM,3900.0,,Confirmatory; Other,,,,"PubChem AIDs 445176,493040 (PMIDs 19827831,21336281)",17727.272727272728,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P35916,FLT4,PubChem BioAssay,assay-derived (assay format varies; see records file),median 4600.0 nM,4600.0,,Confirmatory; Other,,,,"PubChem AIDs 445177,493040 (PMIDs 19827831,21336281)",20909.090909090908,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Q05513,PRKCZ,PubChem BioAssay,assay-derived (assay format varies; see records file),median 5400.0 nM,5400.0,,Confirmatory; Other,,,,"PubChem AIDs 445154,493040 (PMIDs 19827831,21336281)",24545.454545454544,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P06241,FYN,PubChem BioAssay,assay-derived (assay format varies; see records file),median 5500.0 nM,5500.0,,Confirmatory,,,,PubChem AIDs 445178 (PMIDs 19827831),25000.0,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
Q15118,PDK1,PubChem BioAssay,assay-derived (assay format varies; see records file),median 6700.0 nM,6700.0,,Confirmatory,,,,PubChem AIDs 445179 (PMIDs 19827831),30454.545454545456,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
P30530,AXL,PubChem BioAssay,assay-derived (assay format varies; see records file),median 9100.0 nM,9100.0,,Confirmatory,,,,PubChem AIDs 445182 (PMIDs 19827831),41363.63636363636,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,NSD2,PubChem BioAssay,assay-derived (assay format varies; see records file),median 16360.1 nM,16360.099999999999,,Confirmatory,,,,"PubChem AIDs 1645876,1645877 (PMIDs )",74364.0909090909,no - >100x weaker than the primary target,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCD,PRKCD,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
GSK3B,GSK3B,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,,,DGIdb: DTC,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCE,PRKCE,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCQ,PRKCQ,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; DTC; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCH,PRKCH,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCA,PRKCA,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
GSK3A,GSK3A,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,,,DGIdb: DTC,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
PRKCB,PRKCB,DGIdb,curated interaction claim (directness NOT asserted by DGIdb),,,,,,inhibitor; inhibitor,INHIBITORY; INHIBITORY,DGIdb: ChEMBL; GuideToPharmacology,,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,AKT1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,AKT2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CAMK2A,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CAMK2B,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CAMK2D,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CAMK2G,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CDK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CDK2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,CDK5,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,EGFR,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,ERBB2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,FER,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,GRK5,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,GSK3A,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,LTK,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MARK3,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MST1R,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PDGFRB,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PDPK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PLK1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PRKAA1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PRKCG,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PRKCI,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PKN2,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,PRKG1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,MAP2K1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,RPS6KA3,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
,RPS6KB1,PubChem BioAssay,assay-derived (assay format varies; see records file),,,,Other,,,,PubChem AIDs 493040 (PMIDs 21336281),,no potency recorded,"sotrastaurin (AEB071) reached clinical trials (phase 2, e.g. psoriasis, transplant rejection, uveal melanoma); not an approved drug. ChEMBL max_phase recorded as 2 in stage 16. Exposure data are trial-level only."
