perturbation,perturbation_type,system,evidence_source,n_geo_series,geo_accessions,n_pubmed_cartilage,pubmed_pmids,best_system,best_system_n,systems_with_any_record,observation_source_derived,transfer_status,readout,n_pubmed_readout,inference
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,,,,,0 PubMed records link PRKCD in cartilage to 'IHH/PTHLH',NO_CHONDROCYTE_TRANSFER_EVIDENCE,IHH/PTHLH,0.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,,,,,0 PubMed records link PRKCD in cartilage to 'COL10A1',NO_CHONDROCYTE_TRANSFER_EVIDENCE,COL10A1,0.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,,,,,0 PubMed records link PRKCD in cartilage to 'terminal hypertrophic-cell size',NO_CHONDROCYTE_TRANSFER_EVIDENCE,terminal hypertrophic-cell size,0.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,37491820; 23951014; 20846705,,,,3 PubMed records link PRKCD in cartilage to 'apoptosis',evidence present,apoptosis,3.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,,,,,0 PubMed records link PRKCD in cartilage to 'mineralization',NO_CHONDROCYTE_TRANSFER_EVIDENCE,mineralization,0.0,
PRKCD,target (genetic or pathway),any cartilage system,PubMed,,,33,,,,,0 PubMed records link PRKCD in cartilage to 'bone-length gain',NO_CHONDROCYTE_TRANSFER_EVIDENCE,bone-length gain,0.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,32564456,,,,1 PubMed records link PRKCE in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,1.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,27072078,,,,1 PubMed records link PRKCE in cartilage to 'SOX9',evidence present,SOX9,1.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,27072078,,,,1 PubMed records link PRKCE in cartilage to 'COL2A1/ACAN',evidence present,COL2A1/ACAN,1.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,,,,,0 PubMed records link PRKCE in cartilage to 'IHH/PTHLH',NO_CHONDROCYTE_TRANSFER_EVIDENCE,IHH/PTHLH,0.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,27072078,,,,1 PubMed records link PRKCE in cartilage to 'COL10A1',evidence present,COL10A1,1.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,,,,,0 PubMed records link PRKCE in cartilage to 'terminal hypertrophic-cell size',NO_CHONDROCYTE_TRANSFER_EVIDENCE,terminal hypertrophic-cell size,0.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,,,,,0 PubMed records link PRKCE in cartilage to 'apoptosis',NO_CHONDROCYTE_TRANSFER_EVIDENCE,apoptosis,0.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,15368540,,,,1 PubMed records link PRKCE in cartilage to 'mineralization',evidence present,mineralization,1.0,
PRKCE,target (genetic or pathway),any cartilage system,PubMed,,,9,,,,,0 PubMed records link PRKCE in cartilage to 'bone-length gain',NO_CHONDROCYTE_TRANSFER_EVIDENCE,bone-length gain,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,29518347; 28050122; 16849501,,,,3 PubMed records link PRKCQ in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,3.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'SOX9',NO_CHONDROCYTE_TRANSFER_EVIDENCE,SOX9,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,16849501,,,,1 PubMed records link PRKCQ in cartilage to 'COL2A1/ACAN',evidence present,COL2A1/ACAN,1.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'IHH/PTHLH',NO_CHONDROCYTE_TRANSFER_EVIDENCE,IHH/PTHLH,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'COL10A1',NO_CHONDROCYTE_TRANSFER_EVIDENCE,COL10A1,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'terminal hypertrophic-cell size',NO_CHONDROCYTE_TRANSFER_EVIDENCE,terminal hypertrophic-cell size,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,29518347,,,,1 PubMed records link PRKCQ in cartilage to 'apoptosis',evidence present,apoptosis,1.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'mineralization',NO_CHONDROCYTE_TRANSFER_EVIDENCE,mineralization,0.0,
PRKCQ,target (genetic or pathway),any cartilage system,PubMed,,,4,,,,,0 PubMed records link PRKCQ in cartilage to 'bone-length gain',NO_CHONDROCYTE_TRANSFER_EVIDENCE,bone-length gain,0.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,42066931; 41539091; 40312428; 40045149,,,,43 PubMed records link GSK3B in cartilage to 'EdU/BrdU or cell-cycle output',evidence present,EdU/BrdU or cell-cycle output,43.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,41974925; 41475285; 35818189; 35803931,,,,17 PubMed records link GSK3B in cartilage to 'SOX9',evidence present,SOX9,17.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,41974925; 41224912; 38582587; 38072524,,,,33 PubMed records link GSK3B in cartilage to 'COL2A1/ACAN',evidence present,COL2A1/ACAN,33.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,33529250; 29299122; 35003616; 23124712,,,,5 PubMed records link GSK3B in cartilage to 'IHH/PTHLH',evidence present,IHH/PTHLH,5.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,37342217; 33529250; 32791354; 32723437,,,,7 PubMed records link GSK3B in cartilage to 'COL10A1',evidence present,COL10A1,7.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,26618897; 21325041,,,,2 PubMed records link GSK3B in cartilage to 'terminal hypertrophic-cell size',evidence present,terminal hypertrophic-cell size,2.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,41718903; 41224912; 40339496; 40070566,,,,25 PubMed records link GSK3B in cartilage to 'apoptosis',evidence present,apoptosis,25.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,37342217; 35747513; 35081258; 29913119,,,,8 PubMed records link GSK3B in cartilage to 'mineralization',evidence present,mineralization,8.0,
GSK3B,target (genetic or pathway),any cartilage system,PubMed,,,128,33609145; 27336854; 24760579; 22493717,,,,4 PubMed records link GSK3B in cartilage to 'bone-length gain',evidence present,bone-length gain,4.0,
