condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
camostat-mesilate,compound,continuous,protease,discovery compound,6,1,B,8,B08,L12A8,L12,L12A8-MT2-L,MT2-L,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,3,1,B,9,B09,L12A1,L12,L12A1-MT3-R,MT3-R,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,2,1,B,10,B10,L7A2,L7,L7A2-MT4-R,MT4-R,False
ertugliflozin,compound,continuous,transporter,discovery compound,5,1,B,11,B11,L14A3,L14,L14A3-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,C,1,C01,,,,,True
adrenalone,compound,continuous,GPCR,discovery compound,6,1,C,2,C02,L12A7,L12,L12A7-MT4-L,MT4-L,False
alexidine,compound,continuous,phosphatase,discovery compound,4,1,C,3,C03,L7A2,L7,L7A2-MT2-L,MT2-L,False
acipimox,compound,continuous,metabolic,discovery compound,6,1,C,4,C04,L5A3,L5,L5A3-MT3-L,MT3-L,False
cyclovalone,compound,continuous,transporter,discovery compound,3,1,C,5,C05,L4A1,L4,L4A1-MT2-R,MT2-R,False
doxycycline,compound,continuous,protease,discovery compound,1,1,C,6,C06,L14A5,L14,L14A5-MT3-L,MT3-L,False
cyclovalone,compound,continuous,transporter,discovery compound,6,1,C,7,C07,L11A6,L11,L11A6-MT2-R,MT2-R,False
fostamatinib,compound,continuous,kinase,discovery compound,5,1,C,8,C08,L5A7,L5,L5A7-MT3-R,MT3-R,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,4,1,C,9,C09,L6A8,L6,L6A8-MT2-L,MT2-L,False
bepridil,compound,continuous,ion channel,discovery compound,2,1,C,10,C10,L11A4,L11,L11A4-MT4-L,MT4-L,False
azelnidipine,compound,continuous,ion channel,discovery compound,5,1,C,11,C11,L2A1,L2,L2A1-MT4-L,MT4-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,D,1,D01,,,,,True
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,4,1,D,2,D02,L11A4,L11,L11A4-MT3-L,MT3-L,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,6,1,D,3,D03,L13A5,L13,L13A5-MT2-L,MT2-L,False
allopurinol,compound,continuous,metabolic,discovery compound,6,1,D,4,D04,L3A8,L3,L3A8-MT4-L,MT4-L,False
adrenalone,compound,continuous,GPCR,discovery compound,2,1,D,5,D05,L6A4,L6,L6A4-MT3-R,MT3-R,False
GS-143,compound,continuous,ubiquitin system,discovery compound,2,1,D,6,D06,L3A2,L3,L3A2-MT2-L,MT2-L,False
DG-172,compound,continuous,nuclear receptor,discovery compound,2,1,D,7,D07,L14A8,L14,L14A8-MT4-R,MT4-R,False
benserazide,compound,continuous,metabolic,discovery compound,5,1,D,8,D08,L12A5,L12,L12A5-MT2-L,MT2-L,False
acalabrutinib,compound,continuous,kinase,discovery compound,1,1,D,9,D09,L6A2,L6,L6A2-MT4-L,MT4-L,False
cilastatin,compound,continuous,protease,discovery compound,5,1,D,10,D10,L3A6,L3,L3A6-MT3-R,MT3-R,False
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,5,1,D,11,D11,L8A3,L8,L8A3-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,E,1,E01,,,,,True
ambroxol,compound,continuous,ion channel,discovery compound,6,1,E,2,E02,L13A3,L13,L13A3-MT4-R,MT4-R,False
albuterol,compound,continuous,GPCR,discovery compound,2,1,E,3,E03,L13A2,L13,L13A2-MT4-L,MT4-L,False
bepridil,compound,continuous,ion channel,discovery compound,3,1,E,4,E04,L1A4,L1,L1A4-MT2-R,MT2-R,False
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,6,1,E,5,E05,L14A4,L14,L14A4-MT4-L,MT4-L,False
dilazep,compound,continuous,transporter,discovery compound,5,1,E,6,E06,L10A3,L10,L10A3-MT2-R,MT2-R,False
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,5,1,E,7,E07,L1A4,L1,L1A4-MT2-L,MT2-L,False
aloxistatin,compound,continuous,protease,discovery compound,6,1,E,8,E08,L5A7,L5,L5A7-MT2-R,MT2-R,False
itacitinib,compound,continuous,kinase,discovery compound,6,1,E,9,E09,L3A1,L3,L3A1-MT2-L,MT2-L,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,6,1,E,10,E10,L13A6,L13,L13A6-MT3-R,MT3-R,False
abametapir,compound,continuous,protease,discovery compound,5,1,E,11,E11,L6A1,L6,L6A1-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,F,1,F01,,,,,True
GS-143,compound,continuous,ubiquitin system,discovery compound,6,1,F,2,F02,L4A6,L4,L4A6-MT4-R,MT4-R,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,3,1,F,3,F03,L11A1,L11,L11A1-MT4-L,MT4-L,False
cerulenin,compound,continuous,metabolic,discovery compound,2,1,F,4,F04,L6A8,L6,L6A8-MT3-L,MT3-L,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,1,1,F,5,F05,L12A5,L12,L12A5-MT3-R,MT3-R,False
azelnidipine,compound,continuous,ion channel,discovery compound,6,1,F,6,F06,L12A7,L12,L12A7-MT3-R,MT3-R,False
maprotiline,compound,continuous,transporter,discovery compound,2,1,F,7,F07,L6A6,L6,L6A6-MT2-L,MT2-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,5,1,F,8,F08,L7A1,L7,L7A1-MT2-L,MT2-L,False
adiphenine,compound,continuous,GPCR,discovery compound,5,1,F,9,F09,L1A7,L1,L1A7-MT3-R,MT3-R,False
fumagillin,compound,continuous,protease,discovery compound,4,1,F,10,F10,L7A5,L7,L7A5-MT2-L,MT2-L,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,1,1,F,11,F11,L4A2,L4,L4A2-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,G,1,G01,,,,,True
allopurinol,compound,continuous,metabolic,discovery compound,2,1,G,2,G02,L3A2,L3,L3A2-MT4-R,MT4-R,False
retinol,compound,continuous,mechanotransduction,discovery compound,2,1,G,3,G03,L8A4,L8,L8A4-MT2-R,MT2-R,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,1,1,G,4,G04,L11A5,L11,L11A5-MT2-R,MT2-R,False
adiphenine,compound,continuous,GPCR,discovery compound,4,1,G,5,G05,L10A6,L10,L10A6-MT2-R,MT2-R,False
DG-172,compound,continuous,nuclear receptor,discovery compound,3,1,G,6,G06,L14A3,L14,L14A3-MT4-L,MT4-L,False
aceclofenac,compound,continuous,GPCR,discovery compound,3,1,G,7,G07,L5A5,L5,L5A5-MT4-R,MT4-R,False
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,6,1,G,8,G08,L7A2,L7,L7A2-MT3-R,MT3-R,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,4,1,G,9,G09,L8A3,L8,L8A3-MT4-R,MT4-R,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,2,1,G,10,G10,L9A2,L9,L9A2-MT2-L,MT2-L,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,2,1,G,11,G11,L1A5,L1,L1A5-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,1,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,B,1,B01,,,,,True
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,2,2,B,2,B02,L5A6,L5,L5A6-MT4-R,MT4-R,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,6,2,B,3,B03,L4A6,L4,L4A6-MT2-L,MT2-L,False
aminopentamide,compound,continuous,GPCR,discovery compound,4,2,B,4,B04,L9A4,L9,L9A4-MT2-R,MT2-R,False
ertugliflozin,compound,continuous,transporter,discovery compound,6,2,B,5,B05,L8A8,L8,L8A8-MT4-L,MT4-L,False
aceclofenac,compound,continuous,GPCR,discovery compound,1,2,B,6,B06,L11A6,L11,L11A6-MT3-R,MT3-R,False
camostat-mesilate,compound,continuous,protease,discovery compound,4,2,B,7,B07,L2A7,L2,L2A7-MT3-L,MT3-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,1,2,B,8,B08,L14A2,L14,L14A2-MT3-L,MT3-L,False
ertugliflozin,compound,continuous,transporter,discovery compound,1,2,B,9,B09,L3A4,L3,L3A4-MT3-R,MT3-R,False
dilazep,compound,continuous,transporter,discovery compound,2,2,B,10,B10,L13A8,L13,L13A8-MT2-L,MT2-L,False
carglumic-acid,compound,continuous,metabolic,discovery compound,6,2,B,11,B11,L10A7,L10,L10A7-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,C,1,C01,,,,,True
maprotiline,compound,continuous,transporter,discovery compound,5,2,C,2,C02,L1A4,L1,L1A4-MT3-L,MT3-L,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,3,2,C,3,C03,L3A3,L3,L3A3-MT4-R,MT4-R,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,3,2,C,4,C04,L1A4,L1,L1A4-MT3-R,MT3-R,False
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,3,2,C,5,C05,L6A7,L6,L6A7-MT3-L,MT3-L,False
AS-1949490,compound,continuous,phosphatase,discovery compound,2,2,C,6,C06,L13A4,L13,L13A4-MT4-R,MT4-R,False
bepridil,compound,continuous,ion channel,discovery compound,6,2,C,7,C07,L4A2,L4,L4A2-MT2-R,MT2-R,False
allopurinol,compound,continuous,metabolic,discovery compound,5,2,C,8,C08,L13A3,L13,L13A3-MT3-R,MT3-R,False
camostat-mesilate,compound,continuous,protease,discovery compound,5,2,C,9,C09,L13A8,L13,L13A8-MT2-R,MT2-R,False
maprotiline,compound,continuous,transporter,discovery compound,3,2,C,10,C10,L7A4,L7,L7A4-MT3-L,MT3-L,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,3,2,C,11,C11,L14A1,L14,L14A1-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,D,1,D01,,,,,True
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,1,2,D,2,D02,L7A1,L7,L7A1-MT4-R,MT4-R,False
cobimetinib,compound,continuous,kinase,discovery compound,5,2,D,3,D03,L1A7,L1,L1A7-MT3-L,MT3-L,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,3,2,D,4,D04,L7A4,L7,L7A4-MT2-L,MT2-L,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,5,2,D,5,D05,L9A5,L9,L9A5-MT4-L,MT4-L,False
bempedoic-acid,compound,continuous,metabolic,discovery compound,1,2,D,6,D06,L3A5,L3,L3A5-MT4-L,MT4-L,False
adiphenine,compound,continuous,GPCR,discovery compound,6,2,D,7,D07,L12A3,L12,L12A3-MT2-L,MT2-L,False
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,3,2,D,8,D08,L11A8,L11,L11A8-MT4-R,MT4-R,False
acalabrutinib,compound,continuous,kinase,discovery compound,2,2,D,9,D09,L13A4,L13,L13A4-MT2-R,MT2-R,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,3,2,D,10,D10,L9A5,L9,L9A5-MT2-R,MT2-R,False
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,5,2,D,11,D11,L12A2,L12,L12A2-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,E,1,E01,,,,,True
abametapir,compound,continuous,protease,discovery compound,6,2,E,2,E02,L4A5,L4,L4A5-MT2-L,MT2-L,False
maprotiline,compound,continuous,transporter,discovery compound,1,2,E,3,E03,L9A1,L9,L9A1-MT3-L,MT3-L,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,3,2,E,4,E04,L3A7,L3,L3A7-MT4-R,MT4-R,False
benzbromarone,compound,continuous,ion channel,discovery compound,4,2,E,5,E05,L4A1,L4,L4A1-MT4-L,MT4-L,False
lorlatinib,compound,continuous,kinase,discovery compound,4,2,E,6,E06,L12A8,L12,L12A8-MT4-L,MT4-L,False
IU1,compound,continuous,ubiquitin system,discovery compound,4,2,E,7,E07,L12A3,L12,L12A3-MT4-L,MT4-L,False
F351,compound,continuous,growth factor / cytokine,discovery compound,5,2,E,8,E08,L4A7,L4,L4A7-MT4-L,MT4-L,False
aloxistatin,compound,continuous,protease,discovery compound,1,2,E,9,E09,L5A8,L5,L5A8-MT2-L,MT2-L,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,4,2,E,10,E10,L11A8,L11,L11A8-MT2-R,MT2-R,False
DG-172,compound,continuous,nuclear receptor,discovery compound,1,2,E,11,E11,L2A6,L2,L2A6-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,F,1,F01,,,,,True
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,4,2,F,2,F02,L3A8,L3,L3A8-MT3-R,MT3-R,False
itacitinib,compound,continuous,kinase,discovery compound,4,2,F,3,F03,L13A5,L13,L13A5-MT2-R,MT2-R,False
metolazone,compound,continuous,transporter,discovery compound,5,2,F,4,F04,L1A4,L1,L1A4-MT4-R,MT4-R,False
trapidil,compound,continuous,kinase,discovery compound,1,2,F,5,F05,L5A8,L5,L5A8-MT4-R,MT4-R,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,5,2,F,6,F06,L6A1,L6,L6A1-MT4-L,MT4-L,False
abametapir,compound,continuous,protease,discovery compound,3,2,F,7,F07,L6A5,L6,L6A5-MT4-R,MT4-R,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,3,2,F,8,F08,L8A6,L8,L8A6-MT4-L,MT4-L,False
aminopentamide,compound,continuous,GPCR,discovery compound,1,2,F,9,F09,L9A2,L9,L9A2-MT4-L,MT4-L,False
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,2,2,F,10,F10,L5A6,L5,L5A6-MT4-L,MT4-L,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,2,2,F,11,F11,L4A8,L4,L4A8-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,G,1,G01,,,,,True
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,4,2,G,2,G02,L8A2,L8,L8A2-MT4-L,MT4-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,2,2,G,3,G03,L7A3,L7,L7A3-MT3-L,MT3-L,False
ATN-161,compound,continuous,mechanotransduction,discovery compound,6,2,G,4,G04,L2A2,L2,L2A2-MT2-L,MT2-L,False
tacrolimus,compound,continuous,phosphatase,discovery compound,3,2,G,5,G05,L2A2,L2,L2A2-MT2-R,MT2-R,False
abametapir,compound,continuous,protease,discovery compound,1,2,G,6,G06,L14A5,L14,L14A5-MT2-L,MT2-L,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,2,2,G,7,G07,L5A3,L5,L5A3-MT4-R,MT4-R,False
encorafenib,compound,continuous,kinase,discovery compound,6,2,G,8,G08,L1A5,L1,L1A5-MT4-R,MT4-R,False
acalabrutinib,compound,continuous,kinase,discovery compound,4,2,G,9,G09,L14A1,L14,L14A1-MT3-L,MT3-L,False
alogliptin,compound,continuous,protease,discovery compound,3,2,G,10,G10,L12A8,L12,L12A8-MT4-R,MT4-R,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,6,2,G,11,G11,L7A6,L7,L7A6-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,2,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,B,1,B01,,,,,True
odanacatib,compound,continuous,protease,discovery compound,5,3,B,2,B02,L8A1,L8,L8A1-MT2-L,MT2-L,False
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,6,3,B,3,B03,L11A5,L11,L11A5-MT3-R,MT3-R,False
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,2,3,B,4,B04,L10A7,L10,L10A7-MT2-L,MT2-L,False
cobimetinib,compound,continuous,kinase,discovery compound,4,3,B,5,B05,L11A1,L11,L11A1-MT3-R,MT3-R,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,2,3,B,6,B06,L7A2,L7,L7A2-MT4-L,MT4-L,False
acefylline,compound,continuous,GPCR,discovery compound,3,3,B,7,B07,L4A7,L4,L4A7-MT2-R,MT2-R,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,1,3,B,8,B08,L7A7,L7,L7A7-MT3-R,MT3-R,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,3,3,B,9,B09,L6A6,L6,L6A6-MT3-L,MT3-L,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,5,3,B,10,B10,L12A4,L12,L12A4-MT4-L,MT4-L,False
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,6,3,B,11,B11,L6A5,L6,L6A5-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,3,C,1,C01,,,,,True
GS-143,compound,continuous,ubiquitin system,discovery compound,3,3,C,2,C02,L2A3,L2,L2A3-MT4-R,MT4-R,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,6,3,C,3,C03,L7A6,L7,L7A6-MT2-R,MT2-R,False
cilnidipine,compound,continuous,ion channel,discovery compound,1,3,C,4,C04,L14A3,L14,L14A3-MT3-L,MT3-L,False
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,4,3,C,5,C05,L11A3,L11,L11A3-MT2-L,MT2-L,False
metolazone,compound,continuous,transporter,discovery compound,6,3,C,6,C06,L3A2,L3,L3A2-MT3-L,MT3-L,False
adrenalone,compound,continuous,GPCR,discovery compound,4,3,C,7,C07,L6A3,L6,L6A3-MT4-R,MT4-R,False
cilengitide,compound,continuous,mechanotransduction,discovery compound,1,3,C,8,C08,L12A2,L12,L12A2-MT4-R,MT4-R,False
