compound,final_class,causal_class,is_canonical_control,rank1_human_signal_strength,rank2_true_skeletal_elongation_likelihood,rank3_mechanistic_interpretability,rank4_safety_translational_suitability,rank5_experimental_testability,paediatric_cases,ic025,ror,suspect_fraction,international_replication,serial_auxology_records,case_records,clean_natural_experiments,positive_dechallenge_cases,positive_rechallenge_cases,negative_control_terms,negative_to_positive_ratio,endocrine_comedication_fraction,top_indications,target_has_human_tall_stature_genetics,net_causal_score,display_order
DORNASE ALFA,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,2.946,2.5,-1.5,0.67,1.5,6,-0.338,13.331,1.0,TOO_SPARSE,1,4,0,4,0,5,0.83,0.0,CYSTIC FIBROSIS (83); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-10.0,2.4626865671641793
BECLOMETHASONE DIPROPIONATE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,5.485,0.0,-1.5,1.41,1.5,11,0.579,38.244,1.0,FDA_ONLY_SIGNAL,1,19,0,0,0,1,0.09,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8),False,-5.0,2.388059701492537
TIOTROPIUM BROMIDE,REJECT,REJECT,False,3.079,0.0,-1.5,1.5,1.5,7,-0.107,36.649,1.0,TOO_SPARSE,0,5,0,0,0,0,0.0,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-9.0,2.253731343283582
PANCRELIPASE,REJECT,REJECT,False,3.079,0.0,-1.5,1.36,1.5,7,-0.134,63.537,1.0,TOO_SPARSE,0,7,0,0,0,1,0.14,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-9.0,2.253731343283582
IVACAFTOR,REJECT,REJECT,False,3.079,0.0,-1.5,1.21,1.5,7,-0.095,20.832,1.0,TOO_SPARSE,3,25,0,0,0,2,0.29,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-13.5,2.253731343283582
ELEXACAFTOR,REJECT,REJECT,False,3.079,0.0,-1.5,1.21,1.5,7,-0.22,7.441,1.0,TOO_SPARSE,3,14,0,0,0,2,0.29,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-13.5,2.253731343283582
LANADELUMAB-FLYO,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,5.197,2.5,-1.5,0.75,0.0,8,0.034,141.633,1.0,TOO_SPARSE,0,0,0,5,0,6,0.75,0.0,HEREDITARY ANGIOEDEMA (16); IMMUNE SYSTEM DISORDER (1),False,-2.0,2.1492537313432836
METRONIDAZOLE,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,2.508,2.5,-1.5,1.21,1.5,7,-0.152,10.128,0.429,TOO_SPARSE,1,91,0,0,0,2,0.29,0.143,FUNGAL INFECTION (9); PRODUCT USED FOR UNKNOWN INDICATION (8); SHORT-BOWEL SYNDROME (6); CROHN'S DISEASE (1),False,-6.0,2.08955223880597
AMINO ACIDS,CATCH_UP_GROWTH_SIGNAL,CATCH_UP_GROWTH_ONLY,False,2.079,2.5,-1.5,1.5,1.5,7,-0.097,27.446,0.0,TOO_SPARSE,12,91,0,0,0,0,0.0,0.143,SHORT-BOWEL SYNDROME (7); PRODUCT USED FOR UNKNOWN INDICATION (4); GASTROSTOMY (3); OVERGROWTH BACTERIAL (2),False,-1.5,2.0
PANCRELIPASE AMYLASE,REJECT,REJECT,False,3.079,0.0,-1.5,1.5,0.0,7,-0.1,16.921,1.0,TOO_SPARSE,0,0,0,0,0,0,0.0,0.0,CYSTIC FIBROSIS (95); MATERNAL EXPOSURE TIMING UNSPECIFIED (13); PRODUCT USED FOR UNKNOWN INDICATION (1),False,-9.0,1.7537313432835822
