compound,role,intended_node,why_audited,chembl_id,smiles,max_phase,non_protein_records_dropped,n_activity_records,n_distinct_targets,assay_formats,node_biochemical_potency_nM,node_biochemical_n,node_cellular_potency_nM,node_cellular_n,node_mouse_potency_nM,node_mouse_n,node_human_potency_nM,node_human_n,species_gap_fold,species_gap_measurable,targets_under_1uM,targets_under_100nM,best_on_node_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,genome_wide_selectivity_fold,most_potent_target_overall,most_potent_target_potency_nM,primary_target_is_intended_node,node_within_10x_of_primary,top5_targets_by_potency,ROCK1_potency_nM,ROCK1_n,ROCK2_potency_nM,ROCK2_n,rock_isoform_ratio_1_over_2,LIMK1_potency_nM,LIMK1_n,LIMK2_potency_nM,LIMK2_n,audit_status,compound_status,covalent_warhead_substructure,reversibility_call,target_residence_time
SR-3677,COMPARATOR,ROCK,reported ROCK2-biased,CHEMBL521179,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,,3,7,3.0,biochemical,3.0,6.0,,0.0,,0.0,3.0,6.0,,False,2.0,2.0,3.0,RAC-alpha serine/threonine-protein kinase,7491.0,2497.0,Rho-associated protein kinase 2,3.0,True,True,"Rho-associated protein kinase 2 3 nM; Rho-associated protein kinase 1 56 nM; RAC-alpha serine/threonine-protein kinase 7,491 nM",56.0,3.0,3.0,3.0,18.67,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
BELUMOSUDIL,COMPARATOR,ROCK,"reported ROCK2-selective, clinical",CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,4.0,2,161,124.0,biochemical; functional/cellular,40.0,37.0,140.119,2.0,,0.0,40.0,39.0,,False,4.0,2.0,40.0,Casein kinase II subunit alpha,100.0,2.5,Rho-associated protein kinase 2,40.0,True,True,"Rho-associated protein kinase 2 40 nM; Casein kinase II subunit alpha 100 nM; Rho-associated protein kinase 1 408 nM; Tyrosine-protein kinase Blk 1,000 nM; Death-associated protein kinase 3 1,259 nM",408.0,19.0,40.0,20.0,10.2,,0.0,,0.0,audited,NARROW_SELECTIVITY - only 2.5x over the strongest off-target,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
H-1152,COMPARATOR,ROCK,isoquinoline ROCK tool,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
Y-33075,COMPARATOR,ROCK,Y-27632 close analogue - expected NOT unrelated,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
ROSUVASTATIN,COMPARATOR,HMGCR,"synthetic statin, different chemotype",CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,4.0,21,15,3.0,biochemical,2.4000000000000004,14.0,,0.0,,0.0,2.22,7.0,,False,2.0,2.0,2.22,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",1250.0,563.06,3-hydroxy-3-methylglutaryl-coenzyme A reductase,2.22,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.22 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.7 nM; Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta 1,250 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
ATORVASTATIN,COMPARATOR,HMGCR,synthetic statin,CHEMBL1487,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,4.0,67,28,12.0,ADMET; biochemical; functional/cellular,4.0200000000000005,12.0,,0.0,,0.0,2.5362,5.0,,False,3.0,2.0,2.5362,Solute carrier organic anion transporter family member 1B1,660.0,260.23,3-hydroxy-3-methylglutaryl-coenzyme A reductase,2.5362,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.536 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 4.52 nM; Solute carrier organic anion transporter family member 1B1 660 nM; Broad substrate specificity ATP-binding cassette transporter ABCG2 4,300 nM; Rho-related GTP-binding protein RhoC 5,000 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PRAVASTATIN,COMPARATOR,HMGCR,hydrophilic fungal-derived statin,CHEMBL1144,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,4.0,15,21,14.0,ADMET; biochemical; functional/cellular,8.5546,5.0,,0.0,,0.0,10.4728,3.0,,False,2.0,2.0,10.4728,Solute carrier organic anion transporter family member 1B1,3400.0,324.65,3-hydroxy-3-methylglutaryl-coenzyme A reductase,10.4728,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 10.47 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 13 nM; Solute carrier organic anion transporter family member 1B1 3,400 nM; Squalene monooxygenase 1e+04 nM; Organic anion transporter 3 1.37e+04 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
FLUVASTATIN,COMPARATOR,HMGCR,synthetic indole statin,CHEMBL2220442,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,4.0,3,16,10.0,ADMET; biochemical,0.8824000000000001,3.0,,0.0,,0.0,3.1177,2.0,,False,3.0,2.0,0.353,Cytochrome P450 2C9,400.0,1133.14,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.353,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 0.353 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 3 nM; Cytochrome P450 2C9 400 nM; Nuclear receptor subfamily 4 group A member 2 1,900 nM; NAD-dependent protein deacylase sirtuin-6 7,100 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PITAVASTATIN,COMPARATOR,HMGCR,synthetic quinoline statin,CHEMBL1201753,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,4.0,2,3,2.0,biochemical,4.1,1.0,,0.0,,0.0,,0.0,,False,2.0,1.0,4.1,Nuclear receptor subfamily 4 group A member 2,120.0,29.27,3-hydroxy-3-methylglutaryl-coenzyme A reductase,4.1,True,True,3-hydroxy-3-methylglutaryl-coenzyme A reductase 4.1 nM; Nuclear receptor subfamily 4 group A member 2 120 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
LOVASTATIN,COMPARATOR,HMGCR,same chemotype as simvastatin - expected NOT unrelated,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.0,50,71,25.0,ADMET; biochemical; functional/cellular,2.14,28.0,38.3,2.0,27.0,1.0,1.1600000000000001,15.0,0.04,True,3.0,3.0,1.1600000000000001,Cholinesterase,1100.0,948.28,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1.1600000000000001,True,True,"3-hydroxy-3-methylglutaryl-coenzyme A reductase 1.16 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.44 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 27 nM; Cholinesterase 1,100 nM; Integrin alpha-L/beta-2 (LFA-1) 2,400 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
MEVASTATIN,COMPARATOR,HMGCR,same chemotype family,CHEMBL54440,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,2.0,14,23,7.0,ADMET; biochemical,4.340000000000001,18.0,,0.0,,0.0,23.0,4.0,,False,2.0,2.0,2.66,Bile salt export pump,27000.0,10150.38,3-hydroxy-3-methylglutaryl-coenzyme A reductase,2.66,True,True,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2.66 nM; 3-hydroxy-3-methylglutaryl-coenzyme A reductase 23 nM; Bile salt export pump 2.7e+04 nM; ATP-binding cassette sub-family C member 4 1.33e+05 nM; ATP-binding cassette sub-family C member 3 1.33e+05 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
CYCLOPAMINE,COMPARATOR,SMO,steroidal alkaloid SMO antagonist,CHEMBL254129,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,,374,20,7.0,biochemical; functional/cellular,16.53,12.0,300.0,5.0,428.8,8.0,12.639999999999999,9.0,0.03,True,5.0,1.0,12.61,Sigma intracellular receptor 2,598.68,47.48,Protein smoothened,12.61,True,True,Protein smoothened 12.61 nM; Sonic hedgehog protein 360 nM; Sigma intracellular receptor 2 598.7 nM; Sonic hedgehog protein 600 nM; Protein smoothened 698.8 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
SONIDEGIB,COMPARATOR,SMO,clinical SMO antagonist,CHEMBL2105737,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,4.0,6,3,3.0,biochemical; functional/cellular,5.55,2.0,,0.0,5.5,1.0,6.0,1.0,1.09,True,2.0,2.0,5.5,G-protein coupled receptor 183,3173.51,577.0,Sonic hedgehog protein,5.5,True,True,"Sonic hedgehog protein 5.5 nM; Protein smoothened 6 nM; G-protein coupled receptor 183 3,174 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
GLASDEGIB,COMPARATOR,SMO,clinical SMO antagonist,CHEMBL2043437,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,4.0,0,7,7.0,ADMET; biochemical,5.0,1.0,,0.0,5.0,1.0,,0.0,,False,1.0,1.0,5.0,Cytochrome P450 2D6,30000.0,6000.0,Protein smoothened,5.0,True,True,Protein smoothened 5 nM; Cytochrome P450 2D6 3e+04 nM; Cytochrome P450 2C9 3e+04 nM; Cytochrome P450 1A2 3e+04 nM; Cytochrome P450 3A4 3e+04 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
TALADEGIB,COMPARATOR,SMO,clinical SMO antagonist,CHEMBL2142592,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,2.0,9,4,2.0,biochemical; functional/cellular,1.479,2.0,42.160000000000004,2.0,1.302,2.0,43.753,2.0,33.6,True,2.0,2.0,1.18,,,,Protein smoothened,1.18,True,True,Protein smoothened 1.18 nM; Protein smoothened 4.17 nM,,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PATIDEGIB,COMPARATOR,SMO,cyclopamine-derived - chemotype check,CHEMBL538867,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,3.0,1,2,2.0,biochemical,1.4,1.0,,0.0,,0.0,1.4,1.0,,False,2.0,2.0,1.4,"Alkaline phosphatase, germ cell type",20.0,14.29,Protein smoothened,1.4,True,True,"Protein smoothened 1.4 nM; Alkaline phosphatase, germ cell type 20 nM",,0.0,,0.0,,,0.0,,0.0,audited,NODE_SELECTIVE by ChEMBL profile,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
SANT-1,COMPARATOR,SMO,unrelated SMO antagonist tool,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO PROTEIN-TARGET POTENCY DATA - cannot be audited,,,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
PURMORPHAMINE,RESCUE,SMO,SMO AGONIST - the opposing perturbation,CHEMBL1221984,c1ccc2c(Oc3nc(Nc4ccc(N5CCOCC5)cc4)c4ncn(C5CCCCC5)c4n3)cccc2c1,,2,8,4.0,biochemical; functional/cellular,840.0,3.0,1000.0,1.0,820.0,2.0,1050.0,2.0,1.28,True,4.0,1.0,800.0,Secretin receptor,48.809,0.06,Secretin receptor,48.809,False,False,"Secretin receptor 48.81 nM; Protein smoothened 800 nM; Sonic hedgehog protein 1,000 nM; Protein smoothened 1,000 nM",,0.0,,0.0,,,0.0,,0.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
SORAFENIB,COMPARATOR,LIMK,the stage-65 comparator; audited for LIMK selectivity,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4.0,1265,2158,514.0,ADMET; biochemical; functional/cellular,1600.0,9.0,630.96,1.0,,0.0,1503.096,10.0,,False,69.0,30.0,1115.48,Ephrin type-B receptor 4,0.22,0.0,Ephrin type-B receptor 4,0.22,False,False,Ephrin type-B receptor 4 0.22 nM; Angiopoietin-1 receptor 0.39 nM; Vascular endothelial growth factor receptor 2 0.85 nM; Epithelial discoidin domain-containing receptor 1 1.5 nM; Homeodomain-interacting protein kinase 4 2.82 nM,5213.5960000000005,4.0,6508.309,4.0,0.8,1115.48,6.0,9720.0,4.0,audited,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",,"no electrophilic warhead detected - reversible ATP-competitive or allosteric binding assumed, NOT measured here",NOT DETERMINED. ChEMBL holds equilibrium constants only; koff/residence time is not retrievable from any source used here and must be measured or cited per compound before a washout result is interpreted.
