active_ingredient,pmid,pmcid,year,title,journal,is_open_access,has_age_at_exposure,has_growth_before_exposure,has_growth_during_exposure,has_growth_after_discontinuation,has_puberty,has_bone_age,has_epiphyseal_imaging,has_igf1_or_gh,has_phosphate,has_weight_nutrition,has_disease_activity,has_concomitant_medications,has_height_trajectory,has_segment_measurements,has_adverse_skeletal,has_dechallenge,has_rechallenge,has_dose_response,competing_growth_hormone_given,competing_puberty_suppression,competing_aromatase_inhibition,competing_nutritional_recovery,competing_major_weight_change,competing_glucocorticoid_withdrawal,competing_thyroid_correction,competing_disease_remission,competing_tumour_hormone,element_exposure_precedes_change,element_plausible_latency,element_dechallenge,element_rechallenge,element_dose_response,element_independent_replication,element_open_growth_plates,element_interpretable_baseline,timeline_fields_present,timeline_fields_possible,competing_explanations,raw_causality_score,penalty,score_cap_applied,temporal_causality_score,clean_natural_experiment,extraction_basis
MONTELUKAST,27244842,PMC4894252,2016,Presumed Pseudotumor Cerebri Syndrome After Withdrawal of Inhaled Glucocorticoids.,,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,40951228,PMC12433082,2025,Pregnancy in Women With Klippel-Trenaunay Syndrome Complicated by Uterine Vascular Malformation: A Case Report and Literature Review.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LOPERAMIDE,39372633,PMC11450811,2024,Clinical Transplant Kidney Function Loss Due to Small Intestinal Bacterial Overgrowth.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
METRONIDAZOLE,39740424,PMC11745952,2025,Metabolic acidosis due to d-lactate in a patient with intestinal resection: Diagnostic challenges and nutritional strategies.,,Y,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,3,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
METRONIDAZOLE,40125190,PMC11929150,2025,Unpleasant Smell: A Case Report of Trimethylaminuria (Fish Odour Syndrome) in a Child.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
ESOMEPRAZOLE,39372633,PMC11450811,2024,Clinical Transplant Kidney Function Loss Due to Small Intestinal Bacterial Overgrowth.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,35609533,PMC9393778,2022,New-Onset Primary Adrenal Insufficiency and Autoimmune Hypothyroidism in a Pediatric Patient Presenting with MIS-C.,,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,18,0,5.0,0.0,6.0,5.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,39193092,PMC11348937,2024,Growth Hormone Deficiency in an Adolescent With Pseudohypoparathyroidism Type 1B.,,Y,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,6,18,1,5.0,1.5,6.0,3.5,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
ESOMEPRAZOLE,,PMC6152593,2018,Oral Presentations,,Y,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4,18,0,3.5,0.0,6.0,3.5,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
COLISTIMETHATE,5940638,PMC1935561,1966,A clinical trial of cephaloridine.,,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,18,0,3.5,0.0,6.0,3.5,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,41454937,PMC12743679,2025,"Clinical, Molecular Characteristics, and Genotype-Phenotype Relationships of Metaphyseal Chondrodysplasia Type Schmid.",,Y,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,36504506,PMC9732115,2022,Aromatase deficiency in a tall man: Case report of two novel mutations and review of literature.,,Y,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,37202915,PMC10201867,2023,A Case of Linear Scleroderma in a Young Child: A Diagnosis Easily Missed in Primary Care.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
TEDUGLUTIDE,38034466,PMC10684249,2023,Gastric Foveolar Hyperplastic Polyps in 2 Children With Short Bowel Syndrome on Long-Term Teduglutide.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,39764439,PMC11701062,2024,Case Report and literature review: Delayed diagnosis of ARCL1B due to a newly reported homozygous mutation c.464A&gt;C p. (Tyr155Ser) in the &lt;i&gt;EFEMP2&lt;/i&gt; gene.,,Y,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,41059451,PMC12500298,2025,A Novel Premature Termination Codon Mutation in TRAPPC2 Is Associated with X-Linked Spondyloepiphyseal Dysplasia Tarda.,,N,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,41574272,PMC12823036,2025,Case Report: Dual pathogenic mechanism of a &lt;i&gt;PRKG2&lt;/i&gt; missense variant underlies an attenuated phenotype of acromesomelic dysplasia.,,Y,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41464859,PMC12733895,2025,Growth Without GH: A Case Series and Literature Review.,,Y,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,42158693,PMC13181682,2026,Clinical characteristics and mutation analysis of Chinese children with 17α-hydroxylase deficiency: a report on three cases.,,Y,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
IDURSULFASE,23307460,PMC3603921,2013,Hunter syndrome follow-up after 1 year of enzyme-replacement therapy.,,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,18,0,3.0,0.0,6.0,3.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,39189533,PMC11834709,2025,Approach to the Patient: Challenging Cases of Pediatric Thyrotoxicosis.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,42183258,PMC13194358,2026,Case Report: Severe neonatal lupus in an infant with homozygous &lt;i&gt;NCF1&lt;/i&gt; p.Arg90His variant and a &lt;i&gt;der&lt;/i&gt;(14)&lt;i&gt;t&lt;/i&gt;(4;14) translocation.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41585793,PMC12828586,2025,Unveiling the hidden: acquired pediatric hypothyroidism.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41379151,PMC12671614,2025,"Hypopituitarism and Rathke's cleft cyst in 48,XXYY Syndrome: new insights into sex chromosome aneuploidies.",,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41179271,PMC12576541,2025,Pituitary Xanthogranuloma Causing Sellar Mass in 2 Children With Hypopituitarism and Elevated Inflammatory Markers.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,42311772,PMC13269650,2026,Lipomatosis From Prolonged Use of Corticosteroids in Ethiopia: A Case Report.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,41890785,PMC13014641,2026,Using selective laser trabeculoplasty to manage glaucoma in a child with phakomatosis pigmentovascularis.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,40530097,PMC12169833,2024,ENDOCRINE AND GROWTH ABNORMALITIES IN CHILDREN WITH KIDNEY FAILURE ON MAINTENANCE HEMODIALYSIS - EXPERIENCE OF A SINGLE CENTER FROM WESTERN ROMANIA.,,N,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41137069,PMC12553144,2025,Ligneous gingivitis: diagnostic and management challenges in a rare case.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,40062105,PMC11886995,2025,Recurrent Aseptic Meningitis Revealing Primitive Pituitary Abscess.,,Y,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41884215,PMC13008620,2026,From hypercalcemia to the diagnosis of pseudohypoparathyroidism type 1b: a case report.,,Y,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,41018437,PMC12463163,2025,Delayed Presentation With Atypical Extrathyroidal Manifestations of Sporadic Non-autoimmune Congenital Hyperthyroidism: A Case Report and Literature Review.,,Y,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,39728742,PMC11677636,2024,<i>PPP2R5D</i>-Related Neurodevelopmental Disorder and Multiple Haemangiomas: A Novel Phenotypic Trait?,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,39758341,PMC11695779,2024,Novel &lt;i&gt;MKRN3&lt;/i&gt; gene mutation associated with central precocious puberty in a Chinese child: a case report.,,Y,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,40777882,PMC12329236,2025,Short Stature and Developmental Delay Associated With a Novel Frame-Shift Mutation in ZNF292: Case Report and Literature Review.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,41599846,PMC12845284,2026,Best Practices for the Nutritional Management of Infantile-Onset Lysosomal Acid Lipase Deficiency: A Case-Based Discussion.,,Y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,40606064,PMC12219155,2025,Isolated Diffuse Splenic Hemangiomatosis Arising in an Adolescent: A Rare Case Report and Literature Review.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,41893920,PMC13090297,2026,"Japanese clinical practice guidelines for vascular tumors, vascular malformations, lymphatic malformations, and lymphangiomatosis 2022.",,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,40458561,PMC12127810,2025,Cognitive decline in an adult with ATR-16 syndrome due to an unbalanced translocation between 11p15.5 and 16p13.3: a case report.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,40091987,PMC11911001,2025,Non-classical Congenital Adrenal Hyperplasia Presenting With Severe Androgenic Alopecia: A Case Report.,,Y,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,40496472,PMC12150398,2025,Rathke Cleft Cyst Presenting as Panhypopituitarism in an Adolescent.,,Y,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,39915277,PMC12285563,2025,Management of Hypergranulation Tissue: A Report of a Pediatric Case.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,42145221,PMC13181595,2026,Systemic Nickel Allergy Syndrome: A Critical Appraisal of an Unvalidated Diagnostic Entity.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
AMINO ACIDS,34350334,PMC8319649,2021,Sotos syndrome with a novel mutation in the <i>NSD1</i> gene associated with congenital hypothyroidism.,,Y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,40400890,PMC12093281,2025,Bone Mineral Density and Bone Quality Trends in a Child on Steroid Therapy Who Developed a Vertebral Fracture: A Case Report.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
PREDNISOLONE,42194698,PMC13207113,2026,Sirolimus Treatment for Complex Fetal and Neonatal Vascular Anomalies: Emerging Evidence and Safety Considerations.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,39155058,PMC11834712,2025,Approach to the Child and Adolescent With Adrenal Insufficiency.,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,42041544,PMC13114338,2026,Endocrine Late Effects of Targeted and Immune-Based Therapies in Pediatric Oncology.,,Y,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
LEVOTHYROXINE,39935497,PMC11811638,2025,Co-Occurrence of Sotos Syndrome and Mayer-Rokitansky-Küster-Hauser (MRKH) Syndrome in 2 Patients.,,Y,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,18,0,2.0,0.0,6.0,2.0,False,abstract-level pattern match. NOT a read of the paper. Any case used as evidence must be opened and its numbers transcribed by hand.
