active_ingredient,pmid,pmcid,doi,year,title,journal,is_open_access,publication_type,has_baseline_age,has_baseline_height,has_height_sds,has_serial_height,has_growth_velocity,has_velocity_before_treatment,has_velocity_after_treatment,has_bone_age,has_puberty_stage,has_igf1,has_gh_exposure,has_sex_steroid_exposure,has_body_weight,has_nutritional_status,has_treatment_duration,has_dose_change,has_interruption,has_dechallenge,has_rechallenge,has_epiphyseal_status,has_final_height,has_adverse_skeletal,auxology_fields_present,auxology_fields_required,outcome_class,comparator_present,classification_basis
AMPHOTERICIN B,35178492,PMC8845121,10.1210/jendso/bvac006,2022,Role of &lt;i&gt;ZBTB38&lt;/i&gt; Genotype and Expression in Growth and Response to Recombinant Human Growth Hormone Treatment.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
BECLOMETHASONE DIPROPIONATE,22938716,PMC3517799,10.1056/nejmoa1203229,2012,Effect of inhaled glucocorticoids in childhood on adult height.,,N,"research-article; Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural",False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
CETIRIZINE,36947589,PMC10505549,10.1210/clinem/dgad159,2023,Early GH Treatment Is Effective and Well Tolerated in Children With Turner Syndrome: NordiNet® IOS and Answer Program.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
DORNASE ALFA,31462537,PMC6886888,10.3121/cmr.2019.1476,2019,GH-IGF-1 Axis in Children with Cystic Fibrosis.,,N,research-article; Multicenter Study; Journal Article,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ELEXACAFTOR,41039909,PMC12491836,10.1111/cts.70373,2025,Real-World Evaluation of Outcomes and Safety of Elexacaftor/Tezacaftor/Ivacaftor in Pediatric Patients With Cystic Fibrosis: A Retrospective Study.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ELEXACAFTOR,40806881,PMC12347596,10.3390/jcm14155259,2025,Height Velocity in Pediatric Cystic Fibrosis Under Triple CFTR Modulator Therapy: A Real-Life Monocentric Experience.,,Y,research-article; Journal Article,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ELEXACAFTOR,,,10.22541/au.173195834.49805192/v1,2024,Growth trajectories in Pediatric Cystic Fibrosis Population on Elexacaftor-Tezacaftor-Ivacaftor: Real-Life Data,,N,Preprint,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ENOXAPARIN,40959740,PMC12436000,10.1155/srat/5550395,2025,Short Stature in Moyamoya Disease: A Systematic Review of Potential Mechanisms and Clinical Outcomes.,,Y,review-article; Review; Journal Article,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,22,C_DELAYED_MATURATION,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
ENOXAPARIN,37988990,PMC10696237,10.1016/j.ijscr.2023.109063,2023,"""Growth plate fracture of the proximal tibia in a young adult with an unfused growth plate: A case report"".",,Y,Journal Article; Case Reports; case-report,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
FLUCONAZOLE,35663378,PMC9156862,10.1016/j.bonr.2022.101591,2022,Growth hormone therapy in HHRH.,,Y,Journal Article; Case Reports; case-report,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
IDURSULFASE,24955330,PMC4060980,10.1016/j.ymgmr.2013.10.001,2014,Growth charts for patients with Hunter syndrome.,,Y,research-article; Journal Article,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
IVACAFTOR,41039909,PMC12491836,10.1111/cts.70373,2025,Real-World Evaluation of Outcomes and Safety of Elexacaftor/Tezacaftor/Ivacaftor in Pediatric Patients With Cystic Fibrosis: A Retrospective Study.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
IVACAFTOR,40806881,PMC12347596,10.3390/jcm14155259,2025,Height Velocity in Pediatric Cystic Fibrosis Under Triple CFTR Modulator Therapy: A Real-Life Monocentric Experience.,,Y,research-article; Journal Article,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
IVACAFTOR,,,10.22541/au.173195834.49805192/v1,2024,Growth trajectories in Pediatric Cystic Fibrosis Population on Elexacaftor-Tezacaftor-Ivacaftor: Real-Life Data,,N,Preprint,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,41499205,PMC12783500,10.1530/edm-25-0146,2026,Impact of growth hormone treatment on a 12-year-old female with newly diagnosed panhypopituitarism and distal arthrogryposis.,,Y,Journal Article; Case Reports; case-report,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,37040726,PMC10614259,10.1159/000530572,2023,Growth Hormone Dose Modulation and Final Height in Short Children Born Small for Gestational Age: French Real-Life Data.,,Y,research-article; Journal Article; Observational Study,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,37881494,PMC10597646,10.3389/fendo.2023.1270845,2023,Identifying patient-related predictors of permanent growth hormone deficiency.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,36947589,PMC10505549,10.1210/clinem/dgad159,2023,Early GH Treatment Is Effective and Well Tolerated in Children With Turner Syndrome: NordiNet® IOS and Answer Program.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,35251796,PMC8887688,10.7759/cureus.21722,2022,Treatment of Isolated Idiopathic Growth Hormone Deficiency in Children and Thyroid Function: Is the Need for LT4 Supplementation a Concern in Long-Term Therapy?,,Y,research-article; Journal Article,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,41960511,PMC13058342,10.6026/973206300220031,2026,A review on levothyroxine therapy and bone age in children with long-standing untreated acquired hypothyroidism.,,Y,other; Journal Article,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,40624915,PMC12235430,10.6065/apem.2448128.064,2025,Comparison of the effectiveness of recombinant human growth hormone therapy in preterm and full-term children with short stature born small for gestational age.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,4,22,B_CATCH_UP_GROWTH,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,39868553,PMC11811821,10.1530/edm-24-0097,2025,Pseudohypoparathyroidism type 1A presenting as short stature and congenital hypothyroidism.,,Y,Journal Article; case-report,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,40394920,PMC12319267,10.1111/cen.15278,2025,The Use of miRNA Panel as a Growth Plate Marker of Short-Term Response to GH.,,Y,research-article; Journal Article; Observational Study,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,36688726,PMC11629727,10.4274/jcrpe.galenos.2022.2022-8-1,2024,Long-term Growth Hormone Therapy in a Patient with <i>IGF1R</i> Deletion Accompanied by Delayed Puberty and Central Hypothyroidism,,Y,research-article; Journal Article; Case Reports,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,41464859,PMC12733895,10.3390/jcm14248957,2025,Growth Without GH: A Case Series and Literature Review.,,Y,review-article; Review; Journal Article,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,40919719,PMC12464360,10.1530/ec-25-0493,2025,Better growth outcomes in GH-deficient children treated younger than 2 years of age.,,Y,research-article; Journal Article,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,40948059,PMC12583312,10.1111/cen.70034,2025,Congenital Hypothyroidism: Long-Term Growth and Intellectual Outcomes With a Lower Initial Levothyroxine Dose.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,40959740,PMC12436000,10.1155/srat/5550395,2025,Short Stature in Moyamoya Disease: A Systematic Review of Potential Mechanisms and Clinical Outcomes.,,Y,review-article; Review; Journal Article,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,22,C_DELAYED_MATURATION,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,41938298,PMC13043492,10.1016/j.aed.2025.11.004,2026,Pituitary Hyperplasia and Oncocytic Thyroid Neoplasia in a Child With Severe Hypothyroidism.,,Y,Journal Article; Case Reports; case-report,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
LEVOTHYROXINE,33860132,PMC8035984,10.1210/jendso/bvab036,2021,Long-term GH Therapy Does Not Advance Skeletal Maturation in Children and Adolescents.,,Y,research-article; Journal Article,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
METRONIDAZOLE,34881322,PMC8645647,10.3389/fvets.2021.773355,2021,Case Report: Human Recombinant Growth Hormone Therapy in a DSH Cat Presented With Dwarfism.,,Y,Journal Article; Case Reports; case-report,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
MONTELUKAST,36947589,PMC10505549,10.1210/clinem/dgad159,2023,Early GH Treatment Is Effective and Well Tolerated in Children With Turner Syndrome: NordiNet® IOS and Answer Program.,,Y,"Research Support, Non-U.S. Gov't; research-article; Journal Article",False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
MONTELUKAST,27091558,PMC4861637,10.1007/s11914-016-0308-1,2016,The Skeletal Effects of Inhaled Glucocorticoids.,,N,research-article; Review; Journal Article,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,42244940,PMC13229625,10.3389/fendo.2026.1831711,2026,Growth hormone therapy after hematopoietic cell transplantation in childhood: a nationwide survey and longitudinal cohort study.,,Y,research-article; Multicenter Study; Journal Article,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,5,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,40394920,PMC12319267,10.1111/cen.15278,2025,The Use of miRNA Panel as a Growth Plate Marker of Short-Term Response to GH.,,Y,research-article; Journal Article; Observational Study,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,34599587,PMC8764343,10.1210/clinem/dgab701,2022,Characteristics of Growth in Children With Classic Congenital Adrenal Hyperplasia due to 21-Hydroxylase Deficiency During Adrenarche and Beyond.,,Y,"Research Support, Non-U.S. Gov't; research-article; Multicenter Study; Journal Article",False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,35649383,,10.1159/000525332,2022,Do All Patients with Congenital Adrenal Hyperplasia Need to Be on Hydrocortisone Three Times a Day in Order to Have Normal Growth?,,N,News,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,41427054,PMC12714647,10.3389/fendo.2025.1697907,2025,Endocrine and metabolic complications in a national cohort of Slovene children and adolescents with Duchenne muscular dystrophy: real-world criteria for transition to vamorolone therapy.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,40571602,PMC12510778,10.1507/endocrj.ej24-0545,2025,Changes in body mass index during chemotherapy are positively associated with height outcome in childhood cancer survivors of acute lymphoblastic leukemia.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,38299178,PMC10825653,10.1297/cpe.2023-0036,2024,GH therapy in children with juvenile idiopathic arthritis: a four-decade review.,,Y,review-article; Review; Journal Article,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,38813446,PMC11133798,10.1016/j.eclinm.2024.102591,2024,Vosoritide treatment for children with hypochondroplasia: a phase 2 trial.,,Y,research-article; Journal Article,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,39760327,PMC11874248,10.1002/jpn3.12455,2025,Long-term growth and nutrition outcomes in children following intestinal transplantation.,,Y,research-article; Journal Article,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,True,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,37685999,PMC10487400,10.3390/ijms241713192,2023,"""Neuroimmunoendocrinology"" in Children with Rheumatic Diseases: How Glucocorticoids Are the Orchestra Director.",,Y,review-article; Review; Journal Article,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,3,22,E_MEASUREMENT_OR_REPORTING_ARTIFACT,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
PREDNISOLONE,38516512,PMC10952417,10.15388/amed.2023.30.2.4,2023,Overt Hypothyroidism and Severe Growth Retardation in a Preschool Girl with Poorly Controlled Nephrotic Syndrome: Case Report and Literature Review.,,Y,Journal Article; Case Reports; case-report,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3,22,B_CATCH_UP_GROWTH,False,abstract-level pattern match; NOT a read of the paper. Any record used as evidence downstream must be opened and the numbers extracted by hand.
