compound,intended_node,stage69_status,rung,multiplier_of_anchor,nominal_media_concentration_nM,anchor_nM,anchor_basis,published_organ_culture_reference,published_reference_source,MUST_BE_REPLACED_BY_MEASURED_TISSUE_EXPOSURE,measured_terminal_zone_conc_nM,tissue_to_media_ratio,blocked_until
VISMODEGIB,SMO,NODE_SELECTIVE by ChEMBL profile,0.3x,0.3,0.7200000000000001,2.4000000000000004,"measured on-node CELLULAR potency (ChEMBL, n=7)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
VISMODEGIB,SMO,NODE_SELECTIVE by ChEMBL profile,1x,1.0,2.4000000000000004,2.4000000000000004,"measured on-node CELLULAR potency (ChEMBL, n=7)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
VISMODEGIB,SMO,NODE_SELECTIVE by ChEMBL profile,3x,3.0,7.200000000000001,2.4000000000000004,"measured on-node CELLULAR potency (ChEMBL, n=7)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
VISMODEGIB,SMO,NODE_SELECTIVE by ChEMBL profile,10x,10.0,24.000000000000004,2.4000000000000004,"measured on-node CELLULAR potency (ChEMBL, n=7)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
VISMODEGIB,SMO,NODE_SELECTIVE by ChEMBL profile,30x,30.0,72.00000000000001,2.4000000000000004,"measured on-node CELLULAR potency (ChEMBL, n=7)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
LX-7101,LIMK,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",0.3x,0.3,0.48,1.6,"measured on-node BIOCHEMICAL potency (ChEMBL, n=20) - no cellular record exists, so this anchor is weaker",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
LX-7101,LIMK,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",1x,1.0,1.6,1.6,"measured on-node BIOCHEMICAL potency (ChEMBL, n=20) - no cellular record exists, so this anchor is weaker",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
LX-7101,LIMK,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",3x,3.0,4.800000000000001,1.6,"measured on-node BIOCHEMICAL potency (ChEMBL, n=20) - no cellular record exists, so this anchor is weaker",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
LX-7101,LIMK,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",10x,10.0,16.0,1.6,"measured on-node BIOCHEMICAL potency (ChEMBL, n=20) - no cellular record exists, so this anchor is weaker",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
LX-7101,LIMK,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",30x,30.0,48.0,1.6,"measured on-node BIOCHEMICAL potency (ChEMBL, n=20) - no cellular record exists, so this anchor is weaker",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
BOSUTINIB,SRC,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",0.3x,0.3,30.0,100.0,"measured on-node CELLULAR potency (ChEMBL, n=9)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
BOSUTINIB,SRC,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",1x,1.0,100.0,100.0,"measured on-node CELLULAR potency (ChEMBL, n=9)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
BOSUTINIB,SRC,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",3x,3.0,300.0,100.0,"measured on-node CELLULAR potency (ChEMBL, n=9)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
BOSUTINIB,SRC,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",10x,10.0,1000.0,100.0,"measured on-node CELLULAR potency (ChEMBL, n=9)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
BOSUTINIB,SRC,"SELECTIVITY_UNSUPPORTED - a non-node target is more potent, so no node-selective concentration exists",30x,30.0,3000.0,100.0,"measured on-node CELLULAR potency (ChEMBL, n=9)",,,True,,,stage 70 returns a terminal-zone concentration for this compound; the media concentration is then set so that the TISSUE concentration hits this rung
