active_ingredient,nct_id,title,status,phase,conditions,min_age,max_age,paediatric,primary_outcomes,secondary_outcomes,growth_outcome_measured,growth_outcome_is_primary
TEDUGLUTIDE,NCT03268811,A Study in Japanese Children With Short Bowel Syndrome Who Completed SHP633-302,COMPLETED,PHASE3,Short Bowel Syndrome,,,False,Number of Participants With Treatment-emergent Adverse Events (TEAEs); Number of Participants With Clinically Significant Abnormalities in Vital Signs; Number of Participants With Clinically Significant Abnormalities in Laboratory Parameters; Percent Change From Baseline in Average Total Urine Outpu,Number of Participants Who Achieved At Least 20 Percent (%) Reduction From Baseline in Participants Diary Parenteral Support (PS) Volume at EOT of Each Cycle During Teduglutide Treatment; Number of Participants Who Achieved At Least 20 Percent (%) Reduction From Baseline in Investigator Prescribed P,True,True
TEDUGLUTIDE,NCT02980666,Study in Japanese Pediatric Subjects With Short Bowel Syndrome (SBS) Who Are Dependent on Parenteral Support,COMPLETED,PHASE3,Short Bowel Syndrome,4 Months,15 Years,True,Absolute Change From Baseline in Parenteral Support (PS) Volume at End of Treatment (EOT) Based on Dairy Data; Percent Change From Baseline in Parenteral Support (PS) Volume at End of Treatment (EOT) Based on Dairy Data; Absolute Change From Baseline in Parenteral Support (PS) Caloric Intake at End ,,True,True
ICATIBANT,NCT01386658,"A Pharmacokinetic, Tolerability and Safety Study of Icatibant in Children and Adolescents With Hereditary Angioedema",COMPLETED,PHASE3,Hereditary Angioedema (HAE),2 Years,17 Years,True,Time to Peak Concentration (Tmax) of a Single Subcutaneous (SC) Dose of Icatibant; Maximum Plasma Concentration (Cmax) of a Single Subcutaneous (SC) Dose of Icatibant; Total Plasma Clearance (CL/F) of a Single Subcutaneous (SC) Dose of Icatibant; Area Under the Plasma Concentration-time Curve From T,Time to Onset of Symptom Relief (TOSR) for Composite Investigator-Assessed Symptom Scores for Icatibant Exposure Number 1; Time to Onset of Symptom Relief (TOSR) for Composite Investigator-Assessed Symptom Scores for Icatibant Exposure Number 2 and 3; Time to Onset of Symptom Relief (TOSR) for Faces,False,False
ICATIBANT,NCT00517582,Bradykinin Receptor Blocker in ACE Inhibitor-associated Angioedema,TERMINATED,PHASE1,Angioneurotic Edema,18 Years,80 Years,False,"Time to resolution of angioedema, as defined as the time interval between when the participant first noted the onset of symptoms and when there is no objective evidence of angioedema by physical examination","Length of hospital stay, admission to the intensive care unit, requirement for intubation, duration of intubation, use of steroids, use of histamine receptor type 1 (H1) and H2 blockers, use of epinephrine, and blood pressure levels",True,False
ICATIBANT,NCT05509569,A Survey of Icatibant in Pediatric Participants With Hereditary Angioedema,COMPLETED,,Hereditary Angioedema (HAE),2 Years,17 Years,True,Number of Participants who Experience at Least One Treatment-Emergent Adverse Events (TEAE),Time from Onset of Seizure to Start of Treatment; Time from First Drug Administration to Symptom Resolution; Duration of Seizure,False,False
BECLOMETHASONE DIPROPIONATE,NCT00394329,(CARE Network Trial - Treating Children to Prevent Exacerbations of Asthma (TREXA),COMPLETED,PHASE3,Asthma,6 Years,18 Years,True,Participants Experiencing an Asthma Exacerbation That Requires Systemic Corticosteroid Therapy,Change Between Week 44 and Week 0 in the Asthma Control Days; Change Between Week 44 and Week 0 in Rescue Albuterol Puffs Per Day; Change Between Week 44 and Week 0 in the Pre-bronchodilator Forced Expiratory Volume in One Second (FEV!); Change Between Week 44 and Week 0 in the Morning Peak Expirato,False,False
BECLOMETHASONE DIPROPIONATE,NCT01265342,Efficacy of Nebulised Beclometasone in Viral Wheezing Prophylaxis,COMPLETED,PHASE4,Bronchial Spasm; Respiratory Sounds; Respiratory Tract Infections,12 Months,71 Months,True,% of children with wheezing (diagnosed by the paediatrician) during the URTI episode.,% of patients needing medical care during the treatment period;; % of patients receiving rescue medication during the treatment period;; % of patients admitted to an emergency department during the treatment period; Duration of the respiratory tract infection episode; % of patients with an asthma-li,False,False
BECLOMETHASONE DIPROPIONATE,NCT00094016,Evaluation of Two Doses of QVAR by Breath Operated and Metered Dose Inhalers in Asthmatic Children,COMPLETED,PHASE3,Asthma,5 Years,11 Years,True,,,False,False
BECLOMETHASONE DIPROPIONATE,NCT00938353,Efficacy of Nebulized Beclomethasone Dipropionate (BDP) in the Treatment of Moderate Croup,TERMINATED,PHASE3,Croup,6 Months,3 Years,True,To demonstrate superiority of nebulized BDP vs placebo in Westley croup score at 6 h,,False,False
BECLOMETHASONE DIPROPIONATE,NCT02319564,Combined Glucocorticoid Adrenergic Therapy For Wheezy Preschool Children,WITHDRAWN,PHASE4,Wheeze,12 Months,60 Months,True,Reduce unplanned-symptomatic visits to clinicians,Reduce the number of days with respiratory symptoms; Reduce the need for rescue salbutamol use; Reduce hospitalization rates of target population; Reduce overall societal health care costs of target population,False,False
BECLOMETHASONE DIPROPIONATE,NCT02113072,Recurrent Wheezing in Infants: Risk Factors and Prevention With Probiotics.,COMPLETED,PHASE3,Respiratory Tract Diseases; Wheezing,6 Months,23 Months,True,Recurrent wheezing and cytokine assay.,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01134705,Study in Adult and Adolescent Subjects With PAR (Perennial Allergic Rhinitis),COMPLETED,PHASE3,"Rhinitis, Allergic, Perennial",12 Years,,True,Change From Baseline in Average AM and PM Reflective Total Nasal Symptom Score (rTNSS) Over the Six-week Treatment Period,Change From Baseline in Average AM and PM Instantaneous Total Nasal Symptom Score (iTNSS) Over the Six-week Treatment Period; Change From Baseline in Rhinoconjunctivitis Quality of Life Questionnaire (RQLQ),False,False
BECLOMETHASONE DIPROPIONATE,NCT00115089,"7 Day Study of Mast Cell Inhibitor, R926112, in Patients With Symptomatic Seasonal Allergic Rhinitis",COMPLETED,PHASE2,"Rhinitis, Allergic, Seasonal",12 Years,,True,Change in total nasal symptom score from baseline over time,Change in individual symptoms; Global therapeutic response; Quality of life score,False,False
BECLOMETHASONE DIPROPIONATE,NCT00010283,"Beclomethasone in Treating Patients With Graft-Versus-Host Disease of the Esophagus, Stomach, Small Intestine, or Colon",COMPLETED,PHASE1; PHASE2,Breast Cancer; Chronic Myeloproliferative Disorders; Gestational Trophoblastic Tumor; Graft Versus Host Disease; Kidney Cancer; Leukemia; Lymphoma; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Neuroblastoma; Ovarian Cancer; Testicular Germ Cell Tumor,5 Years,75 Years,True,,,False,False
BECLOMETHASONE DIPROPIONATE,NCT00233896,Randomized Study of Oral Beclomethasone Dipropionate With Ten Days of Prednisone for Treatment of Gastrointestinal GVHD,COMPLETED,PHASE3,Graft Vs Host Disease; Gastrointestinal Graft-Versus-Host Disease,0 Years,,True,"Treatment failure (that is, flares of GVHD requiring immunosuppressive drug therapy) at study day 50.",Treatment failure at study day 80.; Survival at transplant day 200.; Adverse events.,False,False
BECLOMETHASONE DIPROPIONATE,NCT06139029,Comparison of 3% Normal Saline Nebulization Versus Steroid Nebulization in the Treatment of Bronchiolitis,COMPLETED,EARLY_PHASE1,Acute Bronchiolitis,3 Months,12 Months,True,efficacy of 3% hypertonic saline in acute brochiolitis,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01287351,"Real-world Effectiveness and Cost-effectiveness of Qvar Versus FP, a US Study",COMPLETED,,Asthma,5 Years,80 Years,True,"Proxy Asthma Control; Total number of asthma exacerbations and exacerbation rate ratio; Revised proxy asthma control; Risk Domain Asthma Control (in the subgroup of patients aged 12-60, the following additional analysis was done)","Asthma control plus no additional or change in therapy; Asthma control plus no additional change in therapy (where change is not driven by possible cost saving); Respiratory-related hospitalizations and referrals; Overall asthma control (Risk and Impairment) (in the subgroup of patients aged 12-60, ",False,False
BECLOMETHASONE DIPROPIONATE,NCT01475032,"Efficacy Study of the Product ""CHF 1535"" Versus Beclomethasone (BDP) and Free Combo in Asthmatic Children",COMPLETED,PHASE3,Asthma,5 Years,11 Years,True,pre-dose FEV1 (forced expiratory volume in the first second),Patient with Asthma symptoms; FVC (forced vital capacity); Rescue medication use; PEF (peak expiratory flow); Number of patients with adverse events; Blood parameters; Heart rate; Blood pressure,False,False
BECLOMETHASONE DIPROPIONATE,NCT01006655,The Effect of HFA - Beclomethasone Dipropionate Qvar on Bronchial Hyperreactivity in Preschool Children,COMPLETED,PHASE2,Asthma; Bronchial Hyperresponsiveness,3 Years,7 Years,True,Adenosine Challenge Test,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01450774,Comparison of Combination of Beclomethasone Dipropionate and Formoterol Fumarate Versus Single Components Assessed by Knemometry and Urinary Cortisol Measuremen,COMPLETED,PHASE3,Childhood Asthma,5 Years,11 Years,True,Lower leg growth rate measured by knemometry,24-hour urinary free cortisol/creatinine levels; Changes in pre-dose morning and evening PEF (L/min),True,True
BECLOMETHASONE DIPROPIONATE,NCT03503994,Inhaled Corticosteroids for Treatment of Bronchopulmonary Dysplasia,COMPLETED,NA,Bronchopulmonary Dysplasia,1 Week,4 Weeks,True,Reduction in FiO2 > 75%; Successful extubation,Ventilator rate (breaths per minute); Mean airway pressure (cm H2O); Peak inspiratory pressure (cm H2O),False,False
BECLOMETHASONE DIPROPIONATE,NCT02381158,Nebulized Beclomethasone Dipropionate Improves Respiratory Lung Function in Preschool Children With Recurrent Wheezing,COMPLETED,PHASE4,Wheezing,2 Years,5 Years,True,Lung fuction with Rint and FOT,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01333800,Cost-effectiveness Study of Beclomethasone Versus Ciclesonide as Controller Medications in Pediatric Asthma,COMPLETED,PHASE4,Asthma,6 Years,15 Years,True,Effectiveness measured as number of patients free of asthmatic crisis with each molecule during the study period,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01400217,"Qvar Versus Clenil, a General Practice Research Database Study",COMPLETED,,Asthma,4 Years,80 Years,True,Severe asthma exacerbation (ATS/ERS based defn); Primary composite asthma control,Exacerbation definition based on clinical experience; Asthma control + SABA usage; Treatment success; Asthma-related hospitalisations; Respiratory hospitalisations; SABA usage; ICS compliance; Oral Thrush,False,False
BECLOMETHASONE DIPROPIONATE,NCT00055666,Compassionate Use of Beclomethasone in Treating Patients With Graft-Versus-Host Disease of the Gastrointestinal Tract,COMPLETED,NA,Graft Versus Host Disease,4 Years,70 Years,True,,,False,False
BECLOMETHASONE DIPROPIONATE,NCT01520688,Effect of Flovent Discus vs QVAR vs Pulmicort Flexhaler on Short Term Growth,COMPLETED,PHASE4,Asthma,6 Years,11 Years,True,Short-term Lower Leg Growth During Treatment With Flovent Diskus 100 mcg BID or Pulmicort Flexhaler 180 mcg BID.,Short-term Lower Leg Growth During Treatment With Flovent Discus 100 mcg BID or QVAR 80 mcg BID.,False,False
BECLOMETHASONE DIPROPIONATE,NCT02040766,A Safety and Efficacy Study of Beclomethasone Dipropionate Delivered Via Breath-Actuated Inhaler (BAI) or Metered-Dose Inhaler (MDI) in Participants Ages 4-11 Y,COMPLETED,PHASE3,Asthma,4 Years,11 Years,True,Standardized Baseline-adjusted Trough Morning Percent Predicted Forced Expiratory Volume in 1 Second (FEV1) Area Under the Effect Curve From Time 0 to 12 Weeks (AUEC(0-12wk)),Change From Baseline in Weekly Average of Daily Trough Morning Peak Expiratory Flow (PEF) Over the 12-week Treatment Period; Change From Baseline in Weekly Average of Daily Evening Peak Expiratory Flow (PEF) Over the 12-week Treatment Period; Change From Baseline in the Weekly Average of Total Daily,False,False
BECLOMETHASONE DIPROPIONATE,NCT01658891,Comparison of Combination of Beclomethasone Dipropionate and Formoterol Fumarate Versus Single Components Assessed by Knemometry and Urinary Cortisol Measuremen,WITHDRAWN,PHASE3,Asthma in Children,5 Years,11 Years,True,Lower Leg Growth rate measured by Knemometry,24-hour urinary free cortisol/creatinine levels; Changes in pre-dose morning and evening PEF (L/min),True,True
BECLOMETHASONE DIPROPIONATE,NCT02040779,A 12-week Safety and Efficacy Study of Beclomethasone Dipropionate (80 and 160 mcg/Day) Delivered Via Breath-Actuated Inhaler (BAI) in Patients >=12 Years Old W,COMPLETED,PHASE3,Persistent Asthma,12 Years,,True,Standardized Baseline-Adjusted Trough Morning Forced Expiratory Volume in One Minute (FEV1) Area Under the Effect Curve From Time Zero to 12 Weeks (AUEC(0-12wk)) by Actual Treatment Received,Change From Baseline in Weekly Average of Daily Trough Morning Peak Expiratory Flow (PEF) Rate Over the 12-Week Treatment Period; Change From Baseline in Weekly Average of Daily Evening Peak Expiratory Flow (PEF) Over the 12-Week Treatment Period; Change From Baseline in Weekly Average of Total Dail,False,False
BECLOMETHASONE DIPROPIONATE,NCT01468272,Clinical Pharmacology of CHF 1535 50/6 ug Next DPI in Children 5-11 Years Old,COMPLETED,PHASE2,Asthma in Children,5 Years,11 Years,True,B17MP (active metabolite of BDP) Area Under Curve (AUC),"B17MP Cmax,Tmax,T1/2; BDP Area Under Curve (AUC), Cmax, Tmax, T1/2; Formoterol Area Under Curve (AUC), Cmax, Tmax, T1/2; plasma potassium Area Under Curve (AUC), Cmin, Tmin; Heart Rate: Time averaged Heart Rate value: AUC0-t/t; Urinary Cortisol: Amount excreted in 0-8hours (Ae),8h cortisol urinary e",False,False
BECLOMETHASONE DIPROPIONATE,NCT02577497,Effect of Extra- Fine Versus Coarse-Particle Inhaled Corticosteroids (ICS) on Ventilation Heterogeneity in Children With Poorly Controlled Asthma,COMPLETED,PHASE4,Asthma,6 Years,17 Years,True,Ventilation Heterogeneity Index (VHI),Change in Ventilation Heterogenity Index (VHI),False,False
BECLOMETHASONE DIPROPIONATE,NCT01632540,Effectiveness of Beclomethasone Dipropionate Nasal Aerosol for Perennial Allergic Rhinitis,COMPLETED,,Perennial Allergic Rhinitis (PAR),12 Years,,True,Change in Rhinitis Control Assessment Test (RCAT) Score,Change in the Abbreviated Treatment Satisfaction Questionnaire for Medication (TSQM-9) score; Change in the Work Productivity and Activity Impairment Questionnaire plus Classroom Impairment Questions: Allergy-specific (WPAI-CIQ-AS) score; Change in the Pittsburgh Sleep Quality Index (PSQI) score; Ch,False,False
BECLOMETHASONE DIPROPIONATE,NCT02513160,Study to Assess the Efficacy and Safety of Beclomethasone Dipropionate in Adolescent and Adult Patients 12 Years of Age and Older With Persistent Asthma,COMPLETED,PHASE3,Persistent Asthma,12 Years,,True,Standardized Baseline-Adjusted Trough Morning Forced Expiratory Volume in One Minute (FEV1) Area Under the Effect Curve From Time Zero to 6 Weeks (AUEC(0-6wk)),Change From Baseline in Weekly Average of Daily Trough Morning Peak Expiratory Flow (PEF) Rate Over the 6-Week Treatment Period; Change From Baseline in Weekly Average of Daily Trough Morning Forced Expiratory Volume in One Minute (FEV1) Rate Over the 6-Week Treatment Period; Change From Baseline in,False,False
BECLOMETHASONE DIPROPIONATE,NCT03855189,Safety and Efficacy of Mometasone Furoate (SCH 032088) vs Beclomethasone Dipropionate or Placebo in Seasonal Allergic Rhinitis (C93-013),COMPLETED,PHASE3,Seasonal Allergic Rhinitis,12 Years,,True,Change From Baseline in the Total Nasal Symptom Score (TNSS) (Average of Morning [AM]/Evening [PM] Score) Averaged Over Days 1 to 15 (Participant-Evaluated); Number of Participants Who Experienced ≥1 Adverse Event; Number of Participants Who Discontinued Treatment Due to An Adverse Event (AE),Change From Baseline in the TNSS At Day 4 (Physician-Evaluated); Change From Baseline in the TNSS At Day 8 (Physician-Evaluated); Change From Baseline in the TNSS At Day 15 (Physician-Evaluated); Change From Baseline in the TNSS At Day 22 (Physician-Evaluated); Change From Baseline in the TNSS At Da,False,False
