mouse_gene,human_gene,pmid,pmcid,doi,year,journal,title,discovered_by,figure,source_quotation,full_text_status,species,age,sex,bone,anatomical_location,method,method_named_in,probe_or_antibody_id,reagent_validation,knockout_negative_control,genetic_reporter,signal_resting,signal_proliferative,signal_prehypertrophic,signal_hypertrophic,signal_terminal_hypertrophic,signal_perichondrial,signal_non_chondrocyte,qualitative_intensity,quantified,localization_directly_visible,zone_call_source,excluded_context,n_zones_named,localization_intent_cue,genotype_cue_also_present,evidence_level,zone_pattern,n_independent_sources,pattern_replicates
Foxc1,FOXC1,39012257,PMC11361642,10.1242/dev.202798,2024,"Development (Cambridge, England)",FOXC1 and FOXC2 regulate growth plate chondrocyte maturation towards hypertrophy in the embryonic mouse limb skeleton.,EPMC_targeted,Fig. 7.,"FOXC1 and FOXC2 function in hypertrophic chondrocytes to regulate length of the primary ossification center. (A) Expression of Foxc1 (red) and Foxc2 (green) mRNA in the growth plate was assessed at E14.5 in control and Col10a1;Foxc1 Δ/Δ ;Foxc2 Δ/Δ embryos. (B) The percentage of cells containing three or more foci for Foxc1 and Foxc2 expression was determined in control and Col10a1;Foxc1 Δ/Δ ;Foxc2 Δ/Δ embryos ( n =4 embryos/genotype). (C) Safranin O histology of E16.5 tibia sections from control, Col10a1;Foxc1 Δ/Δ ;Foxc2 Δ/Δ and Col10a1-cre;Foxc1 + /Δ ;Foxc2 + /Δ embryos. (D) Length of the primary ossification center (POC) and hypertrophic chondrocyte (HC) zone from the proximal tibia was measured from control ( n =5), Col10a1-cre;Foxc1 Δ/Δ ;Foxc2 Δ/Δ ( n =5) and compound heterozygote Col10a1;Foxc1 + /Δ ;Foxc2 + /Δ ( n =4) embryos at E16.5. (E) COLX immunofluorescence localization at E14",FULL_TEXT_VERIFIED,mouse; human,E14.5,female,tibia,growth plate,immunofluorescence,figure caption,,,False,False,False,False,False,True,False,False,,strong,True,True,figure caption,,1,Expression of Foxc1,True,LEVEL_C,000100,1,False
Foxc1,FOXC1,24385915,PMC3868537,10.1371/journal.pgen.1003949,2013,PLoS genetics,Interaction between Foxc1 and Fgf8 during mammalian jaw patterning and in the pathogenesis of syngnathia.,EPMC_targeted,Figure 3,"Molecular analysis of developing TMJ in Foxc1 −/− embryos. In situ hybridization analysis on serial coronal cryosections in Foxc1 +/+ (A, C, E, G, I, K) and Foxc1 −/− (B, D, F, H, J, L) mouse heads at E17.5. (C–F) Sox9 is localized to the proliferating chondrocytes and Acan is localized to the cartilage of the condyle growth plate in wild-type and Foxc1 −/− condylar processes. In the absence of Foxc1 , the hypertrophic chondrocytes make up a larger proportion of the abnormally bifurcated condyle. (K, L) Coll expression is localized to the osteoblasts of the condyle in control and Foxc1 −/− embryos;",FULL_TEXT_VERIFIED,mouse,E17.5,,,growth plate,in situ hybridization,figure caption,,,False,False,False,True,False,True,False,False,osteoblast,,False,True,figure caption,,2,In situ hybridization analysis on serial coronal cryosections in Foxc1,False,LEVEL_C,010100,1,False
Hdac5,HDAC5,41454645,PMC12743641,10.1177/19476035251407304,2025,Cartilage,Stage-Specific Expression of Histone Deacetylases in the Mouse Mandibular Condylar Cartilage.,EPMC_targeted,Figure 9.,"Immunohistochemical expression of HDAC5 in mouse mandibular condylar cartilage across different age groups. Immunohistochemical staining images of HDAC5 in the mandibular condylar cartilage of mice at postnatal day 21 (D21, A , E , and I ), 3 months (3M, B , F , and J ), 10 months (10M, C , G , and K ), and 18 months (18M, D , H , and L ). HDAC5 exhibited moderate expression in the cytoplasm of chondrocytes within the hypertrophic zone, and this expression pattern was exclusively observed in 18-month-old mice. In addition, HDAC5 is predominantly expressed in the subchondral bone and bone marrow, with the highest expression level detected at 18 months.",FULL_TEXT_VERIFIED,mouse,18-month-old,male,,growth plate,immunohistochemistry,figure caption,,,False,False,False,False,False,True,False,False,marrow,moderate,False,True,figure caption,,1,expression of HDAC5,False,LEVEL_C,000100,1,False
Itgb1,ITGB1,37796615,PMC10721276,10.1172/jci.insight.171984,2023,JCI insight,Altered Sox9 and FGF signaling gene expression in Aga2 OI mice negatively affects linear growth.,EPMC_targeted,Figure 4,( E ) Violin plots showing increased Col1a1 and Itgb1 expression in growth plate cell clusters.,FULL_TEXT_VERIFIED,mouse; rat; human,P8,,femoral,growth plate,RNAscope; immunohistochemistry,figure caption,,,False,False,False,False,False,False,False,False,,,False,True,not resolved,dissociated,0,Itgb1 expression,False,LEVEL_D,000000,1,False
Junb,JUNB,34260921,PMC8293626,10.1016/j.celrep.2021.109352,2021,Cell reports,Regional specialization and fate specification of bone stromal cells in skeletal development.,EPMC_targeted,Figure 7,"Function of Jun-B in PDGFRβ + BMSCs in vivo (A) Junb transcripts in mpMSCs relative to dpMSCs (n = 3–4; (D) Maximum-intensity projection shows the reduction of PDGFRβ + (top) and PDGFRα + (bottom) cells (arrowheads) associated with metaphyseal vessel columns (indicated by dashed lines) near the growth plate in 3-week-old Junb iΔMSC bone. (E) Decrease of OSX + (green, arrowhead) cells in 3-week-old Junb iΔMSC metaphysis (n = 5; (F) Representative confocal images and quantitation showing increase of PLIN + adipocytes in Junb iΔMSC epiphysis and metaphysis relative to control (n = 5; (G) Image of control and Junb iΔMSC mutant femurs. Femur length is significantly reduced after inactivation of Junb .",FULL_TEXT_VERIFIED,mouse; rat; human; chick,3-week-old,male,femur,growth plate,immunofluorescence,figure caption,Cat# sc-65495,catalogue identifier,False,True,False,False,False,False,False,False,,,False,True,not resolved,,0,Junb transcripts,True,LEVEL_B,000000,1,False
Ptch1,PTCH1,38051593,PMC10906233,10.1172/jci.insight.165619,2024,JCI insight,Hedgehog activation promotes osteogenic fates of growth plate resting zone chondrocytes through transient clonal competency.,EPMC_targeted,Figure 2,"( A and B ) H&amp;E and Safranin O staining of Pthrp-creER Ptch1 fl/+ R26R tdTomato (PTHrP-Ptch Control, A ) and Pthrp-creER Ptch1 fl/fl R26R tdTomato (PTHrP-Ptch cKO, B ) distal femur at P36 (pulsed at P6). ( J ) RNAscope analysis of Ptch1 exon8–9 in Pthrp-creER Ptch +/+ R26R tdTomato (PTHrP-Ptch WT Control), Pthrp-creER Ptch1 fl/+ R26R tdTomato (PTHrP-Ptch cHet Control), and Pthrp-creER Ptch1 fl/fl R26R tdTomato (PTHrP-Ptch cKO) at P36 (pulsed at P6). Light blue: Ptch1 . ( K ) Quantification of Ptch1 exon8–9 mRNA levels in tdTomato + chondrocytes. The ratio of Ptch1 + tdTomato + area (μm 2 ) to tdTomato + (μm 2 ) area in growth plate.",FULL_TEXT_VERIFIED,mouse,P36,male,femur,growth plate,RNAscope; immunofluorescence; lineage tracing,figure caption,,,False,True,True,True,False,False,False,False,,,True,True,body text,,2,RNAscope analysis of Ptch1,True,LEVEL_A,110000,1,False
Ptch1,PTCH1,40406350,PMC12097805,10.1093/jbmrpl/ziaf048,2025,JBMR plus,Porcupine inhibition enhances hypertrophic cartilage differentiation.,EPMC_targeted,Figure 6,(C) Expression of Ptch1 (marker of proliferating zone) detected on histological sections of cultivated tibias by RNAscope. The treatment with C59 (0.5 or 1 μM) downregulated Ptch1 expression in the tibia growth plate.,FULL_TEXT_VERIFIED,mouse,E18,,tibias,growth plate,RNAscope,figure caption,,,False,False,False,True,False,False,False,False,,,False,True,figure caption,,1,Expression of Ptch1,False,LEVEL_C,010000,2,True
Ptch1,PTCH1,27741240,PMC5065210,10.1371/journal.pgen.1006352,2016,PLoS genetics,Smad2 and Smad3 Regulate Chondrocyte Proliferation and Differentiation in the Growth Plate.,EPMC_targeted,Fig 3,"(D) Immunostaining for Ptch1, showing increased protein levels throughout the growth plate in mutants, particularly in the resting zone.",FULL_TEXT_VERIFIED,mouse; rat; human,P0,,tibias,growth plate,in situ hybridization; immunofluorescence,figure caption,,,False,False,True,False,False,False,False,False,,,False,True,figure caption,,1,Immunostaining for Ptch1,False,LEVEL_C,100000,1,False
Ptch1,PTCH1,35574464,PMC9096555,10.3389/fphys.2022.877565,2022,Frontiers in physiology,Ptch2 is a Potential Regulator of Mesenchymal Stem Cells.,EPMC_targeted,FIGURE 2,"(G,H) Radioactive in situ hybridization in 2-week-old tibiae detecting Ptch2 (G) and Ptch1 (F) . (I,J) Immunostaining for Ptch1 (green) and Ptch2 (red) in the growth plate (I) and cortical bone (J) of 4-week-old tibiae.",FULL_TEXT_VERIFIED,mouse,P28,,tibiae,growth plate,in situ hybridization; immunofluorescence,figure caption,,,False,False,True,False,False,False,False,True,,,True,True,body text,,2,in situ hybridization in 2-week-old tibiae detecting Ptch2 (G) and Ptch1,False,LEVEL_C,100001,1,False
Ptch1,PTCH1,40088130,PMC12678681,10.1002/dvdy.70013,2025,Developmental dynamics : an official publication of the American Association of Anatomists,The role of the PTHrP/Ihh feedback loop in the unusual growth plate location in mammalian metatarsals and pisiforms.,EPMC_targeted,FIGURE 3,"Pthlh , Pth1r , Ihh , and Ptch1 expression in P0 metatarsals (MT). Ptch1 (J–L) Expression occurs in the round undifferentiated chondrocytes in the epiphysis, the columnar zone, the bone collar, and the primary center of ossification.",FULL_TEXT_VERIFIED,mouse; human,P0,,metatarsal,growth plate,RNAscope; in situ hybridization; immunohistochemistry; immunofluorescence; lineage tracing,elsewhere in body text,,,False,False,False,True,False,False,False,False,,strong,False,True,figure caption,,1,Ptch1 expression,False,LEVEL_D,010000,2,True
Ptch1,PTCH1,40088130,PMC12678681,10.1002/dvdy.70013,2025,Developmental dynamics : an official publication of the American Association of Anatomists,The role of the PTHrP/Ihh feedback loop in the unusual growth plate location in mammalian metatarsals and pisiforms.,EPMC_targeted,FIGURE 5,"Pthlh , Pth1r , Ihh , and Ptch1 expression in P4 metatarsals (MT). Ptch1 (J–L) Expression occurs in periarticular, epiphyseal, and columnar chondrocytes and in the bone collar and primary center of ossification.",FULL_TEXT_VERIFIED,mouse; human,P4,,metatarsal,growth plate,RNAscope; in situ hybridization; immunohistochemistry; immunofluorescence; lineage tracing,elsewhere in body text,,,False,False,False,True,False,False,False,False,,strong,False,True,figure caption,,1,Ptch1 expression,False,LEVEL_D,010000,2,True
Ptch1,PTCH1,36443296,PMC9705540,10.1038/s41467-022-34804-6,2022,Nature communications,The fate of early perichondrial cells in developing bones.,EPMC_targeted,Fig. 4,"b Feature plots of Ihh and Ptch1 . c Violin plots displaying the expression distribution of Ihh and Ptch1 in each cluster. Cluster 1 is scored as the dominant sender, receiver, and influencer of the Ihh-Ptch1 signaling pathway. f Hierarchical plot showing the intercellular interactions of the chondrocyte-perichondrial cell lineage via the Ihh-Ptch1 signaling pathway. Ptch1 fl/+ ; Ptch1 fl/fl ; R26R tdTomato (Dlx5-Ptch1 cKO), Fgfr3-creER ; Ptch1 fl/+ ; Ptch1 fl/fl ; R26R tdTomato (Fgfr3-Ptch1 cKO), femur at E18.5 (pulsed at E12.5). n = 8 (Dlx5-Control), n = 11 (Dlx5-Ptch1 cKO), n = 10 (Fgfr3-Control), n = 8 (Dlx5-Ptch1 cKO) mice per each group. n = 8 (Dlx5-Control), n = 11 (Dlx5-Ptch1 cKO), n = 10 (Fgfr3-Control), n = 8 (Dlx5-Ptch1 cKO) mice per group.",FULL_TEXT_VERIFIED,mouse,E13.5,male,femur,growth plate,lineage tracing,figure caption,,,False,True,False,False,False,False,False,True,,,True,True,figure caption,dissociated,1,Ptch1 signal,True,LEVEL_D,000001,1,False
Ptch1,PTCH1,40088130,PMC12678681,10.1002/dvdy.70013,2025,Developmental dynamics : an official publication of the American Association of Anatomists,The role of the PTHrP/Ihh feedback loop in the unusual growth plate location in mammalian metatarsals and pisiforms.,EPMC_targeted,FIGURE 6,"Pthlh , Pth1r , Ihh and Ptch1 expression in P9 metatarsals (MT). Ptch1 (J–L) Growth plate expression occurs in organized periarticular, reserve, and columnar chondrocytes and in the bone collar and primary center of ossification but is reduced in epiphyseal and hypertrophic chondrocytes.",FULL_TEXT_VERIFIED,mouse; human,P9,,metatarsal,growth plate,RNAscope; in situ hybridization; immunohistochemistry; immunofluorescence; lineage tracing,elsewhere in body text,,,False,False,False,True,False,True,False,False,,strong,False,True,figure caption,,2,Ptch1 expression,False,LEVEL_D,010100,1,False
Runx2,RUNX2,41427853,PMC13232623,10.1093/jbmr/zjaf199,2026,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,A RUNX2 reporter is expressed prior to osteochondral differentiation and models metaphyseal dysplasia with maxillary hypoplasia and brachydactyly.,EPMC_targeted,Figure 7,"The Runx2 GFP allele upregulates RUNX2 protein levels and alters chondrocyte differentiation at postnatal day 10. Runx2 GFP/GFP tibias exhibit moderate reductions in columnar zone thickness and more dramatic reductions in hypertrophic zones. Noted with blue arrows are pre-hypertrophic chondrocytes (distinguished by nuclear spacing) that exhibit reduced frequency in Runx2 GFP/GFP growth plates (C and D) Higher magnification view of tibial hypertrophic zone chondrocytes. Runx2 GFP/GFP hypertrophic chondrocytes are smaller and more condensed. Runx2 GFP/GFP ISS is closing as PS and BS bones have fused, and ISS has become a unidirectional adjacent bulge. Runx2 GFP/GFP SOS is condensed with smaller thickness compared to WT. Runx2 GFP/GFP experience condensed growth plates, synchondroses, and hypertrophic zones. Runx2 GFP/GFP hypertrophic chondrocytes have a higher cell density compared to WT. ",FULL_TEXT_VERIFIED,mouse; human,P10,,tibial,growth plate,reporter mouse,methods section,,,False,True,False,True,True,True,False,False,osteoblast,moderate,True,True,figure caption,,3,RUNX2 protein,False,LEVEL_A,011100,1,False
Runx2,RUNX2,40442075,PMC12122814,10.1038/s41413-025-00426-z,2025,Bone research,RUNX2 is essential for maintaining synchondrosis chondrocytes and cranial base growth.,EPMC_targeted,Fig. 8,"RUNX2-FGFR3-MAPK-SOX9 signaling controls postnatal cranial base development. Fgfr3-Runx2 cHet and Fgfr3-Runx2 cKO mice were injected with tamoxifen at P3 and lineage-traced to P21. Fgfr3 + Fgfr3 CE -Control + and FGFR3 + Fgfr3 CE -Control + expression is localized to proliferating and pre-hypertrophic chondrocytes, respectively, in Fgfr3-Runx2 cHet synchondroses ( a , b , left magnified panels, arrowheads). Fgfr3 + Fgfr3 CE -∆Runx2 + cells are distributed randomly throughout Runx2 cKO synchondroses ( a , right magnified panels, arrowheads). FGFR3 + Fgfr3 CE -∆Runx2 chondrocytes robustly label chondrocyte layers in Fgfr3-Runx2 cKO synchondroses ( b , right magnified panels, arrowheads). c Fgfr3-Runx2 cHet and Fgfr3-Runx2 cKO mice were injected with tamoxifen at P3 and lineage-traced to P21. pERK1/2 + Fgfr3 CE -Control + cells sparsely label Fgfr3-Runx2 cHet hypertrophic-like chondrocytes ",FULL_TEXT_VERIFIED,mouse,P3,female,,growth plate,lineage tracing,figure caption,,,False,True,False,False,True,False,False,False,,strong; weak; absent,True,True,figure caption,,1,Runx2 + cells,True,LEVEL_A,001000,1,False
Runx2,RUNX2,41194970,PMC12585761,10.1002/jsp2.70133,2025,JOR spine,PIEZO1-Primary Cilia Axis Mediates Compressive Stress-Induced Growth Plate Degeneration and Ossification in Adolescent Idiopathic Scoliosis.,EPMC_targeted,FIGURE 2,"(G) Immunofluorescence staining was used to detect the changes in COL2A1 and RUNX2 levels in growth plate chondrocytes after applying compressive stress for different time periods (0, 12 h).",FULL_TEXT_VERIFIED,mouse; rat; human,,,,growth plate,immunofluorescence,figure caption,,,False,True,False,False,False,False,False,False,,,False,True,not resolved,,0,RUNX2 levels,False,LEVEL_B,000000,1,False
Runx2,RUNX2,40993116,PMC12460606,10.1038/s41413-025-00459-4,2025,Bone research,Mechanism of Piezo1 regulating chondrocyte mitochondrial function and promoting fracture healing through β-catenin/LARS2 signaling pathway.,EPMC_targeted,Fig. 2,"d qPCR was used to detect changes in the expression of Piezo1, Opn, and Runx2 in the callus of each group 14 days after femoral fracture. e – h WB was used to detect the expression changes of Piezo1, OPN, and RUNX2 in the callus of each group 14 days after femoral fracture, along with statistical analysis, n = 5. m , n IHC staining was used to detect changes in the expression of RUNX2 in hypertrophic chondrocytes of the callus in each group 14 days after femoral fracture, with statistical analysis, scale = 625 μm (up) and 200 μm (down), n = 5.",FULL_TEXT_VERIFIED,mouse,12-week-old,male,femoral,growth plate,immunohistochemistry,figure caption,,,False,True,False,False,False,True,False,False,,,False,True,figure caption,,1,expression of RUNX2,False,LEVEL_B,000100,1,False
