condition,kind,exposure_arm,plate,well,row,column,animal_id,litter_id,bone_id,is_edge_well
vehicle (edge position control),VEHICLE,continuous,4,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,G01,G,1,,,,True
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,4,G05,G,5,L11A6,L11,L11A6-MT2-L,False
vehicle,VEHICLE,continuous,4,G06,G,6,L12A7,L12,L12A7-MT4-R,False
vehicle (edge position control),VEHICLE,continuous,4,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,4,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,5,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,B01,B,1,,,,True
vehicle,VEHICLE,continuous,5,B03,B,3,L7A6,L7,L7A6-MT3-R,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,5,B06,B,6,L4A3,L4,L4A3-MT4-R,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,5,B07,B,7,L1A7,L1,L1A7-MT4-L,False
vehicle (edge position control),VEHICLE,continuous,5,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,5,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,D01,D,1,,,,True
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,5,D02,D,2,L5A5,L5,L5A5-MT2-R,False
vehicle (edge position control),VEHICLE,continuous,5,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,E01,E,1,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,5,E02,E,2,L5A7,L5,L5A7-MT2-L,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,5,E09,E,9,L7A7,L7,L7A7-MT2-L,False
vehicle (edge position control),VEHICLE,continuous,5,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,5,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,G01,G,1,,,,True
vehicle,VEHICLE,continuous,5,G03,G,3,L6A4,L6,L6A4-MT4-R,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,5,G04,G,4,L13A5,L13,L13A5-MT3-R,False
IGF1,PRODUCTIVE BENCHMARK,continuous,5,G10,G,10,L1A5,L1,L1A5-MT4-L,False
vehicle (edge position control),VEHICLE,continuous,5,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,5,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,6,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,B01,B,1,,,,True
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,6,B03,B,3,L3A4,L3,L3A4-MT4-L,False
vehicle (edge position control),VEHICLE,continuous,6,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,C01,C,1,,,,True
IGF1,PRODUCTIVE BENCHMARK,continuous,6,C06,C,6,L2A5,L2,L2A5-MT2-L,False
washout-only,WASHOUT CONTROL,washout + recovery,6,C07,C,7,L13A3,L13,L13A3-MT2-L,False
vehicle (edge position control),VEHICLE,continuous,6,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,D01,D,1,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,6,D08,D,8,L5A4,L5,L5A4-MT3-R,False
vehicle (edge position control),VEHICLE,continuous,6,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,6,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,6,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,6,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,6,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,7,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,B01,B,1,,,,True
vehicle,VEHICLE,continuous,7,B03,B,3,L8A7,L8,L8A7-MT3-L,False
vehicle (edge position control),VEHICLE,continuous,7,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,C01,C,1,,,,True
washout-only,WASHOUT CONTROL,washout + recovery,7,C08,C,8,L9A4,L9,L9A4-MT2-L,False
vehicle (edge position control),VEHICLE,continuous,7,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,D01,D,1,,,,True
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,7,D03,D,3,L8A8,L8,L8A8-MT4-R,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,7,D05,D,5,L14A5,L14,L14A5-MT3-R,False
vehicle (edge position control),VEHICLE,continuous,7,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,7,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,7,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,7,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,7,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,8,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,B01,B,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,D01,D,1,,,,True
washout-only,WASHOUT CONTROL,washout + recovery,8,D03,D,3,L5A6,L5,L5A6-MT3-R,False
vehicle (edge position control),VEHICLE,continuous,8,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,E01,E,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,F01,F,1,,,,True
washout-only,WASHOUT CONTROL,washout + recovery,8,F11,F,11,L8A2,L8,L8A2-MT3-R,False
vehicle (edge position control),VEHICLE,continuous,8,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,8,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,9,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,B01,B,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,C01,C,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,D01,D,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,D12,D,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,E01,E,1,,,,True
IGF1,PRODUCTIVE BENCHMARK,continuous,9,E10,E,10,L1A6,L1,L1A6-MT2-R,False
vehicle (edge position control),VEHICLE,continuous,9,E12,E,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,F01,F,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,F12,F,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,G01,G,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,G12,G,12,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H01,H,1,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H02,H,2,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H03,H,3,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H04,H,4,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H05,H,5,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H06,H,6,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H07,H,7,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H08,H,8,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H09,H,9,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H10,H,10,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H11,H,11,,,,True
vehicle (edge position control),VEHICLE,continuous,9,H12,H,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A01,A,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A02,A,2,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A03,A,3,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A04,A,4,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A05,A,5,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A06,A,6,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A07,A,7,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A08,A,8,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A09,A,9,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A10,A,10,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A11,A,11,,,,True
vehicle (edge position control),VEHICLE,continuous,10,A12,A,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,B01,B,1,,,,True
vehicle (edge position control),VEHICLE,continuous,10,B12,B,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,C01,C,1,,,,True
antiproliferative control,CYTOTOXIC CONTROL,continuous,10,C03,C,3,L9A7,L9,L9A7-MT4-R,False
vehicle (edge position control),VEHICLE,continuous,10,C12,C,12,,,,True
vehicle (edge position control),VEHICLE,continuous,10,D01,D,1,,,,True
