compound,pubchem_cid,source_paper_pmid,experimental_model,disease_model,experimental_concentration,experimental_conc_nM,target,direct_or_indirect,biochemical_potency,potency_nM,species,assay_type,direction,evidence_source,engaged_at_experimental_conc
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CA1,assay-derived,median 2.32 uM,2320.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CA2,assay-derived,median 1.24 uM,1240.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CA4,assay-derived,median 3.98 uM,3980.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,CA6,assay-derived,median 4.36 uM,4360.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,Alpi,assay-derived,median 1.36 uM,1360.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,PF3D7_0932300,assay-derived,median 1.38 uM,1376.0,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,GPT2,assay-derived,median 28.2 uM,28183.8,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,recA,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
(-)-epicatechin,72276.0,35078974,Fgfr3Y367C/+ achondroplasia model,True,"in vivo, dose not in passage",,GSTO1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ALK tyrosine kinase receptor,direct (measured affinity),IC50 990,990.0,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ALK tyrosine kinase receptor,direct (measured affinity),Kd 300,300.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ALK tyrosine kinase receptor/Echinoderm microtubule-associated protein-like 4,direct (measured affinity),EC50 6258,6258.0,Human,EC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Cyclin-G-associated kinase,direct (measured affinity),Kd 91,91.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Cytoplasmic tyrosine-protein kinase BMX,direct (measured affinity),IC50 48,48.0,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Epidermal growth factor receptor,direct (measured affinity),EC50 26,26.0,Human,EC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Epidermal growth factor receptor,direct (measured affinity),IC50 0.040000,0.04,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Epidermal growth factor receptor,direct (measured affinity),Kd 0.300000,0.3,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Epidermal growth factor receptor [L858R],direct (measured affinity),IC50 2.60,2.6,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,"Epidermal growth factor receptor [T790M,L858R]",direct (measured affinity),IC50 1.02,1.02,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,NUAK family SNF1-like kinase 2,direct (measured affinity),Kd 10.0,10.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Receptor tyrosine-protein kinase erbB-4,direct (measured affinity),Kd 28,28.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Receptor-type tyrosine-protein kinase FLT3,direct (measured affinity),Kd 33,33.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Serine/threonine-protein kinase DCLK3,direct (measured affinity),Kd 910,910.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Serine/threonine-protein kinase PLK4,direct (measured affinity),Kd 100,100.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Tyrosine-protein kinase Blk,direct (measured affinity),Kd 220,220.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Tyrosine-protein kinase BTK,direct (measured affinity),Kd 36,36.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Tyrosine-protein kinase JAK3,direct (measured affinity),IC50 2820,2820.0,Human,IC50,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Tyrosine-protein kinase JAK3,direct (measured affinity),Kd 150,150.0,Human,Kd,,BindingDB,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,Abl1,assay-derived,median 9.69 uM,9690.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,CYP3A7,assay-derived,median 17.8 uM,17782.8,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,CYP2C9,assay-derived,median 13.5 uM,13450.4,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,CYP2D6,assay-derived,median 23.9 uM,23918.5,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,EGFR,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ERBB4,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ALK,assay-derived,median 3.62 uM,3624.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,EML4,assay-derived,median 6.26 uM,6258.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,IGF1R,assay-derived,median 1.3 uM,1300.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,INSR,assay-derived,median 1.2 uM,1200.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,ITK,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,JAK3,assay-derived,median 0.15 uM,150.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,MLLT3,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,S,assay-derived,median 31.6 uM,31622.8,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,SIAE,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,RAD52,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,BLK,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,SYK,assay-derived,median 1.86 uM,1860.6,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,BTK,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,TOP1P1,assay-derived,median 24.7 uM,24722.9,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,TP53,assay-derived,median 24.7 uM,24722.9,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,NSD2,assay-derived,median 6.74 uM,6740.0,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,YES1,assay-derived,median 4.87 uM,4873.2,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,LASVsSgp1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,LASVsLgp1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,LCMVsSgp2,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
LB-100,44607530.0,33986191,"Fgfr3Y367C/+ fetal femur, combined with BMN-111",True,"ex vivo, dose not in passage",,NUAK1,assay-derived,median 0.025 uM,25.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,Histone deacetylase,direct (measured affinity),Ki 2800,2800.0,Human,Ki,,BindingDB,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC6,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC5,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,DRD1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC1,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC2,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,LMP-1,assay-derived,,,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC7,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC8,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,SLC6A3,assay-derived,median 3.2 uM,3200.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC11,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC10,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC3,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC9,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
4-phenylbutyrate,4775.0,34990412,G610C osteogenesis imperfecta,True,0.4 mg/day i.p.,,HDAC4,assay-derived,median 2.8 uM,2800.0,,median IC50/EC50,,PubChem BioAssay,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Constitutive androstane receptor,direct (measured affinity),pIC50 7.2,63.0957,Human,pIC50,Antagonist,Guide to Pharmacology,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Constitutive androstane receptor,direct (measured affinity),pEC50 7.6,25.1189,Mouse,pEC50,Agonist,Guide to Pharmacology,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Cruzipain,direct (measured affinity),IC50 129000,129000.0,Trypanosoma cruzi,IC50,,BindingDB,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Histamine H1 receptor,direct (measured affinity),Ki 250,250.0,Rat,Ki,,BindingDB,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Prothrombin,direct (measured affinity),IC50 >20000,,Bovine,IC50,,BindingDB,
meclozine,4034.0,35118060,FGF2-treated and Fgfr3ach,True,oral / organ culture,,Serine protease hepsin,direct (measured affinity),IC50 2020,2020.0,Human,IC50,,BindingDB,
