gene,label,reported_direction,ensembl_id,n_associated_diseases,top_diseases,stature_related_diseases,n_stature_related_diseases,exclusion_hits,proportionate_phenotype_mentioned,epmc_tall_stature_records,epmc_proportionate_records,epmc_dysplasia_records,dysplasia_to_tall_ratio,classification,usable_as_a_human_validated_target
IGF1R,IGF1 receptor,gain of function,ENSG00000140443,60,growth delay due to insulin-like growth factor I resistance; Abnormality of the skeletal system; Graves ophthalmopathy; neurodegenerative disease; hereditary disease; Growth delay,growth delay due to insulin-like growth factor I resistance; Growth delay; growth hormone insensitivity syndrome; Short stature,4,none,True,1261,3,2212,1.75,DISPROPORTIONATE_OR_DYSPLASTIC,False
NSD1,Sotos,loss of function,ENSG00000165671,60,Sotos syndrome; Beckwith-Wiedemann syndrome; acute myeloid leukemia; hereditary disease; head and neck squamous cell carcinoma; Weaver syndrome,Sotos syndrome; Beckwith-Wiedemann syndrome; Weaver syndrome; Beckwith-Wiedemann syndrome due to NSD1 mutation; marfanoid habitus and intellectual disability; Tall stature,7,severe neurological or organ disease; soft-tissue or oedematous overgrowth,True,676,3,515,0.76,EXCLUDED_SEVERE,False
EZH2,Weaver,loss of function,ENSG00000106462,60,Weaver syndrome; diffuse large B-cell lymphoma; neurodegenerative disease; follicular lymphoma; viral infectious disease; melanoma,Weaver syndrome,1,none,True,819,3,2828,3.45,DISPROPORTIONATE_OR_DYSPLASTIC,False
PTEN,PTEN hamartoma,loss of function,ENSG00000171862,60,Cowden syndrome 1; macrocephaly-autism syndrome; PTEN hamartoma tumor syndrome; Cowden disease; glioma susceptibility 2; Bannayan-Riley-Ruvalcaba syndrome,none,0,none,False,3198,3,7180,2.25,DISPROPORTIONATE_OR_DYSPLASTIC,False
SRC,SRC,-,ENSG00000197122,60,"cancer; chronic myelogenous leukemia, BCR-ABL1 positive; actinic keratosis; acute lymphoblastic leukemia; medullary thyroid gland carcinoma; Noonan syndrome",none,0,none,False,2007,3,5382,2.68,DISPROPORTIONATE_OR_DYSPLASTIC,False
IGFBP3,IGF binding protein 3,loss of function,ENSG00000146674,60,Abnormality of the skeletal system; lymphatic system disorder; cataract; open-angle glaucoma; Alzheimer disease; prostate cancer,none,0,none,False,311,2,716,2.3,DISPROPORTIONATE_OR_DYSPLASTIC,False
ACAN,aggrecan,loss of function,ENSG00000157766,60,"spondyloepimetaphyseal dysplasia, aggrecan type; Familial osteochondritis dissecans; spondyloepiphyseal dysplasia, Kimberley type; osteochondritis dissecans; Abnormality of the skeletal system; hereditary disease",short stature-advanced bone age-early-onset osteoarthritis syndrome; ACAN-related short stature spectrum; Short stature,3,none,True,255,2,939,3.68,DISPROPORTIONATE_OR_DYSPLASTIC,False
CYP19A1,aromatase,loss of function,ENSG00000137869,60,aromatase deficiency; breast cancer; breast carcinoma; aromatase excess syndrome; neoplasm; endometrial cancer,Growth delay,1,none,True,204,2,381,1.87,DISPROPORTIONATE_OR_DYSPLASTIC,False
DNMT3A,Tatton-Brown-Rahman,loss of function,ENSG00000119772,60,acute myeloid leukemia; Tatton-Brown-Rahman overgrowth syndrome; Heyn-Sproul-Jackson syndrome; myelodysplastic syndrome; myeloid leukemia; chronic myelomonocytic leukemia,Tatton-Brown-Rahman overgrowth syndrome,1,none,True,813,2,2718,3.34,DISPROPORTIONATE_OR_DYSPLASTIC,False
FBN1,Marfan,loss of function,ENSG00000166147,60,"Marfan syndrome; ectopia lentis 1, isolated, autosomal dominant; Acromicric dysplasia; geleophysic dysplasia 2; stiff skin syndrome; progeroid and marfanoid aspect-lipodystrophy syndrome",Marfan syndrome; progeroid and marfanoid aspect-lipodystrophy syndrome; neonatal Marfan syndrome; marfan syndrome/loeys-dietz syndrome/familial thoracic aortic aneurysms and dissections; Glaucoma - ectopia - microspherophakia - stiff joints - short stature; Tall stature,7,severe neurological or organ disease,True,715,2,1321,1.85,EXCLUDED_SEVERE,False
NPR3,CNP clearance receptor,loss of function,ENSG00000113389,60,Boudin-Mortier syndrome; hypertensive disorder; essential hypertension; Increased blood pressure; Abnormality of the skeletal system; cardiovascular disorder,Camptodactyly - tall stature - scoliosis - hearing loss; camptodactyly-tall stature-scoliosis-hearing loss syndrome,2,none,True,96,1,149,1.55,DISPROPORTIONATE_OR_DYSPLASTIC,False
STAT5B,GH signal transducer,gain of function,ENSG00000173757,60,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive; growth hormone insensitivity syndrome with immune dysregulation 2, autosomal dominant; cancer; severe combined immunodeficiency; combined immunodeficiency; T-B+ severe combined immunodeficiency","growth hormone insensitivity with immune dysregulation 1, autosomal recessive; growth hormone insensitivity syndrome with immune dysregulation 2, autosomal dominant",2,none,True,138,1,495,3.59,DISPROPORTIONATE_OR_DYSPLASTIC,False
HMGA2,HMGA2,gain of function,ENSG00000149948,60,Silver-Russell syndrome 5; type 2 diabetes mellitus; diabetes mellitus; Abnormality of the skeletal system; Silver-Russell syndrome; diabetic eye disease,none,0,none,False,275,1,661,2.4,DISPROPORTIONATE_OR_DYSPLASTIC,False
CHD8,CHD8,loss of function,ENSG00000100888,60,autism; hereditary disease; autism spectrum disorder; Intellectual disability; neurodevelopmental disorder; complex neurodevelopmental disorder,Overgrowth; marfanoid habitus and intellectual disability; Tall stature,3,severe neurological or organ disease,True,310,1,297,0.96,EXCLUDED_SEVERE,False
MEN1,MEN1,loss of function,ENSG00000133895,60,multiple endocrine neoplasia type 1; multiple endocrine neoplasia; Angiofibroma; hyperparathyroidism; lung carcinoid tumor; Inherited cancer-predisposing syndrome,growth hormone-secreting pituitary adenoma,1,tumour-driven overgrowth,True,280,1,834,2.98,EXCLUDED_TUMOUR-DRIVEN,False
AIP,pituitary adenoma predisposition,loss of function,ENSG00000110711,60,growth hormone-secreting pituitary adenoma; familial isolated pituitary adenoma; growth hormone secreting pituitary adenoma 1; hereditary neoplastic syndrome; Inherited cancer-predisposing syndrome; pituitary tumor,growth hormone-secreting pituitary adenoma; growth hormone secreting pituitary adenoma 1; growth hormone-producing pituitary gland neoplasm; acromegaly,4,tumour-driven overgrowth,True,547,1,922,1.69,EXCLUDED_TUMOUR-DRIVEN,False
GPR101,X-linked acrogigantism,gain of function,ENSG00000165370,60,growth hormone-secreting pituitary adenoma; type 2 diabetes mellitus; X-linked acrogigantism due to Xq26 microduplication; early-onset non-syndromic cataract; Peters anomaly; Familial ocular anterior segment mesenchymal dysgenesis,growth hormone-secreting pituitary adenoma; X-linked acrogigantism due to Xq26 microduplication,2,tumour-driven overgrowth,True,61,1,74,1.21,EXCLUDED_TUMOUR-DRIVEN,False
GNAS,McCune-Albright,gain of function,ENSG00000087460,60,pseudohypoparathyroidism type 1A; pseudohypoparathyroidism type 1C; McCune-Albright syndrome; Albright hereditary osteodystrophy; pseudohypoparathyroidism type 1B; ACTH-independent macronodular adrenal hyperplasia 1,growth hormone-producing pituitary gland adenoma; Short stature,2,tumour-driven overgrowth,True,554,1,2573,4.64,EXCLUDED_TUMOUR-DRIVEN,False
ABL1,ABL1,-,ENSG00000097007,60,"chronic myelogenous leukemia, BCR-ABL1 positive; congenital heart defects and skeletal malformations syndrome; acute lymphoblastic leukemia; neoplasm; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; gastrointestinal stromal tumor",none,0,none,False,204,1,1192,5.84,DISPROPORTIONATE_OR_DYSPLASTIC,False
NPPC,C-natriuretic peptide,gain of function,ENSG00000163273,60,knee fracture; neurodegenerative disease; respiratory failure; Abnormality of the skeletal system; benign thyroid gland neoplasm; ovarian dysfunction,none,0,none,False,105,0,152,1.45,DISPROPORTIONATE_OR_DYSPLASTIC,False
GPC3,Simpson-Golabi-Behmel,loss of function,ENSG00000147257,60,Simpson-Golabi-Behmel syndrome type 1; Simpson-Golabi-Behmel syndrome; Wilms tumor 1; COVID-19; hereditary disease; dengue disease,Simpson-Golabi-Behmel syndrome type 1; Simpson-Golabi-Behmel syndrome,2,none,True,538,0,632,1.17,DISPROPORTIONATE_OR_DYSPLASTIC,False
CBS,homocystinuria,loss of function,ENSG00000160200,60,"classic homocystinuria; Classical homocystinuria; homocystinuria; hyperhomocysteinemia, thrombotic, cbs-related; familial thoracic aortic aneurysm and aortic dissection; Marfan syndrome",classic homocystinuria; Classical homocystinuria; homocystinuria; Marfan syndrome,4,none,True,713,0,1518,2.13,DISPROPORTIONATE_OR_DYSPLASTIC,False
ROCK1,ROCK1,-,ENSG00000067900,60,open-angle glaucoma; ocular hypertension; glaucoma; graft versus host disease; neurodegenerative disease; Fuchs endothelial corneal dystrophy,none,0,none,False,162,0,392,2.42,DISPROPORTIONATE_OR_DYSPLASTIC,False
ROCK2,ROCK2,-,ENSG00000134318,60,open-angle glaucoma; ocular hypertension; glaucoma; graft versus host disease; neurodegenerative disease; Fuchs endothelial corneal dystrophy,none,0,none,False,115,0,259,2.25,DISPROPORTIONATE_OR_DYSPLASTIC,False
HMGCR,HMGCR,-,ENSG00000113161,60,Hypercholesterolemia; hyperlipidemia; coronary artery disorder; familial hypercholesterolemia; stroke disorder; cardiovascular disorder,none,0,none,False,180,0,360,2.0,DISPROPORTIONATE_OR_DYSPLASTIC,False
SMO,SMO,-,ENSG00000128602,60,Curry-Jones syndrome; basal cell carcinoma; congenital hypothalamic hamartoma syndrome; acute myeloid leukemia; medulloblastoma; neoplasm,none,0,none,False,505,0,1613,3.19,DISPROPORTIONATE_OR_DYSPLASTIC,False
LIMK1,LIMK1,-,ENSG00000106683,60,neurodegenerative disease; undetermined early-onset epileptic encephalopathy; Hernia of the abdominal wall; alcohol drinking; Venous thrombosis; hemorrhoid,none,0,none,False,109,0,195,1.79,DISPROPORTIONATE_OR_DYSPLASTIC,False
LIMK2,LIMK2,-,ENSG00000182541,60,autoimmune disorder of central nervous system; oral cavity neoplasm; hypertensive disorder; multiple sclerosis; colorectal carcinoma; retinitis pigmentosa,none,0,none,False,26,0,68,2.62,DISPROPORTIONATE_OR_DYSPLASTIC,False
