animal_id,litter_id,bone_id,foot,digit,arm,arm_role,node,concentration,plate_id,well_position,mounting_orientation,imaging_batch,annotator_blinded,arm_label_masked_until_analysis_lock
A007,L02,A007-B3,R,3,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A007,L02,A007-B4,R,4,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A008,L02,A008-B1,L,3,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A008,L02,A008-B2,L,4,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A008,L02,A008-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A008,L02,A008-B4,R,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB02,True,True
A009,L03,A009-B1,L,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A009,L03,A009-B2,L,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A009,L03,A009-B3,R,3,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A009,L03,A009-B4,R,4,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P03,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A010,L03,A010-B1,L,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A010,L03,A010-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A010,L03,A010-B3,R,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A010,L03,A010-B4,R,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A011,L03,A011-B1,L,3,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A011,L03,A011-B2,L,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A011,L03,A011-B3,R,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A011,L03,A011-B4,R,4,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A012,L03,A012-B1,L,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A012,L03,A012-B2,L,4,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A012,L03,A012-B3,R,3,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A012,L03,A012-B4,R,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P04,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB03,True,True
A013,L04,A013-B1,L,3,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A013,L04,A013-B2,L,4,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A013,L04,A013-B3,R,3,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A013,L04,A013-B4,R,4,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A014,L04,A014-B1,L,3,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A014,L04,A014-B2,L,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A014,L04,A014-B3,R,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A014,L04,A014-B4,R,4,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A015,L04,A015-B1,L,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A015,L04,A015-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A015,L04,A015-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A015,L04,A015-B4,R,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P05,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A016,L04,A016-B1,L,3,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A016,L04,A016-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A016,L04,A016-B3,R,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A016,L04,A016-B4,R,4,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB04,True,True
A017,L05,A017-B1,L,3,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A017,L05,A017-B2,L,4,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A017,L05,A017-B3,R,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A017,L05,A017-B4,R,4,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A018,L05,A018-B1,L,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A018,L05,A018-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A018,L05,A018-B3,R,3,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A018,L05,A018-B4,R,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P06,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A019,L05,A019-B1,L,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A019,L05,A019-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A019,L05,A019-B3,R,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A019,L05,A019-B4,R,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A020,L05,A020-B1,L,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A020,L05,A020-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A020,L05,A020-B3,R,3,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A020,L05,A020-B4,R,4,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB05,True,True
A021,L06,A021-B1,L,3,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A021,L06,A021-B2,L,4,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A021,L06,A021-B3,R,3,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A021,L06,A021-B4,R,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P07,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A022,L06,A022-B1,L,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A022,L06,A022-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A022,L06,A022-B3,R,3,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A022,L06,A022-B4,R,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A023,L06,A023-B1,L,3,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A023,L06,A023-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A023,L06,A023-B3,R,3,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A023,L06,A023-B4,R,4,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A024,L06,A024-B1,L,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A024,L06,A024-B2,L,4,vehicle,VEHICLE,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A024,L06,A024-B3,R,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A024,L06,A024-B4,R,4,Y-27632,COMPOUND + MECHANICS_REFERENCE,-,SET IN STAGE 71 - lowest engaging rung,P08,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB06,True,True
A025,L07,A025-B1,L,3,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A025,L07,A025-B2,L,4,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A025,L07,A025-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A025,L07,A025-B4,R,4,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A026,L07,A026-B1,L,3,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A026,L07,A026-B2,L,4,SIMVASTATIN,COMPOUND,HMGCR,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A026,L07,A026-B3,R,3,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A026,L07,A026-B4,R,4,LX-7101,COMPOUND,LIMK,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A027,L07,A027-B1,L,3,bafilomycin A1,TRADE_OFF_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A027,L07,A027-B2,L,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A027,L07,A027-B3,R,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A027,L07,A027-B4,R,4,cytochalasin D,BROAD_ACTIN_DISRUPTION_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P09,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A028,L07,A028-B1,L,3,VISMODEGIB,COMPOUND,SMO,SET IN STAGE 71 - lowest engaging rung,P10,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A028,L07,A028-B2,L,4,IGF1,PRODUCTIVE_GROWTH_BENCHMARK,-,SET IN STAGE 71 - lowest engaging rung,P10,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A028,L07,A028-B3,R,3,hypotonic medium,OSMOTIC_SWELLING_CONTROL,-,SET IN STAGE 71 - lowest engaging rung,P10,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
A028,L07,A028-B4,R,4,BOSUTINIB,COMPOUND,SRC,SET IN STAGE 71 - lowest engaging rung,P10,randomised within plate; corners reserved for vehicle,"bone axis in the protocol orientation, recorded per explant and used as a covariate",IB07,True,True
