gene,target_class,allelic_series_class,verdict,requirements_met,failing_requirements,human_direction,human_direction_note,molecular_direction,molecular_direction_note,animal_agreement,animal_agreement_note,accessible_intervention,accessible_intervention_note,human_causal_grade_increasing,human_increasing_variants,n_mouse_longer,n_mouse_shorter,subcellular_location,transmembrane_regions,n_chembl_targets,chembl_activities,uniprot
ADAMTS17,extracellular protease,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs2573652; rs4369638; rs72755233),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,12,rs2573652; rs4369638; rs72755233,0,4,"Secreted, extracellular space, extracellular matrix",0,0,0,Q8TE56
CHSY1,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs62621400),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,5,rs62621400,0,6,"Golgi apparatus, Golgi stack membrane; Secreted",1,0,0,Q86X52
MATN3,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs52826764),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,5,rs52826764,0,3,Secreted,0,0,0,O15232
GHR,cell-surface receptor,SYNDROMIC_OVERGROWTH,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs6180; rs6184),False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,3,rs6180; rs6184,0,8,Cell membrane; Secreted,1,1,4,P10912
MMP14,extracellular protease,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs17880989),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,cell-surface - reachable at the receptor level,3,rs17880989,0,5,Cell membrane; Cytoplasm; Melanosome,1,2,2161,P50281
LTBP3,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs763648441),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,2,rs763648441,0,4,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,Q9NS15
ROR2,cell-surface receptor,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs10761129),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,cell-surface - reachable at the receptor level,2,rs10761129,0,9,Cell membrane,1,1,5,Q01974
LCORL,transcriptional / other,DIRECTION_UNRESOLVED,fewer than two of four,1,the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,True,protein-altering variants raise height (rs61731457),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",False,intracellular only - no extracellular intervention point,1,rs61731457,0,1,Nucleus,0,0,0,Q8N3X6
BMP2,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,Secreted,0,1,45,P12643
GH1,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,2,Secreted,0,0,0,P01241
IGFALS,secreted inhibitor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants LOWER height - wrong direction,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,"Secreted, extracellular space",0,0,0,P35858
NPR2,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,10,Cell membrane,1,2,29,P20594
PAPPA2,extracellular protease,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,7,Secreted,0,0,0,Q9BXP8
SLC26A2,ion transporter / enzyme,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,2,Apical cell membrane; Cell membrane,8,0,0,P50443
ACVR1,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,1,Membrane,1,2,7025,Q04771
ADAMTS6,extracellular protease,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants LOWER height - wrong direction,False,no allele of stated molecular type produced a length change,False,no mouse length phenotype recorded - agreement untestable,True,secreted - reachable by an extracellular agent,0,,0,0,"Secreted, extracellular space, extracellular matrix",0,0,0,Q9UKP5
CHRD,secreted inhibitor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,Secreted,0,0,0,Q9H2X0
COL11A1,binding protein / matrix,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,"Secreted, extracellular space, extracellular matrix",0,0,0,P12107
HSPG2,binding protein / matrix,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,6,"Secreted; Secreted, extracellular space, extracellular matrix, basement membrane",0,1,2,P98160
IGF1,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,5,Secreted,0,1,1,P05019
IGF1R,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,2,Cell membrane,1,3,9043,P08069
IHH,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,6,Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Secreted,0,0,0,Q14623
INSR,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,1,Cell membrane; Late endosome; Lysosome,1,3,7861,P06213
LIFR,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,Cell membrane; Secreted,1,1,51,P42702
MMP13,extracellular protease,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,2,"Secreted; Secreted, extracellular space, extracellular matrix",0,4,5682,P45452
NOG,secreted inhibitor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,2,Secreted,0,0,0,Q13253
NPPC,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,8,Secreted,0,0,0,P23582
PAPPA,extracellular protease,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,3,Secreted,0,0,0,Q13219
PCSK5,extracellular protease,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,Endomembrane system; Secreted,1,1,16,Q92824
PTH1R,cell-surface receptor,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,4,Cell membrane,7,3,47188,Q03431
PTHLH,ligand / local hormone,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,8,Cytoplasm; Nucleus; Secreted,0,1,0,P12272
SPARC,binding protein / matrix,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,0,1,"Secreted, extracellular space, extracellular matrix, basement membrane",0,0,0,P09486
TRIP11,ion transporter / enzyme,REJECT,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,0,1,"Cytoplasm, cytoskeleton; Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus, cis-Golgi network membrane",0,0,0,Q15643
IGF2,ligand / local hormone,REJECT,fewer than two of four,0,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS,False,no human increasing variant to agree with,False,subcellular location not retrieved - accessibility unknown,0,,0,5,,0,1,0,Q6U949
DOT1L,ion transporter / enzyme,REJECT,fewer than two of four,0,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,False,intracellular only - no extracellular intervention point,0,,0,2,Cytoplasm; Nucleus,0,3,769,Q8TEK3
GDF5,ligand / local hormone,REJECT,fewer than two of four,0,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,False,subcellular location not retrieved - accessibility unknown,0,,0,6,Mitochondrion,0,0,0,Q5U4N7
HMGA2,transcriptional / other,REJECT,fewer than two of four,0,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,False,no protein-altering human height variant,False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,False,intracellular only - no extracellular intervention point,0,,0,4,Nucleus,0,0,0,P52926
ZBTB38,transcriptional / other,REJECT,fewer than two of four,0,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction; a realistic extracellular or receptor-level intervention point exists,False,protein-altering variants LOWER height - wrong direction,False,no allele of stated molecular type produced a length change,False,no mouse length phenotype recorded - agreement untestable,False,intracellular only - no extracellular intervention point,0,,0,0,Chromosome; Nucleus,0,0,0,Q8NAP3
