pmcid,pmid,doi,title,year,journal,cited_by,found_by,query_kinds,is_anchor,relevance
PMC13206727,42205595,10.1016/j.jot.2026.101127,RhoA deficiency in chondrocyte inhibits cartilage fibrosis and ameliorates osteoarthritis progression via SOX4/MMP2 axis.,2026,Journal of orthopaedic translation,0,"""RHOA""; ""Y27632""; ""fasudil""",compound x growth plate; target x growth x geometry,False,5.0
PMC12192619,40565195,10.3390/ijms26125732,Sarcoglycans Role in Actin Cytoskeleton Dynamics and Cell Adhesion of Human Articular Chondrocytes: New Insights from siRNA-Mediated Gene Silencing.,2025,International journal of molecular sciences,0,"""focal adhesion""",target x growth x geometry,False,5.0
PMC12841748,41596581,10.3390/ijms27020934,Venom-Derived Proteins from &lt;i&gt;Lonomia obliqua&lt;/i&gt; Modulate Cytoskeletal Regulators and Inflammatory Responses in Human Chondrocytes.,2026,International journal of molecular sciences,0,"""CDC42""; ""RAC1""; ""RHOA""",target x growth x geometry,False,5.0
PMC4333081,25264362,10.1002/jbmr.2377,Planar cell polarity aligns osteoblast division in response to substrate strain.,2015,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,25,"""GSK269962""",compound x growth plate,False,4.041666666666667
PMC11748379,39819247,10.1177/00368504241311964,The bidirectional relationship between cilia and PCP signaling pathway core protein Vangl2.,2025,Science progress,1,"""cofilin""; ""microtubule""; ""planar cell polarity""; ""primary cilia""",target x growth x geometry,False,4.001666666666667
PMC5187946,27999417,10.3390/ijms17122146,Insights on Molecular Mechanisms of Chondrocytes Death in Osteoarthritis.,2016,International journal of molecular sciences,262,"""amiloride""",compound x growth plate,False,3.4366666666666665
PMC5279942,28135189,10.7554/elife.21074,Direct measurement of TRPV4 and PIEZO1 activity reveals multiple mechanotransduction pathways in chondrocytes.,2017,eLife,214,"""GSK1016790A""",compound x growth plate,False,3.3566666666666665
PMC9637484,36328754,10.1016/j.jare.2022.01.004,Mechanical overloading induces GPX4-regulated chondrocyte ferroptosis in osteoarthritis via Piezo1 channel facilitated calcium influx.,2022,Journal of advanced research,208,"""GsMTx4""",compound x growth plate,False,3.3466666666666667
PMC6403405,30854241,10.1038/s41413-019-0046-y,Collagen type II suppresses articular chondrocyte hypertrophy and osteoarthritis progression by promoting integrin β1-SMAD1 interaction.,2019,Bone research,170,"""integrin beta1""",target x growth x geometry,False,3.283333333333333
PMC6571082,31203465,10.1007/s11926-019-0837-6,"The Role of Chondrocyte Morphology and Volume in Controlling Phenotype-Implications for Osteoarthritis, Cartilage Repair, and Cartilage Engineering.",2019,Current rheumatology reports,136,"""CDC42""; ""NKCC1""; ""aquaporin""; ""bumetanide""; ""cytochalasin D""",compound x growth plate; target x growth x geometry,False,3.2266666666666666
PMC7986209,33314394,10.1002/dvdy.278,Making and shaping endochondral and intramembranous bones.,2021,Developmental dynamics : an official publication of the American Association of Anatomists,133,"""cadherin""; ""chondrocyte column""; ""planar cell polarity""",target x growth x geometry,False,3.2216666666666667
PMC8194090,34124045,10.3389/fcell.2021.664168,Molecular Mechanisms of Chondrocyte Proliferation and Differentiation.,2021,Frontiers in cell and developmental biology,114,"""planar cell polarity""",target x growth x geometry,False,3.19
PMC5566454,28827734,10.1038/s41598-017-09335-6,"Integrative epigenomics, transcriptomics and proteomics of patient chondrocytes reveal genes and pathways involved in osteoarthritis.",2017,Scientific reports,102,"""acetazolamide""",compound x growth plate,False,3.17
PMC2148217,10189377,10.1083/jcb.145.1.183,Integrin-regulated secretion of interleukin 4: A novel pathway of mechanotransduction in human articular chondrocytes.,1999,The Journal of cell biology,99,"""integrin beta1""",target x growth x geometry,False,3.165
PMC3179305,21542006,10.1002/jbmr.294,Unique roles of phosphorus in endochondral bone formation and osteocyte maturation.,2011,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,88,"""jasplakinolide""",compound x growth plate,False,3.1466666666666665
PMC9832042,36627269,10.1038/s41467-022-35359-2,Age-related matrix stiffening epigenetically regulates α-Klotho expression and compromises chondrocyte integrity.,2023,Nature communications,84,"""latrunculin""",compound x growth plate,False,3.14
PMC9114637,35602590,10.3389/fcell.2022.885224,"The Role of Mechanically-Activated Ion Channels Piezo1, Piezo2, and TRPV4 in Chondrocyte Mechanotransduction and Mechano-Therapeutics for Osteoarthritis.",2022,Frontiers in cell and developmental biology,82,"""GsMTx4""; ""PIEZO2""",compound x growth plate; target x growth x geometry,False,3.1366666666666667
PMC2638010,19229324,10.1371/journal.pone.0004543,C/EBPbeta Promotes transition from proliferation to hypertrophic differentiation of chondrocytes through transactivation of p57.,2009,PloS one,78,"""nocodazole""",compound x growth plate,False,3.13
PMC5867295,29616218,10.3389/fbioe.2018.00018,Recent Insights into the Contribution of the Changing Hypertrophic Chondrocyte Phenotype in the Development and Progression of Osteoarthritis.,2018,Frontiers in bioengineering and biotechnology,76,"""aquaporin""",target x growth x geometry,False,3.1266666666666665
PMC1584246,16984628,10.1186/1471-2199-7-30,The transcription factor ATF3 is upregulated during chondrocyte differentiation and represses cyclin D1 and A gene transcription.,2006,BMC molecular biology,76,"""cytochalasin D""",compound x growth plate,False,3.1266666666666665
PMC10891122,38395992,10.1038/s41413-024-00315-x,Piezo1 expression in chondrocytes controls endochondral ossification and osteoarthritis development.,2024,Bone research,70,"""GsMTx4""; ""PIEZO1""; ""PIEZO2""; ""Yoda1""",compound x growth plate; target x growth x geometry,False,3.1166666666666667
PMC10372640,37459546,10.1073/pnas.2221958120,Membrane stretch as the mechanism of activation of PIEZO1 ion channels in chondrocytes.,2023,Proceedings of the National Academy of Sciences of the United States of America,69,"""PIEZO2""",target x growth x geometry,False,3.115
PMC8403401,34454425,10.1186/s10020-021-00360-w,G protein coupled estrogen receptor attenuates mechanical stress-mediated apoptosis of chondrocyte in osteoarthritis via suppression of Piezo1.,2021,"Molecular medicine (Cambridge, Mass.)",65,"""cofilin""",target x growth x geometry,False,3.1083333333333334
PMC9984452,36869045,10.1038/s41413-023-00248-x,Mechanotransduction pathways in articular chondrocytes and the emerging role of estrogen receptor-α.,2023,Bone research,59,"""GSK1016790A""; ""nocodazole""",compound x growth plate,False,3.098333333333333
PMC7084733,32106481,10.3390/ijms21051560,Pathomechanisms of Posttraumatic Osteoarthritis: Chondrocyte Behavior and Fate in a Precarious Environment.,2020,International journal of molecular sciences,57,"""nobiletin""",compound x growth plate,False,3.095
PMC3823937,24244418,10.1371/journal.pone.0079057,"Changes in morphology, gene expression and protein content in chondrocytes cultured on a random positioning machine.",2013,PloS one,56,"""integrin beta1""",target x growth x geometry,False,3.0933333333333333
PMC8313235,34309509,10.7554/elife.64513,Chondrocytes in the resting zone of the growth plate are maintained in a Wnt-inhibitory environment.,2021,eLife,55,"""planar cell polarity""",target x growth x geometry,False,3.091666666666667
PMC4038465,24875294,10.1371/journal.pgen.1004364,"SHP2 regulates chondrocyte terminal differentiation, growth plate architecture and skeletal cell fates.",2014,PLoS genetics,50,"""chondrocyte column""",target x growth x geometry,False,3.0833333333333335
PMC9293991,35851381,10.1038/s41467-022-31592-x,Periosteal stem cells control growth plate stem cells during postnatal skeletal growth.,2022,Nature communications,50,"""chondrocyte column""",target x growth x geometry,False,3.0833333333333335
PMC8018402,33775217,10.1080/19336950.2021.1903184,Mechanosensory and mechanotransductive processes mediated by ion channels in articular chondrocytes: Potential therapeutic targets for osteoarthritis.,2021,"Channels (Austin, Tex.)",46,"""GSK1016790A""; ""GsMTx4""; ""PIEZO2""; ""RN-1734""; ""amiloride""",compound x growth plate; target x growth x geometry,False,3.0766666666666667
PMC6838640,31737632,10.3389/fcell.2019.00270,Chondral Differentiation of Induced Pluripotent Stem Cells Without Progression Into the Endochondral Pathway.,2019,Frontiers in cell and developmental biology,45,"""Y27632""",compound x growth plate,False,3.075
PMC3473050,23091616,10.1371/journal.pone.0047338,Accelerated growth plate mineralization and foreshortened proximal limb bones in fetuin-A knockout mice.,2012,PloS one,42,"""chondrocyte column""",target x growth x geometry,False,3.07
PMC3638701,23653665,10.1155/2013/326150,A review of the combination of experimental measurements and fibril-reinforced modeling for investigation of articular cartilage and chondrocyte response to loading.,2013,Computational and mathematical methods in medicine,33,"""osmotic swelling""",target x growth x geometry,False,3.055
PMC7876322,33584647,10.3389/fimmu.2020.580936,Acid-Sensing Ion Channel-1a in Articular Chondrocytes and Synovial Fibroblasts: A Novel Therapeutic Target for Rheumatoid Arthritis.,2020,Frontiers in immunology,33,"""NSC23766""; ""amiloride""",compound x growth plate,False,3.055
PMC3978574,24286344,10.1186/ar4337,The progressive ankylosis gene product ANK regulates extracellular ATP levels in primary articular chondrocytes.,2013,Arthritis research & therapy,33,"""GSK1016790A""",compound x growth plate,False,3.055
PMC10178441,37175575,10.3390/ijms24097868,Activation of the Mechanosensitive Ion Channels Piezo1 and TRPV4 in Primary Human Healthy and Osteoarthritic Chondrocytes Exhibits Ion Channel Crosstalk and Modulates Gene Expression.,2023,International journal of molecular sciences,32,"""GSK1016790A""; ""Yoda1""",compound x growth plate,False,3.0533333333333332
PMC4538715,26914879,10.1186/s40634-015-0027-z,Surgical-experimental principles of anterior cruciate ligament (ACL) reconstruction with open growth plates.,2015,Journal of experimental orthopaedics,32,"""CASIN""",compound x growth plate,False,3.0533333333333332
PMC6554687,31214026,10.3389/fphar.2019.00570,Nobiletin Inhibits IL-1β-Induced Inflammation in Chondrocytes <i>via</i> Suppression of NF-κB Signaling and Attenuates Osteoarthritis in Mice.,2019,Frontiers in pharmacology,31,"""nobiletin""",compound x growth plate,False,3.0516666666666667
PMC4042480,23995703,10.4161/chan.26071,Chondrocyte channel transcriptomics: do microarray data fit with expression and functional data?,2013,"Channels (Austin, Tex.)",30,"""bumetanide""",compound x growth plate,False,3.05
PMC4443976,26010756,10.1371/journal.pone.0127166,Regulation of α5 and αV Integrin Expression by GDF-5 and BMP-7 in Chondrocyte Differentiation and Osteoarthritis.,2015,PloS one,29,"""integrin beta1""",target x growth x geometry,False,3.0483333333333333
PMC8586806,34805821,10.1016/j.mbplus.2021.100088,Runx2 is required for hypertrophic chondrocyte mediated degradation of cartilage matrix during endochondral ossification.,2021,Matrix biology plus,29,"""cholesterol""; ""planar cell polarity""",compound x growth plate; target x growth x geometry,False,3.0483333333333333
PMC4804234,27005960,10.1038/srep23433,ATX-LPA1 axis contributes to proliferation of chondrocytes by regulating fibronectin assembly leading to proper cartilage formation.,2016,Scientific reports,28,"""integrin beta1""",target x growth x geometry,False,3.046666666666667
PMC10707713,38069417,10.3390/ijms242317096,"Human Chondrocytes, Metabolism of Articular Cartilage, and Strategies for Application to Tissue Engineering.",2023,International journal of molecular sciences,27,"""cadherin""",target x growth x geometry,False,3.045
PMC6928971,31757091,10.3390/ijms20235840,Recent Insights into Long Bone Development: Central Role of Hedgehog Signaling Pathway in Regulating Growth Plate.,2019,International journal of molecular sciences,27,"""cholesterol""",compound x growth plate; target x growth x geometry,False,3.045
PMC3619633,23634175,10.1155/2013/164146,Superficial collagen fibril modulus and pericellular fixed charge density modulate chondrocyte volumetric behaviour in early osteoarthritis.,2013,Computational and mathematical methods in medicine,26,"""osmotic swelling""",target x growth x geometry,False,3.0433333333333334
PMC6912508,31652962,10.3390/jcm8111771,Re-Differentiation Capacity of Human Chondrocytes in Vitro Following Electrical Stimulation with Capacitively Coupled Fields.,2019,Journal of clinical medicine,25,"""osmotic swelling""",target x growth x geometry,False,3.0416666666666665
PMC9626746,36339269,10.1016/j.isci.2022.105370,Close-to-native bone repair via tissue-engineered endochondral ossification approaches.,2022,iScience,25,"""Y27632""",compound x growth plate,False,3.0416666666666665
PMC3820264,24046357,10.1242/dmm.013342,A novel transgenic mouse model of growth plate dysplasia reveals that decreased chondrocyte proliferation due to chronic ER stress is a key factor in reduced bone growth.,2013,Disease models & mechanisms,24,"""chondrocyte column""",target x growth x geometry,False,3.04
PMC9777101,36552775,10.3390/cells11244011,Chondrocyte De-Differentiation: Biophysical Cues to Nuclear Alterations.,2022,Cells,23,"""cofilin""",target x growth x geometry,False,3.038333333333333
PMC3154001,20200963,10.1002/jbmr.47,A key role for membrane transporter NKCC1 in mediating chondrocyte volume increase in the mammalian growth plate.,2010,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,23,"""NKCC1""; ""SLC12A2""; ""bumetanide""; ""furosemide""",compound x growth plate; target x growth x geometry,False,3.038333333333333
PMC7940258,33636111,10.1016/j.stemcr.2021.01.014,Differentiation of Hypertrophic Chondrocytes from Human iPSCs for the In Vitro Modeling of Chondrodysplasias.,2021,Stem cell reports,22,"""Y-27632""",compound x growth plate,False,3.0366666666666666
PMC8064313,33805168,10.3390/cells10040726,Regulation of TGFβ Signalling by TRPV4 in Chondrocytes.,2021,Cells,22,"""GSK1016790A""",compound x growth plate,False,3.0366666666666666
PMC10281885,37171185,10.3724/abbs.2023086,The role of mechano growth factor in chondrocytes and cartilage defects: a concise review.,2023,Acta biochimica et biophysica Sinica,22,"""RHOA""; ""focal adhesion""",target x growth x geometry,False,3.0366666666666666
PMC5333381,28265203,10.1186/s12950-017-0153-8,Overexpression of aquaporin 4 in articular chondrocytes exacerbates the severity of adjuvant-induced arthritis in rats: an <i>in vivo</i> and <i>in vitro</i> study.,2017,"Journal of inflammation (London, England)",22,"""acetazolamide""",compound x growth plate,False,3.0366666666666666
PMC8122406,33919210,10.3390/ijms22094313,Polycystin-2 Is Required for Chondrocyte Mechanotransduction and Traffics to the Primary Cilium in Response to Mechanical Stimulation.,2021,International journal of molecular sciences,22,"""GSK1016790A""",compound x growth plate,False,3.0366666666666666
PMC5756537,27266646,10.1016/j.joca.2016.05.019,Activation of a chondrocyte volume-sensitive Cl(-) conductance prior to macroscopic cartilage lesion formation in the rabbit knee anterior cruciate ligament transection osteoarthritis model.,2016,Osteoarthritis and cartilage,21,"""osmotic swelling""",target x growth x geometry,False,3.035
PMC4981366,27116676,10.1080/15476278.2016.1181238,Membrane channel gene expression in human costal and articular chondrocytes.,2016,Organogenesis,21,"""NKCC1""",target x growth x geometry,False,3.035
PMC3925234,24551245,10.1371/journal.pone.0089352,Filamin B regulates chondrocyte proliferation and differentiation through Cdk1 signaling.,2014,PloS one,21,"""integrin beta1""",target x growth x geometry,False,3.035
PMC6311764,30647818,10.1155/2018/8421394,Different Forms of ER Stress in Chondrocytes Result in Short Stature Disorders and Degenerative Cartilage Diseases: New Insights by Cartilage-Specific ERp57 Knockout Mice.,2018,Oxidative medicine and cellular longevity,21,"""osmotic swelling""",target x growth x geometry,False,3.035
PMC11794573,39904988,10.1038/s41392-025-02136-8,Single-cell transcriptomics reveals novel chondrocyte and osteoblast subtypes and their role in knee osteoarthritis pathogenesis.,2025,Signal transduction and targeted therapy,20,"""PIEZO1""",target x growth x geometry,False,3.033333333333333
PMC7560579,33088364,10.1016/j.jdsr.2020.07.001,Roles of CCN2 as a mechano-sensing regulator of chondrocyte differentiation.,2020,The Japanese dental science review,20,"""cofilin""; ""latrunculin""",compound x growth plate; target x growth x geometry,False,3.033333333333333
PMC10069868,36920035,10.7554/elife.79925,Lineage-specific differences and regulatory networks governing human chondrocyte development.,2023,eLife,20,"""Y-27632""",compound x growth plate,False,3.033333333333333
PMC5133847,27827993,10.3390/ijms17111847,Hydrostatic Compress Force Enhances the Viability and Decreases the Apoptosis of Condylar Chondrocytes through Integrin-FAK-ERK/PI3K Pathway.,2016,International journal of molecular sciences,19,"""integrin beta1""",target x growth x geometry,False,3.0316666666666667
PMC9949800,36810131,10.7554/elife.71154,Skeletal dysplasia-causing TRPV4 mutations suppress the hypertrophic differentiation of human iPSC-derived chondrocytes.,2023,eLife,19,"""GSK1016790A""; ""Y-27632""",compound x growth plate,False,3.0316666666666667
PMC9763315,36561564,10.3389/fendo.2022.1060187,"Zebrafish endochondral growth zones as they relate to human bone size, shape and disease.",2022,Frontiers in endocrinology,19,"""planar cell polarity""",target x growth x geometry,False,3.0316666666666667
PMC10119120,37080994,10.1038/s41413-023-00258-9,Nutrient-regulated dynamics of chondroprogenitors in the postnatal murine growth plate.,2023,Bone research,19,"""chondrocyte column""",target x growth x geometry,False,3.0316666666666667
PMC6794761,31636894,10.1186/s13578-019-0344-5,KIF5B modulates central spindle organization in late-stage cytokinesis in chondrocytes.,2019,Cell & bioscience,18,"""cell rotation""; ""nocodazole""",compound x growth plate; target x growth x geometry,False,3.03
PMC11774761,39794539,10.1038/s42255-024-01187-5,The pentose phosphate pathway controls oxidative protein folding and prevents ferroptosis in chondrocytes.,2025,Nature metabolism,18,"""Y-27632""",compound x growth plate,False,3.03
PMC8172534,34079065,10.1038/s42003-021-02175-1,PP2A in LepR+ mesenchymal stem cells contributes to embryonic and postnatal endochondral ossification through Runx2 dephosphorylation.,2021,Communications biology,18,"""centrosome""",target x growth x geometry,False,3.03
PMC9968733,36860844,10.3389/fimmu.2023.1102912,Cell morphology as a biological fingerprint of chondrocyte phenotype in control and inflammatory conditions.,2023,Frontiers in immunology,18,"""CDC42""; ""RAC1""; ""primary cilia""",target x growth x geometry,False,3.03
PMC8433335,34508093,10.1038/s41467-021-25714-0,Application of 3D MAPs pipeline identifies the morphological sequence chondrocytes undergo and the regulatory role of GDF5 in this process.,2021,Nature communications,17,"""planar cell polarity""",target x growth x geometry,False,3.0283333333333333
PMC8379782,34419165,10.1186/s13287-021-02536-x,Melatonin contributes to the hypertrophic differentiation of mesenchymal stem cell-derived chondrocytes via activation of the Wnt/β-catenin signaling pathway : Melatonin promotes MSC-derived chondrocytes hypertrophy.,2021,Stem cell research & therapy,17,"""osmotic swelling""",target x growth x geometry,False,3.0283333333333333
PMC10283062,37351173,10.7150/thno.85077,Microtubule stabilization targeting regenerative chondrocyte cluster for cartilage regeneration.,2023,Theranostics,17,"""ROCK1""; ""ROCK2""; ""nocodazole""",compound x growth plate; target x growth x geometry,False,3.0283333333333333
PMC8034469,33713570,10.1111/jcmm.16419,Circular RNA circANAPC2 mediates the impairment of endochondral ossification by miR-874-3p/SMAD3 signalling pathway in idiopathic short stature.,2021,Journal of cellular and molecular medicine,15,"""centrosome""",target x growth x geometry,False,3.025
PMC7329885,32612184,10.1038/s41598-020-67518-0,Disorganization of chondrocyte columns in the growth plate does not aggravate experimental osteoarthritis in mice.,2020,Scientific reports,14,"""chondrocyte column""",target x growth x geometry,False,3.0233333333333334
PMC11154833,38842129,10.1111/jcmm.18472,Excessive load promotes temporomandibular joint chondrocyte apoptosis via Piezo1/endoplasmic reticulum stress pathway.,2024,Journal of cellular and molecular medicine,13,"""GsMTx4""",compound x growth plate,False,3.0216666666666665
PMC9317907,35887171,10.3390/ijms23147817,Cranial Base Synchondrosis: Chondrocytes at the Hub.,2022,International journal of molecular sciences,13,"""planar cell polarity""; ""primary cilia""",target x growth x geometry,False,3.0216666666666665
PMC3509456,23213422,10.1242/bio.2012547,"Evidence for lysosomal exocytosis and release of aggrecan-degrading hydrolases from hypertrophic chondrocytes, in vitro and in vivo.",2012,Biology open,13,"""chondrocyte column""; ""nocodazole""",compound x growth plate; target x growth x geometry,False,3.0216666666666665
PMC10203046,37228756,10.1016/j.xgen.2023.100299,Genome-wide CRISPR screening of chondrocyte maturation newly implicates genes in skeletal growth and height-associated GWAS loci.,2023,Cell genomics,13,"""MYH9""; ""planar cell polarity""",target x growth x geometry,False,3.0216666666666665
PMC11897792,40078882,10.1093/rb/rbaf004,Up IGF-I via high-toughness adaptive hydrogels for remodeling growth plate of children.,2025,Regenerative biomaterials,13,"""microtubule""",target x growth x geometry,False,3.0216666666666665
PMC7729373,33313232,10.21037/atm-20-6000,"Remifentanil repairs cartilage damage and reduces the degradation of cartilage matrix in post-traumatic osteoarthritis, and inhibits IL-1β-induced apoptosis of articular chondrocytes via inhibition of PI3K/AKT/NF-κB phosphorylation.",2020,Annals of translational medicine,12,"""nobiletin""",compound x growth plate,False,3.02
PMC7312958,32545161,10.3390/ijms21114161,Molecular Processes in Chondrocyte Biology.,2020,International journal of molecular sciences,11,"""centrosome""",target x growth x geometry,False,3.0183333333333335
PMC10295138,37370672,10.3390/bioengineering10060741,Suppressing Chondrocyte Hypertrophy to Build Better Cartilage.,2023,"Bioengineering (Basel, Switzerland)",11,"""planar cell polarity""",target x growth x geometry,False,3.0183333333333335
PMC7181680,32332842,10.1038/s41598-020-63978-6,A simple method based on confocal microscopy and thick sections recognizes seven subphases in growth plate chondrocytes.,2020,Scientific reports,11,"""NKCC1""; ""aquaporin""",target x growth x geometry,False,3.0183333333333335
PMC10359656,37483459,10.1177/20417314231187956,Tissue engineering in growth plate cartilage regeneration: Mechanisms to therapeutic strategies.,2023,Journal of tissue engineering,10,"""microtubule""",target x growth x geometry,False,3.0166666666666666
PMC11633519,39418070,10.1002/advs.202400502,Insufficient Mechanical Loading Downregulates Piezo1 in Chondrocytes and Impairs Fracture Healing Through ApoE-Induced Senescence.,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10,"""GsMTx4""; ""PIEZO1""; ""Yoda1""",compound x growth plate; target x growth x geometry,False,3.0166666666666666
PMC8962562,35346257,10.1186/s13018-022-03081-w,Cyclic mechanical strain with high-tensile triggers autophagy in growth plate chondrocytes.,2022,Journal of orthopaedic surgery and research,10,"""cytochalasin D""",compound x growth plate,False,3.0166666666666666
PMC10946796,36824055,10.1002/jbmr.4796,Spatial Lipidomic Profiling of Mouse Joint Tissue Demonstrates the Essential Role of PHOSPHO1 in Growth Plate Homeostasis.,2023,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,9,"""SLC12A2""",target x growth x geometry,False,3.015
PMC11374990,39231936,10.1038/s41413-024-00357-1,Targeting Fascin1 maintains chondrocytes phenotype and attenuates osteoarthritis development.,2024,Bone research,9,"""cytochalasin D""; ""latrunculin""",compound x growth plate,False,3.015
PMC11928506,40118845,10.1038/s41467-025-58122-9,Recapitulation of endochondral ossification by hPSC-derived SOX9&lt;sup&gt;+&lt;/sup&gt; sclerotomal progenitors.,2025,Nature communications,9,"""Y27632""",compound x growth plate,False,3.015
PMC11437636,39342268,10.1186/s13018-024-05081-4,Omega-3 fatty acids protect cartilage from acute injurie by reducing the mechanical sensitivity of chondrocytes.,2024,Journal of orthopaedic surgery and research,8,"""GsMTx4""",compound x growth plate,False,3.013333333333333
PMC10349815,37454120,10.1038/s41420-023-01543-6,FGF19 induces the cell cycle arrest at G2-phase in chondrocytes.,2023,Cell death discovery,8,"""centrosome""",target x growth x geometry,False,3.013333333333333
