compound,chembl_id,compound_family,primary_target_queried,target_family,target_geometry_class,final_class,classification_basis,n_activities,biochemical_n,cellular_n,mouse_n,human_n,biochemical_potency_nM,cellular_potency_nM,mouse_potency_nM,human_potency_nM,primary_target_potency_nM,strongest_offtarget,strongest_offtarget_potency_nM,selectivity_fold,species_gap_fold,selectivity_scope,targets_hit_under_1uM,targets_measured,promiscuity_evidence,source,broad_poison_class,cytoskeletal_breadth,reversible,mechanism_site,clinical_phase,human_exposure_precedent,vendor,catalog_no,orthogonal_compound_available,inactive_analogue_available,inactive_analogue_candidate,stage61_records,stage61_best_class,cartilage_records,geometry_records,proliferation_records,apoptosis_records,matrix_records,vascular_records,devtox_records,rank1_existing_geometry_evidence,rank2_mechanistic_cleanliness,rank3_postnatal_transfer,rank4_translational_suitability,rank5_experimental_falsifiability,composite_for_display
SIMVASTATIN,CHEMBL1064,RORalpha / lipid pathway,HMGCR,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"appears in the geometry corpus without an axial measurement; usable as a probe, not a candidate",7.0,7.0,0.0,0.0,7.0,3.0740000000000003,,,3.0740000000000003,3.0740000000000003,,,,,not measured against a second target in the map,8.0,34.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,6,3 inferred mechanics without morphology data,1600.0,476.0,12092.0,11034.0,5633.0,15461.0,720.0,30.120217599632127,1.6087783134412619,4.98067297255274,-20.656948680937905,0.0,16.052720204688224
GLASDEGIB,CHEMBL2043437,polarity / cilia,SMO,,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,1.0,0.0,5.0,,5.0,,5.0,,,,,not measured against a second target in the map,1.0,7.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,Launched,True,MedChemEx,HY-16391,True,False,,0,,41.0,9.0,545.0,474.0,87.0,359.0,30.0,0.10763210948371671,6.769342956104509,5.160584839215635,1.016843296427938,2.5,15.554403201231798
jasplakinolide,,actin stabiliser,,,UNKNOWN,DISORGANIZATION_CONTROL,brief hard-reject: actin stabiliser; retained as the actin-stabilisation control,,,,,,,,,,,,,,,not measured against a second target in the map,,,"sparsely profiled - a low hit count may mean untested, not clean","named reference, not reachable by ChEMBL target query",jasplakinolide-family actin stabilizer,,True,,,False,,,,,,6,2 general morphology without axial measurement,,,,,,,,16.8024590832319,-1.9071719190858716,-0.4112829642573846,0.1643932437544851,0.0,14.648397443643127
KX2-361,CHEMBL4297299,FAK / adhesion turnover,SRC,B adhesion and matrix coupling,COLUMN_ALIGNMENT_SUPPORT,TARGET_CLASS_CANDIDATE,"target has a column-organisation phenotype; the class is worth testing, this compound is not individually supported",1.0,1.0,0.0,1.0,0.0,60.0,,60.0,,60.0,,,,,not measured against a second target in the map,1.0,2.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,0.0,8.0,9.0,1.0,6.0,0.0,-0.18039437319601534,6.769342956104509,5.022415968334876,0.1597649224786441,0.8,12.571129473722014
CARIPORIDE MESYLATE,CHEMBL462831,ion / volume regulation,SLC9A1,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,1.0,1200.0,,,1200.0,1200.0,,,,,not measured against a second target in the map,0.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Phase 3,True,SantaCruz,sc-337619A,True,False,,0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.18039437319601534,9.147565539480944,-0.4112829642573846,1.6636218568751784,1.7,11.91951005890272
CAPSAICIN,CHEMBL294199,ion / volume regulation,TRPV4,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,6.0,0.0,6.0,0.0,0.0,,165.0,,,165.0,,,,,not measured against a second target in the map,7.0,37.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Launched,True,Tocris,462,True,False,,0,,1728.0,329.0,7694.0,6795.0,3147.0,7703.0,376.0,11.121046292099138,2.012897789351643,5.4120294474975505,-8.922729676826982,1.7,11.323243852121347
SR-3677,CHEMBL521179,ROCK1/2 inhibitor,ROCK2,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,3.2,,,3.2,3.2,ROCK1,56.0,17.5,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,3.0,4.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,1.0,2.0,11.0,6.0,9.0,10.0,0.0,-0.1437227092246262,11.686695659272694,-0.4079129917968783,0.1566793749614168,0.0,11.291739333212606
VISMODEGIB,CHEMBL473417,polarity / cilia,SMO,,UNKNOWN,LOCAL_DELIVERY_CANDIDATE,clean at its target but carries a systemic vascular or developmental-toxicity literature; only a local-exposure experiment is defensible,4.0,3.0,1.0,4.0,0.0,7.2,1.5,2.5500000000000003,,2.5500000000000003,,,,,not measured against a second target in the map,10.0,592.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,Launched,True,Selleck,S1082,True,False,,0,,373.0,69.0,2866.0,2087.0,784.0,1873.0,178.0,2.2255137116983015,0.920267138391232,6.279415696103736,-1.9794385899425522,2.5,9.945757956250718
ZONIPORIDE,CHEMBL355862,ion / volume regulation,SLC9A1,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,0.0,1.0,0.0,1.0,,59.0,,59.0,59.0,,,,,not measured against a second target in the map,1.0,3.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Phase 3,True,Tocris,2727,True,False,,0,,4.0,4.0,40.0,57.0,19.0,53.0,0.0,-0.10031110033222443,6.769342956104509,-0.3978030744153593,1.623509739151223,1.7,9.594738520508148
SANGUINARIUM CHLORIDE,CHEMBL490129,Rho/Rac/Cdc42 modulator,RAC1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",2.0,2.0,0.0,0.0,2.0,9940.0,,,9940.0,9940.0,CDC42,32000.0,3.22,,fold over the strongest other target IN THE STAGE-62 MAP ONLY,0.0,11.0,profiled against 5 or more targets,ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,0.0,3.0,5.0,1.0,2.0,1.0,-0.18039437319601534,9.931076077449207,-0.4112829642573846,0.15049640140735826,0.0,9.489895141403164
FATOSTATIN,CHEMBL1621019,RORalpha / lipid pathway,SREBF2,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",2.0,2.0,0.0,0.0,2.0,6040.0,,,6040.0,6040.0,,,,,not measured against a second target in the map,0.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,22.0,13.0,490.0,412.0,94.0,258.0,6.0,0.11020601575586203,9.147565539480944,-0.3371435701262454,-0.10874898263775626,0.0,8.811879002472804
SECRAMINE B,CHEMBL1222039,Rho/Rac/Cdc42 modulator,CDC42,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,7000.0,,,7000.0,7000.0,,,,,not measured against a second target in the map,0.0,3.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,0.0,3.0,3.0,1.0,1.0,0.0,-0.18039437319601534,9.147565539480944,-0.4112829642573846,0.16362185687517827,0.0,8.71951005890272
RETROFRACTAMIDE B,CHEMBL257943,RORalpha / lipid pathway,SOAT1,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,3700.0,,,3700.0,3700.0,,,,,not measured against a second target in the map,0.0,11.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,0.0,0.0,7.0,6.0,4.0,6.0,2.0,-0.18039437319601534,9.147565539480944,-0.4112829642573846,0.13505678530161777,0.0,8.69094498732916
LECIMIBIDE,CHEMBL274185,RORalpha / lipid pathway,SOAT1,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",7.0,6.0,1.0,4.0,0.0,10.0,10.0,874.0,,10.0,,,,,not measured against a second target in the map,6.0,7.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18039437319601534,2.471050664290561,5.022415968334876,0.1643932437544851,0.8,8.277465503183908
PURMORPHAMINE,CHEMBL1221984,polarity / cilia,SMO,,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",2.0,2.0,0.0,1.0,1.0,870.0,,800.0,1500.0,870.0,,,,1.88,not measured against a second target in the map,6.0,6.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,Preclinical,False,Selleck,S3042,True,False,,0,,251.0,49.0,1235.0,812.0,369.0,551.0,46.0,1.4813601564077015,2.471050664290561,2.059988199131249,-0.8289280818151843,2.5,7.683470938014327
FASUDIL HYDROCHLORIDE,CHEMBL541388,ROCK1/2 inhibitor,ROCK1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,180.0,,,180.0,180.0,,,,,not measured against a second target in the map,2.0,3.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),Launched,True,Tocris,541,False,False,,0,,9.0,24.0,137.0,127.0,92.0,206.0,5.0,0.24955567707913515,5.3781719264611025,-0.3809532121128277,1.4437172036747121,0.5,7.190491595102122
SECRAMINE A,CHEMBL1222038,Rho/Rac/Cdc42 modulator,CDC42,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,9000.0,,,9000.0,9000.0,,,,,not measured against a second target in the map,1.0,3.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,16.0,46.0,38.0,23.0,38.0,0.0,0.086019158891047,6.769342956104509,-0.4112829642573846,0.1350805423408255,0.0,6.5791596930789975
SIPATRIGINE,CHEMBL28854,ion / volume regulation,KCNK2,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,1.0,4000.0,,,4000.0,4000.0,,,,,not measured against a second target in the map,1.0,8.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,1.0,1.0,16.0,20.0,3.0,15.0,0.0,-0.1603735549800676,6.769342956104509,-0.4079129917968783,0.15282244056488264,0.0,6.353878849892446
LOVASTATIN SODIUM,CHEMBL303515,RORalpha / lipid pathway,HMGCR,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,20.0,,,20.0,20.0,,,,,not measured against a second target in the map,1.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,1.0,1.0,4.0,6.0,3.0,4.0,1.0,-0.1603735549800676,6.769342956104509,-0.4079129917968783,0.1489536276487446,0.0,6.3500100369763075
PARATOULENE PHOSPHATE,CHEMBL25826,FAK / adhesion turnover,SRC,B adhesion and matrix coupling,COLUMN_ALIGNMENT_SUPPORT,TARGET_CLASS_CANDIDATE,"target has a column-organisation phenotype; the class is worth testing, this compound is not individually supported",1.0,1.0,0.0,0.0,1.0,9.0,,,9.0,9.0,,,,,not measured against a second target in the map,1.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.18039437319601534,6.769342956104509,-0.4112829642573846,0.1643932437544851,0.0,6.342058862405595
GSK-317354A,CHEMBL485598,ROCK1/2 inhibitor,ROCK1,A cortical tension,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,75.0,,,75.0,75.0,,,,,not measured against a second target in the map,1.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,pathway-level - modulates a regulator,True,ATP-competitive (typical for class),,False,,,,,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18039437319601534,6.769342956104509,-0.4112829642573846,0.1643932437544851,0.0,6.342058862405595
(3S)-BUTYLPHTHALIDE,CHEMBL250205,ion / volume regulation,KCNK2,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,0.0,60.0,,,,60.0,,,,,not measured against a second target in the map,1.0,1.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.18039437319601534,6.769342956104509,-0.4112829642573846,0.16362185687517827,0.0,6.341287475526287
7-OXOCHOLESTEROL,CHEMBL1278177,RORalpha / lipid pathway,RORA,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,12.0,,,12.0,12.0,,,,,not measured against a second target in the map,1.0,8.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,4.0,1.0,31.0,36.0,9.0,30.0,2.0,-0.1502636375985486,6.769342956104509,-0.3978030744153593,0.11654350019825384,0.0,6.337819744288855
TRANS-ASARONE,CHEMBL333306,RORalpha / lipid pathway,HMGCR,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,1.0,0.0,0.0,1.0,5860.0,,,5860.0,5860.0,,,,,not measured against a second target in the map,1.0,4.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,1.0,0.0,7.0,7.0,2.0,1.0,1.0,-0.177024400735509,6.769342956104509,-0.4079129917968783,0.1512677882866651,0.0,6.335673351858787
MEGLUTOL,CHEMBL50444,RORalpha / lipid pathway,HMGCR,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",2.0,2.0,0.0,0.0,2.0,421.15,,,421.15,421.15,,,,,not measured against a second target in the map,1.0,2.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,0.0,1.0,20.0,14.0,4.0,20.0,1.0,-0.16374352744057394,6.769342956104509,-0.4112829642573846,0.1366114375798353,0.0,6.330927901986385
A-079,CHEMBL3697701,ion / volume regulation,TRPV4,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,1.0,10000.0,,,10000.0,10000.0,,,,,not measured against a second target in the map,5.0,11.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,653.0,241.0,3335.0,2348.0,1295.0,2795.0,208.0,6.033051470575993,2.9999493430846687,1.7893090524532478,-4.561279350318846,0.0,6.261030515795064
FLUPENTIXOL,CHEMBL6066864,ion / volume regulation,KCNK2,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,1.0,2000.0,,,2000.0,2000.0,,,,,not measured against a second target in the map,1.0,6.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,11.0,1.0,124.0,105.0,31.0,215.0,30.0,-0.12667383037500432,6.769342956104509,-0.37421326719181497,-0.37207699295187846,0.0,5.896378865585811
NORFLUOXETINE,CHEMBL1494,ion / volume regulation,KCNK2,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,2.0,2.0,0.0,0.0,2.0,9000.0,,,9000.0,9000.0,,,,,not measured against a second target in the map,1.0,4.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,12.0,4.0,132.0,99.0,33.0,150.0,66.0,-0.0733513206481738,6.769342956104509,-0.37084329473130867,-0.7666833149834085,0.0,5.558465025741619
BELUMOSUDIL,CHEMBL2005186,polarity / cilia,PRKCI,D microtubule and centrosome organization,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",1.0,0.0,1.0,0.0,1.0,,5011.87,,5011.87,5011.87,,,,,not measured against a second target in the map,4.0,125.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,Phase 2,True,MedChemEx,HY-15307,False,False,,0,,16.0,16.0,202.0,149.0,127.0,165.0,9.0,0.13993871825914825,3.6255037072435985,-0.35736340488928336,1.4259277913722395,0.5,5.334006811985702
NONIVAMIDE,CHEMBL75124,ion / volume regulation,TRPV4,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,4.0,0.0,4.0,0.0,0.0,,550.0,,,550.0,,,,,not measured against a second target in the map,4.0,5.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,Launched,True,MicroSource,1506172,False,False,,0,,8.0,2.0,57.0,62.0,29.0,51.0,4.0,-0.1201329020010819,3.6255037072435985,-0.384323184573334,1.575636238555784,0.5,5.196683859224967
CL-976,CHEMBL22373,RORalpha / lipid pathway,SOAT1,F lipid and nuclear signaling,UNKNOWN,MECHANISTIC_PROBE,"clean and orderable, but no geometry evidence",11.0,10.0,1.0,2.0,8.0,299.0,400.0,319.0,493.3,310.0,,,,1.55,not measured against a second target in the map,7.0,9.0,profiled against 5 or more targets,ChEMBL target activity,,narrow / non-cytoskeletal,True,not determined,,False,,,,,,0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.16374352744057394,2.012897789351643,2.3785432218637896,0.16362185687517827,0.8,5.191319340650036
GSK2798745,CHEMBL4470585,ion / volume regulation,TRPV4,E ion and water mechanics,CELL_SWELLING_ONLY,SWELLING_CONTROL,target changes cell volume by osmosis; volume is not axial geometry and this is the swelling control arm,1.0,1.0,0.0,0.0,0.0,1.6,,,,1.6,,,,,not measured against a second target in the map,2.0,2.0,"sparsely profiled - a low hit count may mean untested, not clean",ChEMBL target activity,,narrow / non-cytoskeletal,True,allosteric / extracellular,,False,,,,,,0,,22.0,9.0,60.0,54.0,28.0,88.0,2.0,0.04360263273409646,5.3781719264611025,-0.3371435701262454,0.07180306119845765,0.0,5.1564340502674115
