panel_id,compound,direct_target,target_class_role,mechanism_family,biochemical_potency_nM,cellular_potency_nM,mouse_potency_nM,human_potency_nM,geometry_evidence,geometry_evidence_class,longitudinal_growth_evidence,postnatal_transfer_evidence,proliferation_effect,apoptosis_effect,matrix_effect,washout_evidence,strongest_offtarget,strongest_offtarget_potency_nM,selectivity_fold,selectivity_scope,targets_hit_under_1uM,systemic_liability,candidate_or_probe,best_orthogonal_comparator,inactive_analogue,test_concentrations,concentration_basis,experiment_that_would_kill_it,result_justifying_a_postnatal_metatarsal_test,panel_role,composite_for_display,has_comparator,has_postnatal,order_key
GP21,CYCLOPAMINE,SMO,,polarity / cilia,556.0,484.0,698.8000000000001,280.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,9.0,vascular/devtox literature counts 2234.0/391.0; classified LOCAL_DELIVERY_CANDIDATE - systemic exposure not defensible,PROBE ONLY,VISMODEGIB,nan,1.45 µM; 4.84 µM; 14.5 µM,derived: 3x/10x/30x the measured cellular potency,"Two chemotypes. Kill criterion: column coherence or straightness falls - this family's phenotype is predicted to be orientation, not per-cell shape.","Column straightness and alignment IMPROVE while the ratio also rises. If only alignment improves, that is a different and possibly better finding, and it belongs to the column-output term rather than the geometry hypothesis.",LOCAL_DELIVERY_CANDIDATE,3.849369694303717,True,False,2.18
GP11,LX-7101,LIMK2,UNKNOWN,LIMK inhibitor,2.41,,,2.41,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,9.0,vascular/devtox literature counts 6.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,SORAFENIB,nan,0.00723 µM; 0.0241 µM; 0.0723 µM,derived: 3x/10x/30x the measured biochemical potency,Same design with two LIMK chemotypes. Kill criterion: cofilin phosphorylation drops (target engaged) and the ratio does not move.,Target engagement confirmed by pCofilin AND the ratio rises AND columns hold.,MECHANISTIC_PROBE,0.8320195546478513,True,False,2.14
GP12,SORAFENIB,LIMK1,UNKNOWN,LIMK inhibitor,1600.0,630.96,,1018.576,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,MYLK,9680.0,9.5,fold over the strongest other target IN THE STAGE-62 MAP ONLY,58.0,vascular/devtox literature counts 32338.0/444.0; classified LOCAL_DELIVERY_CANDIDATE - systemic exposure not defensible,PROBE ONLY,LX-7101,nan,1.89 µM; 6.31 µM; 18.9 µM,derived: 3x/10x/30x the measured cellular potency,Same design with two LIMK chemotypes. Kill criterion: cofilin phosphorylation drops (target engaged) and the ratio does not move.,Target engagement confirmed by pCofilin AND the ratio rises AND columns hold.,LOCAL_DELIVERY_CANDIDATE,-13.144901210389694,True,False,2.02
GP05,cytochalasin D,,,actin depolymeriser,,,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,2 general morphology without axial measurement,6 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,,vascular/devtox literature counts nan/nan; no systemic-exclusion signal in this analysis,PROBE ONLY,latrunculin B,nan,1 µM,"published concentration, read manually from the source methods",Runs as the disorganisation control. Kill criterion: none - it is expected to fail gates 0 and 2 and its job is to prove they fire.,Not promotable under any result. The brief hard-rejects it.,DISORGANIZATION_CONTROL,68.42743338899821,True,False,1.48
GP22,CAPSAICIN,TRPV4,CELL_SWELLING_ONLY,ion / volume regulation,,165.0,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,7.0,vascular/devtox literature counts 7703.0/376.0; no systemic-exclusion signal in this analysis,PROBE ONLY,BUMETANIDE,nan,0.495 µM; 1.65 µM; 4.95 µM,derived: 3x/10x/30x the measured cellular potency,"Runs as the swelling control arm, not as a candidate arm. Kill criterion: none - it is not being tested for promotion.","Not promotable. Stage 62 classified every target in this family CELL_SWELLING_ONLY, and the brief forbids treating swelling as elongation. Its job is to calibrate gate 1's volume clause.",SWELLING_CONTROL,11.323243852121347,True,False,1.3599999999999999
GP26,ENIPORIDE,SLC9A1,CELL_SWELLING_ONLY,ion / volume regulation,400.0,164.0,,188.0,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,3.0,vascular/devtox literature counts 45.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,BUMETANIDE,nan,0.492 µM; 1.64 µM; 4.92 µM,derived: 3x/10x/30x the measured cellular potency,"Runs as the swelling control arm, not as a candidate arm. Kill criterion: none - it is not being tested for promotion.","Not promotable. Stage 62 classified every target in this family CELL_SWELLING_ONLY, and the brief forbids treating swelling as elongation. Its job is to calibrate gate 1's volume clause.",SWELLING_CONTROL,4.0258579880795855,True,False,1.2200000000000002
GP27,BI 9627,SLC9A1,CELL_SWELLING_ONLY,ion / volume regulation,13.5,,,8.5,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,3.0,vascular/devtox literature counts 0.0/0.0; no systemic-exclusion signal in this analysis,PROBE ONLY,BUMETANIDE,nan,0.0405 µM; 0.135 µM; 0.405 µM,derived: 3x/10x/30x the measured biochemical potency,"Runs as the swelling control arm, not as a candidate arm. Kill criterion: none - it is not being tested for promotion.","Not promotable. Stage 62 classified every target in this family CELL_SWELLING_ONLY, and the brief forbids treating swelling as elongation. Its job is to calibrate gate 1's volume clause.",SWELLING_CONTROL,3.970576223950173,True,False,1.2000000000000002
GP09,mannitol,,,osmotic agent,,,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,,vascular/devtox literature counts nan/nan; no systemic-exclusion signal in this analysis,PROBE ONLY,hypotonic medium (reduced-osmolality DMEM),nan,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,Swelling control.,Not promotable.,SWELLING_CONTROL,-0.3344560127847865,True,False,1.08
GP07,latrunculin B,,,actin depolymeriser,,,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,no record,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,not measured,,,not measured against a second target in the map,,vascular/devtox literature counts nan/nan; no systemic-exclusion signal in this analysis,PROBE ONLY,cytochalasin D,nan,150 ng/ml; 500 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,Runs as the disorganisation control. Kill criterion: none - it is expected to fail gates 0 and 2 and its job is to prove they fire.,Not promotable under any result. The brief hard-rejects it.,DISORGANIZATION_CONTROL,-2.3344560127847864,True,False,1.04
GP08,hypotonic medium (reduced-osmolality DMEM),,,osmotic agent,,,,,NONE - no direct measurement of terminal-cell axial geometry exists for this compound,,0 embryonic and 0 postnatal corpus papers mention it in a growth context; none measures axial cell geometry,postnatal records: NONE - embryonic or non-bone only,not measured for this compound in growth plate,not measured for this compound in growth plate,not measured for this compound in growth plate,NONE - no compound in the corpus was washed out,,,,,,vascular/devtox literature counts nan/nan; no systemic-exclusion signal in this analysis,PROBE ONLY,mannitol,nan,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,Swelling control.,Not promotable.,SWELLING_CONTROL,,True,False,1.0
