pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
acexamic-acid,Launched,5 alpha reductase inhibitor,GAST,metabolic,systemic sex-steroid manipulation,5 alpha reductase,hard exclusion: systemic sex-steroid manipulation
acitretin,Launched,retinoid receptor agonist,RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
aclarubicin,Launched,topoisomerase inhibitor,TOP1|TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
acolbifene,Phase 3,estrogen receptor antagonist,,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
acrylate,Phase 3,mucus protecting agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
ACTB-1003,Phase 1,FGFR inhibitor|VEGFR inhibitor,KDR|TEK,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
actinomycin-d,Launched,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
actinoquinol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
AC1NDSS5,Phase 1,,,other / unclassified,,,no annotated mechanism of action
adapalene,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
adarotene,Phase 1,retinoid receptor agonist,RARB|RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
adrenosterone,Preclinical,11-beta hydroxysteroid dehydrogenase inhibitor,HSD11B1|HSD11B2,metabolic,systemic glucocorticoid manipulation,HSD11B1; HSD11B2,hard exclusion: systemic glucocorticoid manipulation
AEE788,Phase 1/Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
afimoxifene,Phase 2,estrogen receptor antagonist,ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
agmatine,Phase 3,nitric oxide synthase inhibitor,ADRA2C|ASIC3|CACNA1B|CHRNA1|GRIN1|KCNJ1|NISCH,metabolic,,,no orderable sample (no SMILES or catalogue number)
AGN-195183,Phase 1/Phase 2,retinoid receptor agonist,RARA,GPCR,known plate-fusion or premature-remodeling hazard,RARA,hard exclusion: known plate-fusion or premature-remodeling hazard
aklomide,Launched,,,other / unclassified,,,no annotated mechanism of action
alanine,Launched,,,other / unclassified,,,no annotated mechanism of action
alanosine,Phase 2,antimetabolite,,other / unclassified,broad cytotoxic chemotherapeutic,antimetabolite,hard exclusion: broad cytotoxic chemotherapeutic
alarelin,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRH1,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
albendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
alclometasone-dipropionate,Launched,glucocorticoid receptor agonist,CYP3A4|NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
aldoxorubicin,Phase 3,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
alendronate,Launched,bone resorption inhibitor,ATP6V1A|FDPS|PTPN4|PTPRE|PTPRS,other / unclassified,direct V-ATPase poison,ATP6V1A,hard exclusion: direct V-ATPase poison
algestone-acetophenide,Launched,,,other / unclassified,,,no annotated mechanism of action
alisertib,Phase 3,Aurora kinase inhibitor,AURKA,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
alizarin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
allicin,Phase 2,cytokine production inhibitor,TRPA1|TRPV1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
allylestrenol,Launched,steroidal progestin,ESR1|PGR|SLC6A9,transporter,systemic sex-steroid manipulation,ESR1; PGR,hard exclusion: systemic sex-steroid manipulation
allylisothiocyanate,Preclinical,TRPV agonist,TRPA1,ion channel,,,no orderable sample (no SMILES or catalogue number)
almitrine,Launched,neurotransmitter agonist,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
aloin,Preclinical,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
aloperine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
alpha-D-glucopyranose,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ALS-8112,Phase 1,,,other / unclassified,,,no annotated mechanism of action
ALS-8176,Phase 1,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
altiratinib,Phase 1,MET inhibitor|VEGFR inhibitor,KDR|MET|TEK,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
altrenogest,Launched,progestogen hormone,PGR,other / unclassified,systemic sex-steroid manipulation,PGR,hard exclusion: systemic sex-steroid manipulation
altretamine,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
alvocidib,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
AM-580,Preclinical,retinoid receptor agonist,RARA,GPCR,known plate-fusion or premature-remodeling hazard,RARA,hard exclusion: known plate-fusion or premature-remodeling hazard
amcinonide,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
AMG900,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
amifostine,Launched,reducing agent,ALPPL2|ENPP1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
aminoglutethimide,Launched,glucocorticoid receptor antagonist,CYP11A1|CYP19A1,GPCR,systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
aminohydroxybutyric-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
aminolevulinic-acid-benzyl-ester,Phase 1,,,other / unclassified,,,no annotated mechanism of action
aminopurvalanol-a,Preclinical,CDK inhibitor|tyrosine kinase inhibitor,CDK1|CDK2|CDK5,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
ammonium-glycyrrhizinate,Launched,thrombin inhibitor,HSD11B1|HSD11B2|SLCO1B1|SLCO1B3,other / unclassified,systemic glucocorticoid manipulation,HSD11B1; HSD11B2,hard exclusion: systemic glucocorticoid manipulation
ammonium-lactate,Launched,,HCAR1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
amonafide,Phase 3,topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
amrubicin,Launched,topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
amsacrine,Launched,topoisomerase inhibitor,KCNH2|TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
amylene-hydrate,Preclinical,local anesthetic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
anastrozole,Launched,aromatase inhibitor,CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
andarine,Phase 1,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
androsterone,Preclinical,androgen receptor agonist,,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
anecortave-acetate,Launched,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
anguidine,Phase 2,protein synthesis inhibitor,SLC5A1,transporter,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
anisomycin,Preclinical,DNA synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
anlotinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
anthralin,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
antimony-potassium,Phase 2,,,other / unclassified,,,no annotated mechanism of action
antimonyl,Phase 1,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
antioxine,Launched,,,other / unclassified,,,no annotated mechanism of action
apalutamide,Launched,androgen receptor antagonist,,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
apatinib,Phase 3,RET tyrosine kinase inhibitor,CSK|KDR|KIT|RET,kinase,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
APC-100,Phase 1/Phase 2,androgen receptor antagonist|anti-inflammatory agent,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
apigenin,Preclinical,casein kinase inhibitor|cell proliferation inhibitor,AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1,kinase,systemic sex-steroid manipulation,AR; CYP19A1,hard exclusion: systemic sex-steroid manipulation
AP1903,Phase 1/Phase 2,,MTOR,kinase,,,no annotated mechanism of action
AP26113,Phase 2,ALK tyrosine kinase receptor inhibitor,ALK|EGFR,kinase,,,no orderable sample (no SMILES or catalogue number)
AR-A014418,Preclinical,glycogen synthase kinase inhibitor,GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
arsanilic-acid,Phase 1,,LYZ,other / unclassified,,,no annotated mechanism of action
artemether,Launched,antimalarial agent,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
artemisinin,Launched,DNA synthesis inhibitor,CYP2B6,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
artemotil,Launched,,,other / unclassified,,,no annotated mechanism of action
artesunate,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
ASA-404,Phase 3,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ASC-J9,Phase 2,androgen receptor enhancer,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
aspartame,Launched,,TAS1R2|TRPV1,other / unclassified,,,no annotated mechanism of action
AT-7519,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK9,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
AT-9283,Phase 2,Aurora kinase inhibitor|JAK inhibitor,AURKA|AURKB|JAK2|JAK3|RPS6KA6|STK17A,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
AT7867,Preclinical,AKT inhibitor,AKT2|GSK3B|PKIA|PRKACA,other / unclassified,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
aurora-a-inhibitor-i,Preclinical,Aurora kinase inhibitor,AURKA,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
axitinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4,kinase; growth factor / cytokine,PLK inhibitor,PLK4,hard exclusion: PLK inhibitor
azacitidine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
AZD1080,Phase 1,glycogen synthase kinase inhibitor,GSK3A|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
AZD2858,Preclinical,glycogen synthase kinase inhibitor,GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
AZD3514,Phase 1,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
AZD4282,Phase 1,glutamate receptor antagonist,AGXT|AGXT2|ALAS1|ALAS2|BAAT|GARS|GATM|GCAT|GCSH|GLDC|GLRA1|GLRA2|GLRA3|GLRB|GLYAT|GLYATL1|GLYATL2|GNMT|GPR18|GPRC6A|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3B|GSS|PIPOX|SHMT1|SHMT2|SLC32A1|SLC36A1|SLC6A5|SLC6A9,GPCR; transporter,,,no orderable sample (no SMILES or catalogue number)
AZD4547,Phase 2/Phase 3,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|IGF1R|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
AZD7594,Phase 2,glucocorticoid receptor modulator,,other / unclassified,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
AZD9496,Phase 1,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
azelaic-acid,Launched,tyrosinase inhibitor,AKR1D1|SRD5A2|TYR,other / unclassified,systemic sex-steroid manipulation,SRD5A2,hard exclusion: systemic sex-steroid manipulation
azodicarbonamide,Phase 2,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
azomycin-(2-nitroimidazole),Preclinical,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
A0001,Phase 2,,,other / unclassified,,,no annotated mechanism of action
balapiravir,Phase 2,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
banoxantrone,Phase 1/Phase 2,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
barasertib,Phase 2/Phase 3,Aurora kinase inhibitor,AURKA|AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
barasertib-HQPA,Phase 2/Phase 3,Aurora kinase inhibitor,AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
barium-6-O-phosphonato-D-glucose,Preclinical,,,other / unclassified,,,no annotated mechanism of action
basic-fuchsin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
BAY-85-8050,Phase 1,,,other / unclassified,,,no annotated mechanism of action
bazedoxifene,Launched,selective estrogen receptor modulator (SERM),ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
beclomethasone,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
beclomethasone-dipropionate,Launched,glucocorticoid receptor agonist,GPR97|NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
befuraline,Phase 2,,,other / unclassified,,,no annotated mechanism of action
belotecan,Phase 3,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
bemotrizinol,Launched,,,other / unclassified,,,no annotated mechanism of action
benaxibine,Phase 1,,,other / unclassified,,,no annotated mechanism of action
benethamine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
benfluralin,Phase 3,,CYP1A1|CYP1A2|CYP2B6|CYP3A4|ESR1|MMP1|SULT2A1|UGT1A1,other / unclassified,systemic sex-steroid manipulation,ESR1,hard exclusion: systemic sex-steroid manipulation
bentiromide,Launched,,HPN,other / unclassified,,,no annotated mechanism of action
"benzenemethanol,-2,5-dimethyl-[[(1-methylethyl)amino]methyl]",Preclinical,,,other / unclassified,,,no annotated mechanism of action
benznidazole,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
benzo[d]thiazole-2(3H)-thione,Phase 1,,,other / unclassified,,,no annotated mechanism of action
benzoclidine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
benzofenac,Phase 1,,,other / unclassified,,,no annotated mechanism of action
benzoin,Preclinical,,CES1,other / unclassified,,,no annotated mechanism of action
benzoylpas,Preclinical,,,other / unclassified,,,no annotated mechanism of action
benzyldimethyloctylammonium,Preclinical,,,other / unclassified,,,no annotated mechanism of action
bergapten,Phase 3,,,other / unclassified,,,no annotated mechanism of action
beta-carotene,Launched,,,other / unclassified,,,no annotated mechanism of action
beta-glycerophosphoric-acid,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
beta-hydroxybutyrate,Phase 1,,HCAR2,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
beta-lapachone,Phase 2,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
beta-naphthol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
betaine,Launched,nitric oxide donor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
betamethasone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
betamethasone-acetate,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
betamethasone-butyrate-propionate,Launched,,,other / unclassified,,,no annotated mechanism of action
betamethasone-dipropionate,Launched,anti-inflammatory agent,NR3C1,other / unclassified,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
betamethasone-phosphate,Launched,,,other / unclassified,,,no annotated mechanism of action
betamethasone-valerate,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
BFH772,Phase 2,VEGFR inhibitor,,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
BI-2536,Phase 2,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
BI-847325,Phase 1,Aurora kinase inhibitor|MEK inhibitor,AURKA|AURKB|AURKC|MAP2K1|MAP2K2,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
bicalutamide,Launched,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
bifendate,Launched,,,other / unclassified,,,no annotated mechanism of action
BIRT-377,Preclinical,lymphocyte function-associated antigen negative modulator,ICAM1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
bisantrene,Phase 2,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
bisindolylmaleimide-IX,Preclinical,PKC inhibitor,AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1,other / unclassified,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
bismuth-oxalate,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
bismuth-subcitrate-potassium,Launched,,,other / unclassified,,,no annotated mechanism of action
bismuth-subgallate,Launched,nitric oxide synthase inhibitor,NOS1,metabolic,,,no orderable sample (no SMILES or catalogue number)
bisoctrizole,Phase 2,,,other / unclassified,,,no annotated mechanism of action
bisphenol-A,Phase 1,synthetic estrogen,AR|ESR1|ESR2|ESRRG|PPARG,other / unclassified,systemic sex-steroid manipulation,AR; ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
bithionol,Withdrawn,autotaxin inhibitor,ESR1|ESR2|MCL1,other / unclassified,systemic sex-steroid manipulation,ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
bleomycin,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
BMS-265246,Preclinical,CDK inhibitor,CDK1|CDK2,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
BMS-536924,Preclinical,IGF-1 inhibitor,AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
BMS-690514,Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|FLT3|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
BMS-770767,Phase 2,11-beta-HSD1 inhibitor,,other / unclassified,systemic glucocorticoid manipulation,11-beta-HSD,hard exclusion: systemic glucocorticoid manipulation
BMS-817378,Phase 1,c-Met inhibitor|VEGFR inhibitor,KDR|MET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
BNC105,Phase 2,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
bonaphthone,Phase 3,,,other / unclassified,,,no annotated mechanism of action
bornyl-acetate,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
boronophenylalanine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
bortezomib,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
brefeldin-A,Preclinical,protein synthesis inhibitor,ARF1|CYTH2,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
bretylium,Launched,norepinephrine inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
brilliant-green,Launched,,,other / unclassified,,,no annotated mechanism of action
brivanib,Phase 3,FGFR inhibitor|VEGFR inhibitor,CYP3A4|FGFR1|FLT1|KCNH2|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
brivanib-alaninate,Phase 3,FGFR inhibitor|VEGFR inhibitor,FGFR3,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
