mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Socs2,SOCS2,,KO_blocks_maturation,1.54364,1.54364,0.0,hypertrophic,resting,resting,20.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zc3h13,ZC3H13,,KO_blocks_maturation,1.51629,1.51629,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ldb1,LDB1,,KO_blocks_maturation,1.46265,1.46265,0.0,shared,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sfrp4,SFRP4,,KO_blocks_maturation,1.45027,1.45027,0.0,hypertrophic,hypertrophic,hypertrophic,27.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Clec11a,CLEC11A,,KO_blocks_maturation,1.44676,1.44676,0.0,proliferative,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cic,CIC,,KO_blocks_maturation,1.44673,1.44673,0.0,hypertrophic,resting,resting,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Elf2,ELF2,,KO_blocks_maturation,1.44141,1.44141,0.0,shared,resting,resting,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Col9a2,COL9A2,,KO_blocks_maturation,1.42691,1.42691,0.0,proliferative,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Emp2,EMP2,B_primary_reproducible,KO_promotes_maturation,1.42522,2.72522,1.3,hypertrophic,resting,resting,1.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppp6r3,PPP6R3,,KO_blocks_maturation,1.41126,1.41126,0.0,shared,resting,resting,13.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pcbp2,PCBP2,,KO_blocks_maturation,1.40342,1.40342,0.0,shared,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gnptab,GNPTAB,,KO_blocks_maturation,1.39546,1.39546,0.0,hypertrophic,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Igf2bp1,IGF2BP1,,KO_promotes_maturation,1.38858,2.18858,0.8,hypertrophic,hypertrophic,hypertrophic,14.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Nusap1,NUSAP1,,KO_blocks_maturation,1.3835,1.3835,0.0,shared,proliferative,proliferative,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ipo9,IPO9,,KO_blocks_maturation,1.38313,1.38313,0.0,shared,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pagr1a,PAGR1,B_primary_reproducible,KO_promotes_maturation,1.37915,2.17915,0.8,proliferative,resting,resting,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ivd,IVD,,KO_blocks_maturation,1.36482,1.36482,0.0,shared,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Spata17,SPATA17,,KO_blocks_maturation,1.36186,1.36186,0.0,proliferative,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sema4g,SEMA4G,,KO_blocks_maturation,1.3571,1.3571,0.0,shared,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Arhgap21,ARHGAP21,,KO_blocks_maturation,1.35188,1.35188,0.0,hypertrophic,resting,resting,6.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gch1,GCH1,,KO_blocks_maturation,1.3444,1.3444,0.0,hypertrophic,hypertrophic,hypertrophic,9.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Raf1,RAF1,,KO_blocks_maturation,1.34207,1.34207,0.0,hypertrophic,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cycs,CYCS,,KO_blocks_maturation,1.2944,1.2944,0.0,shared,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Drap1,DRAP1,,KO_blocks_maturation,1.28507,1.28507,0.0,shared,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Crabp2,CRABP2,,KO_blocks_maturation,1.25329,1.25329,0.0,proliferative,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kera,KERA,,KO_blocks_maturation,1.24946,1.24946,0.0,hypertrophic,resting,resting,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kcnk5,KCNK5,,KO_blocks_maturation,1.24875,1.24875,0.0,hypertrophic,hypertrophic,hypertrophic,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfp507,ZNF507,,KO_blocks_maturation,1.24549,1.24549,0.0,shared,resting,resting,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Grb14,GRB14,,KO_blocks_maturation,1.24454,1.24454,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ppm1a,PPM1A,,KO_blocks_maturation,1.24159,1.24159,0.0,hypertrophic,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sec61a2,SEC61A2,,KO_blocks_maturation,1.22522,1.22522,0.0,proliferative,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ier2,IER2,,KO_blocks_maturation,1.2239,1.2239,0.0,hypertrophic,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fam20a,FAM20A,,KO_blocks_maturation,1.20878,1.20878,0.0,hypertrophic,hypertrophic,hypertrophic,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nfic,NFIC,,KO_promotes_maturation,1.19781,1.99781,0.8,shared,resting,resting,21.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cadm1,CADM1,,KO_blocks_maturation,1.19741,1.19741,0.0,proliferative,hypertrophic,hypertrophic,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tspan13,TSPAN13,,KO_blocks_maturation,1.19485,1.19485,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Xxylt1,XXYLT1,,KO_blocks_maturation,1.19183,1.19183,0.0,proliferative,hypertrophic,hypertrophic,10.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pcx,PC,,KO_blocks_maturation,1.19159,1.19159,0.0,proliferative,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Metrn,METRN,,KO_blocks_maturation,1.18504,1.18504,0.0,proliferative,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mapkap1,MAPKAP1,,KO_blocks_maturation,1.17972,1.17972,0.0,hypertrophic,hypertrophic,hypertrophic,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Smg7,SMG7,,KO_blocks_maturation,1.17849,1.17849,0.0,shared,resting,resting,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Samd5,SAMD5,,KO_blocks_maturation,1.16668,1.16668,0.0,proliferative,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tcf4,TCF4,,KO_blocks_maturation,1.16509,1.16509,0.0,hypertrophic,resting,resting,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tgfbr3,TGFBR3,,KO_blocks_maturation,1.15607,1.15607,0.0,proliferative,resting,resting,6.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Abcb4,ABCB4,,KO_blocks_maturation,1.15123,1.15123,0.0,hypertrophic,hypertrophic,hypertrophic,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Npas4,NPAS4,,KO_blocks_maturation,1.15119,1.15119,0.0,hypertrophic,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Metrnl,METRNL,,KO_blocks_maturation,1.12906,1.12906,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Prr5,PRR5,,KO_blocks_maturation,1.12313,1.12313,0.0,proliferative,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ap1s1,AP1S1,,KO_blocks_maturation,1.12011,1.12011,0.0,hypertrophic,hypertrophic,hypertrophic,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gprin3,GPRIN3,,KO_blocks_maturation,1.11857,1.11857,0.0,hypertrophic,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Eps8l2,EPS8L2,,KO_blocks_maturation,1.11609,1.11609,0.0,hypertrophic,resting,resting,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Trim41,TRIM41,,KO_blocks_maturation,1.11323,1.11323,0.0,shared,resting,resting,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Morc3,MORC3,,KO_blocks_maturation,1.10843,1.10843,0.0,shared,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Spry4,SPRY4,,KO_blocks_maturation,1.09937,1.09937,0.0,hypertrophic,resting,resting,11.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Csnk1e,CSNK1E,,KO_blocks_maturation,1.09425,1.09425,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Trpm3,TRPM3,,KO_blocks_maturation,1.09194,1.09194,0.0,hypertrophic,resting,resting,6.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cisd1,CISD1,,KO_blocks_maturation,1.08668,1.08668,0.0,shared,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mki67,MKI67,,KO_blocks_maturation,1.08625,1.08625,0.0,proliferative,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc30a1,SLC30A1,,KO_blocks_maturation,1.08288,1.08288,0.0,hypertrophic,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tbc1d14,TBC1D14,,KO_blocks_maturation,1.08239,1.08239,0.0,shared,resting,resting,6.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hs3st1,HS3ST1,,KO_blocks_maturation,1.08004,1.08004,0.0,hypertrophic,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sned1,SNED1,,KO_promotes_maturation,1.07742,1.87742,0.8,hypertrophic,resting,resting,8.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ccdc77,CCDC77,,KO_blocks_maturation,1.07621,1.07621,0.0,shared,resting,resting,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dpp3,DPP3,,KO_blocks_maturation,1.07601,1.07601,0.0,hypertrophic,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gmeb1,GMEB1,,KO_blocks_maturation,1.07442,1.07442,0.0,hypertrophic,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kcnip4,KCNIP4,,KO_blocks_maturation,1.07255,1.07255,0.0,proliferative,proliferative,proliferative,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nfkbia,NFKBIA,,KO_blocks_maturation,1.06918,1.06918,0.0,hypertrophic,resting,resting,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ncoa5,NCOA5,,KO_blocks_maturation,1.0618,1.0618,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cab39l,CAB39L,,KO_blocks_maturation,1.05693,1.05693,0.0,proliferative,hypertrophic,hypertrophic,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Esr2,ESR2,,KO_blocks_maturation,1.05544,1.05544,0.0,shared,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Junb,JUNB,B_primary_reproducible,KO_promotes_maturation,1.05323,2.35323,1.3,hypertrophic,resting,resting,1.0,,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ythdf2,YTHDF2,,KO_blocks_maturation,1.05239,1.05239,0.0,shared,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Yaf2,YAF2,,KO_blocks_maturation,1.05111,1.05111,0.0,shared,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bcl2l11,BCL2L11,,KO_blocks_maturation,1.05052,1.05052,0.0,hypertrophic,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fgfr3,FGFR3,,KO_promotes_maturation,1.0468,1.8468,0.8,proliferative,hypertrophic,hypertrophic,11.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Myh6,MYH6,,KO_blocks_maturation,1.04656,1.04656,0.0,proliferative,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nudt6,NUDT6,,KO_blocks_maturation,1.04398,1.04398,0.0,shared,resting,resting,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Colec10,COLEC10,,KO_blocks_maturation,1.04302,1.04302,0.0,shared,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ptpn12,PTPN12,,KO_blocks_maturation,1.03722,1.03722,0.0,hypertrophic,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ccdc8,CCDC8,,KO_blocks_maturation,1.03269,1.03269,0.0,proliferative,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ihh,IHH,,KO_promotes_maturation,1.02907,1.82907,0.8,hypertrophic,hypertrophic,hypertrophic,12.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Tead1,TEAD1,,KO_promotes_maturation,1.02654,1.82654,0.8,hypertrophic,proliferative,proliferative,21.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ddb2,DDB2,,KO_blocks_maturation,1.02578,1.02578,0.0,proliferative,resting,resting,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tnrc6c,TNRC6C,,KO_blocks_maturation,1.0256,1.0256,0.0,proliferative,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bcar3,BCAR3,,KO_blocks_maturation,1.02221,1.02221,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Efnb2,EFNB2,,KO_blocks_maturation,1.02015,1.02015,0.0,shared,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Calb1,CALB1,,KO_blocks_maturation,1.01966,1.01966,0.0,,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tcf15,TCF15,,KO_blocks_maturation,1.01798,1.01798,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tmem39b,TMEM39B,,KO_blocks_maturation,1.01459,1.01459,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Igdcc4,IGDCC4,,KO_blocks_maturation,1.0139,1.0139,0.0,proliferative,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rhoc,RHOC,,KO_blocks_maturation,1.01317,1.01317,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mxra8,MXRA8,,KO_blocks_maturation,1.00984,1.00984,0.0,hypertrophic,resting,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gngt2,GNGT2,,KO_blocks_maturation,1.00967,1.00967,0.0,hypertrophic,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fkbp15,FKBP15,,KO_blocks_maturation,1.00929,1.00929,0.0,hypertrophic,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hmga2,HMGA2,,KO_promotes_maturation,0.99976,1.79976,0.8,shared,resting,resting,46.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ccbe1,CCBE1,,KO_blocks_maturation,0.99682,0.99682,0.0,hypertrophic,hypertrophic,hypertrophic,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
H2-DMa,HLA-DMA,,KO_blocks_maturation,0.98683,0.98683,0.0,proliferative,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ankrd44,ANKRD44,,KO_blocks_maturation,0.97741,0.97741,0.0,shared,proliferative,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Usp14,USP14,,KO_blocks_maturation,0.97613,0.97613,0.0,shared,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dcaf5,DCAF5,,KO_blocks_maturation,0.97016,0.97016,0.0,hypertrophic,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Poc1a,POC1A,,KO_promotes_maturation,0.96834,1.76834,0.8,shared,proliferative,proliferative,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Abca5,ABCA5,,KO_blocks_maturation,0.96783,0.96783,0.0,proliferative,proliferative,proliferative,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Akap9,AKAP9,,KO_blocks_maturation,0.96769,0.96769,0.0,proliferative,hypertrophic,hypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bace2,BACE2,,KO_blocks_maturation,0.96454,0.96454,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ffar4,FFAR4,,KO_promotes_maturation,0.96378,1.76378,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fbxw7,FBXW7,,KO_blocks_maturation,0.95967,0.95967,0.0,shared,proliferative,proliferative,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mocs2,MOCS2,,KO_blocks_maturation,0.9591,0.9591,0.0,shared,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfpl1,ZFPL1,,KO_blocks_maturation,0.95119,0.95119,0.0,proliferative,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Plekha5,PLEKHA5,,KO_blocks_maturation,0.94862,0.94862,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Exo1,EXO1,,KO_blocks_maturation,0.94252,0.94252,0.0,proliferative,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc17a1,SLC17A1,,KO_blocks_maturation,0.93985,0.93985,0.0,proliferative,hypertrophic,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Azgp1,AZGP1,,KO_blocks_maturation,0.93772,0.93772,0.0,proliferative,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rell1,RELL1,,KO_blocks_maturation,0.92548,0.92548,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mpped2,MPPED2,,KO_promotes_maturation,0.92439,1.72439,0.8,shared,proliferative,proliferative,12.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Snx32,SNX32,,KO_blocks_maturation,0.92026,0.92026,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tmem69,TMEM69,,KO_blocks_maturation,0.91817,0.91817,0.0,proliferative,hypertrophic,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Scin,SCIN,,KO_promotes_maturation,0.90408,1.70408,0.8,proliferative,hypertrophic,hypertrophic,7.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stam,STAM,,KO_blocks_maturation,0.90301,0.90301,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fasn,FASN,,KO_promotes_maturation,0.90233,1.70233,0.8,proliferative,proliferative,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Efemp1,EFEMP1,,KO_promotes_maturation,0.89785,1.69785,0.8,hypertrophic,proliferative,proliferative,39.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptpru,PTPRU,,KO_blocks_maturation,0.89594,0.89594,0.0,shared,proliferative,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ackr3,ACKR3,,KO_blocks_maturation,0.89592,0.89592,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Col11a1,COL11A1,,KO_promotes_maturation,0.89581,1.69581,0.8,proliferative,hypertrophic,hypertrophic,26.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Umodl1,UMODL1,,KO_blocks_maturation,0.89392,0.89392,0.0,hypertrophic,resting,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Catsper3,CATSPER3,,KO_promotes_maturation,0.89375,1.69375,0.8,proliferative,hypertrophic,hypertrophic,19.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Isg20,ISG20,,KO_promotes_maturation,0.89313,1.69313,0.8,hypertrophic,hypertrophic,hypertrophic,13.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
