mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Hoxc9,HOXC9,,KO_blocks_maturation,0.7685375887539871,0.7685375887539871,0.0,proliferative,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfp628,ZNF628,,KO_blocks_maturation,0.7685148798009189,0.7685148798009189,0.0,shared,resting,proliferative,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Zfp652,ZNF652,,KO_promotes_maturation,0.766568900166291,1.566568900166291,0.8,shared,hypertrophic,hypertrophic,11.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Clcn1,CLCN1,,KO_blocks_maturation,0.7660784586308415,0.7660784586308415,0.0,shared,proliferative,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Hoxc10,HOXC10,,KO_blocks_maturation,0.7650018923307011,0.7650018923307011,0.0,proliferative,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sdk2,SDK2,,KO_blocks_maturation,0.7649364978509163,0.7649364978509163,0.0,proliferative,resting,prehypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc16a3,SLC16A3,,KO_blocks_maturation,0.7611126436277424,0.7611126436277424,0.0,proliferative,proliferative,,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Chsy1,CHSY1,,KO_promotes_maturation,0.7601442605204745,1.5601442605204745,0.8,hypertrophic,hypertrophic,hypertrophic,22.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
D5Ertd579e,KIAA0232,,KO_blocks_maturation,0.7563756464307979,0.7563756464307979,0.0,hypertrophic,resting,perichondrium,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bex2,BEX1,,KO_blocks_maturation,0.7545620919843079,0.7545620919843079,0.0,proliferative,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Sgms2,SGMS2,,KO_promotes_maturation,0.7534938170213157,1.5534938170213155,0.8,shared,hypertrophic,hypertrophic,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Fzd1,FZD1,,KO_blocks_maturation,0.7519085681776874,0.7519085681776874,0.0,proliferative,proliferative,perichondrium,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cntln,CNTLN,,KO_blocks_maturation,0.7492714003202758,0.7492714003202758,0.0,proliferative,resting,proliferative,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Exph5,EXPH5,,KO_blocks_maturation,0.7488994811753298,0.7488994811753298,0.0,proliferative,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Adamts20,ADAMTS20,,KO_blocks_maturation,0.7486199530545934,0.7486199530545934,0.0,proliferative,proliferative,resting,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mdfi,MDFI,,KO_blocks_maturation,0.7473401172877419,0.7473401172877419,0.0,shared,proliferative,hypertrophic,5.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Proser2,PROSER2,,KO_blocks_maturation,0.7450374471962495,0.7450374471962495,0.0,hypertrophic,resting,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Snhg11,,,KO_blocks_maturation,0.7419941496199745,0.7419941496199745,0.0,proliferative,resting,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tab1,TAB1,,KO_blocks_maturation,0.7352259727548602,0.7352259727548602,0.0,shared,proliferative,prehypertrophic,3.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cacna1c,CACNA1C,,KO_promotes_maturation,0.7246155646338,1.5246155646338,0.8,proliferative,resting,resting,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Gadd45b,GADD45B,,KO_promotes_maturation,0.7225295425343776,1.5225295425343777,0.8,hypertrophic,hypertrophic,hypertrophic,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Loxl4,LOXL4,,KO_promotes_maturation,0.7206481795677331,1.5206481795677331,0.8,hypertrophic,hypertrophic,hypertrophic,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Scaf1,SCAF1,,KO_blocks_maturation,0.7169116926004782,0.7169116926004782,0.0,shared,resting,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Prex2,PREX2,,KO_blocks_maturation,0.714114517099111,0.714114517099111,0.0,hypertrophic,hypertrophic,resting,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Adar,ADAR,,KO_promotes_maturation,0.711152581304098,1.511152581304098,0.8,shared,resting,resting,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Zswim4,ZSWIM4,,KO_blocks_maturation,0.7049066249810919,0.7049066249810919,0.0,hypertrophic,hypertrophic,perichondrium,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Ilf3,ILF3,,KO_promotes_maturation,0.70308062504964,1.50308062504964,0.8,proliferative,proliferative,proliferative,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Brpf1,BRPF1,,KO_blocks_maturation,0.7014760018930026,0.7014760018930026,0.0,shared,proliferative,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Stra6,STRA6,,KO_promotes_maturation,0.6981800972611143,1.4981800972611143,0.8,proliferative,proliferative,hypertrophic,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cep95,CEP95,,KO_blocks_maturation,0.6962249769185864,0.6962249769185864,0.0,hypertrophic,proliferative,prehypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mapre3,MAPRE3,,KO_blocks_maturation,0.6953342385121544,0.6953342385121544,0.0,hypertrophic,resting,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Scube3,SCUBE3,,KO_promotes_maturation,0.6952172678796551,1.8952172678796555,1.2000000000000002,hypertrophic,resting,resting,10.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slc9a4,SLC9A4,,KO_blocks_maturation,0.6894237281977456,0.6894237281977456,0.0,hypertrophic,resting,,7.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kif13b,KIF13B,,KO_blocks_maturation,0.6803226640951053,0.6803226640951053,0.0,hypertrophic,resting,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cryl1,CRYL1,,KO_blocks_maturation,0.6716665033121467,0.6716665033121467,0.0,proliferative,resting,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Matn1,MATN1,,KO_promotes_maturation,0.6694190982704951,1.8694190982704952,1.2000000000000002,proliferative,proliferative,proliferative,7.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Abra,ABRA,,KO_blocks_maturation,0.6675756586765412,0.6675756586765412,0.0,proliferative,proliferative,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pak3,PAK3,,KO_blocks_maturation,0.6665532715945752,0.6665532715945752,0.0,proliferative,proliferative,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Me1,ME1,,KO_promotes_maturation,0.6586507783919229,1.458650778391923,0.8,proliferative,proliferative,proliferative,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ppfibp1,PPFIBP1,,KO_blocks_maturation,0.6534918828639971,0.6534918828639971,0.0,hypertrophic,resting,proliferative,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc8a3,SLC8A3,,KO_promotes_maturation,0.6531346187347222,1.4531346187347225,0.8,proliferative,hypertrophic,hypertrophic,4.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Slc38a3,SLC38A3,,KO_promotes_maturation,0.6505654004022614,1.4505654004022617,0.8,shared,proliferative,proliferative,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Rreb1,RREB1,,KO_promotes_maturation,0.6504949015436414,1.4504949015436417,0.8,hypertrophic,hypertrophic,prehypertrophic,16.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Lrriq1,LRRIQ1,,KO_blocks_maturation,0.6454283120304308,0.6454283120304308,0.0,proliferative,,hypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Map4k4,MAP4K4,,KO_promotes_maturation,0.6442703628291633,1.444270362829163,0.8,hypertrophic,hypertrophic,hypertrophic,4.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Adgrb1,ADGRB1,,KO_blocks_maturation,0.642619285717644,0.642619285717644,0.0,proliferative,,,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc9a5,SLC9A5,,KO_promotes_maturation,0.6367340794790939,1.436734079479094,0.8,proliferative,proliferative,proliferative,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smad1,SMAD1,,KO_promotes_maturation,0.6319750181516235,1.4319750181516235,0.8,shared,hypertrophic,hypertrophic,2.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Mvd,MVD,,KO_promotes_maturation,0.6299612757728654,1.4299612757728657,0.8,shared,proliferative,proliferative,1.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Lmbr1l,LMBR1L,,KO_blocks_maturation,0.6256825097475454,0.6256825097475454,0.0,hypertrophic,proliferative,resting,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cep250,CEP250,,KO_promotes_maturation,0.6251922275472197,1.4251922275472195,0.8,shared,hypertrophic,hypertrophic,6.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kif7,KIF7,,KO_promotes_maturation,0.619525871220636,1.419525871220636,0.8,proliferative,hypertrophic,hypertrophic,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ap1m1,AP1M1,,KO_blocks_maturation,0.6174107890152989,0.6174107890152989,0.0,shared,resting,hypertrophic,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Dusp9,DUSP9,,KO_blocks_maturation,0.6111191745638815,0.6111191745638815,0.0,proliferative,hypertrophic,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Slc25a47,SLC25A47,,KO_blocks_maturation,0.6068081331726893,0.6068081331726893,0.0,hypertrophic,resting,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rrbp1,RRBP1,,KO_blocks_maturation,0.6061678557886422,0.6061678557886422,0.0,proliferative,resting,prehypertrophic,8.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Npr3,NPR3,,KO_promotes_maturation,0.6050429025804638,1.4050429025804638,0.8,hypertrophic,proliferative,hypertrophic,53.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Stk39,STK39,,KO_promotes_maturation,0.6041454867978324,1.4041454867978325,0.8,hypertrophic,resting,hypertrophic,5.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sh3d19,SH3D19,,KO_blocks_maturation,0.6022074859058824,0.6022074859058824,0.0,shared,resting,perichondrium,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Fbxw24,FBXW12,,KO_blocks_maturation,0.6017977268890209,0.6017977268890209,0.0,proliferative,hypertrophic,perichondrium,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
