accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE289491	2	Mus musculus	2	p16;p21	Chemotherapy-induced CAR cell senescence disrupts bone homeostasis to induce bone loss	To identify which bone resident cells senesced in response to chemotherapy, we performed scRNA-Seq on bone marrow depleted of CD45+, CD71+, Ter119+, CD31+ cells. Our scRNA-Seq analysis identified seven clusters in both Veh- and Doxo-treated mice: CAR cells, three fibroblast populations, chondrocytes, endothelial cells, and osteoblasts that were identified based on cell specific markers. Next, we assessed the expression of the senescence markers (p16 and p21), cell proliferation marker (Mki67) and SASP factors (IL6, Spp1, Cstb, Serpine1, Mmp3). As expected, we found a down regulation of Mki67 a
GSE297558	4	Mus musculus	2	p21;p53	Inherent tissue homeostasis of the juvenile metaphysis provides a foundation for osteosarcoma development [scRNA-seq]	Osteosarcomas typically arise from the metaphyseal cells of juvenile long bones, in contrast to most cancers that develop in aged individuals. Here, we show that the cyclin-dependent kinase inhibitor p21 is expressed in proliferating osteoblasts within the juvenile metaphysis in response to replication stress. Single-cell RNA sequencing focused on the juvenile metaphysis reveals a hierarchical differentiation trajectory of osteoblast-lineage cells, with active proliferation and DNA damage responses predominantly occurring in immature osteoblasts. We find that proliferation of p21+ osteoblasts 
GSE297564	12	Mus musculus	2	p21;p53	Inherent tissue homeostasis of the juvenile metaphysis provides a foundation for osteosarcoma development [RNA-seq]	Osteosarcomas typically arise from the metaphyseal cells of juvenile long bones, in contrast to most cancers that develop in aged individuals. Here, we show that the cyclin-dependent kinase inhibitor p21 is expressed in proliferating osteoblasts within the juvenile metaphysis in response to replication stress. Single-cell RNA sequencing focused on the juvenile metaphysis reveals a hierarchical differentiation trajectory of osteoblast-lineage cells, with active proliferation and DNA damage responses predominantly occurring in immature osteoblasts. We find that proliferation of p21+ osteoblasts 
GSE333438	2	Mus musculus	2	p21;p53	Inherent tissue homeostasis of the juvenile metaphysis provides a foundation for osteosarcoma development [scRNAseq_p21]	Osteosarcomas typically arise from the metaphyseal cells of juvenile long bones, in contrast to most cancers that develop in aged individuals. Here, we show that the cyclin-dependent kinase inhibitor p21 is expressed in proliferating osteoblasts within the juvenile metaphysis in response to replication stress. Single-cell RNA sequencing focused on the juvenile metaphysis reveals a hierarchical differentiation trajectory of osteoblast-lineage cells, with active proliferation and DNA damage responses predominantly occurring in immature osteoblasts. We find that proliferation of p21+ osteoblasts 
GSE97232	6	Mus musculus	2	e17.5;p21	p21 misexpression in the left growth plates	To study mechanisms of long bone growth regulation, p21 misexpression was induced in the left hindlimb of mouse embryos using an intersectional approach that requires both Cre and (r)tTA activity. Doxycycline was provided to the pregnant female at embryonic day (E)12.5 to activate the transgene, and embryos were collected at E17.5. Distal femur and proximal tibia growth plates were dissected out, keeping left and right separated, deprived of perichondrium and flash frozen. After RNA extraction, mRNA libraries were prepared and all samples were deep sequenced in parallel
GSE115871	60	Homo sapiens	1	p0	Pressure-Driven Mitochondrial Transfer Pipeline Generates Mammalian Cells of Desired Genetic Combinations and Fates	Generating mammalian cells with desired mtDNA sequences is enabling for studies of mitochondria, disease modeling, and potential regenerative therapies. MitoPunch, a high-throughput mitochondrial transfer device, produces cells with specific mtDNA-nDNA combinations by transferring isolated mitochondria from mouse or human cells into primary or immortal mtDNA-deficient (p0) cells. Stable isolated mitochondrial recipient (SIMR) cells isolated in restrictive media permanently retain donor mtDNA and reacquire respiration. However, SIMR fibroblasts maintain a p0-like cell metabolome and transcripto
GSE128532	36	Mus musculus	1	timecourse	Genome wide RNA sequencing to profile response to IL-1 in control and IFT88 depleted cells	Purpose: RNA sequencing across whole genome downstream to IL-1 to investigate scope and nature of effect of IFT88 depletion Method: Control pool treated and IFT88 siRNA pool targeted Fibroblast-like chondrocytes were treated with or without IL-1B 10ng/ml  and RNA collected in triplicate at 0, 1, 2, 4, 8 and 24h. PolyA-selected sequencing libraries were prepared using the TruSeq protocol (Illumina). Libraries were subject to 75bp paired-end sequencing (Illumina HiSeq 4000) to an average depth of 28.5 million read pairs per sample and aligned to mouse genome with Hisat2. Results: Using time-cour
GSE130088	20	Canis lupus familiaris	1	developmental stage	Molecular Profiling of Failed Endochondral Ossification in Mucopolysaccharidosis VII	Mucopolysaccharidosis (MPS) VII is a lysosomal storage disorder characterized by deficient activity of β-glucuronidase, leading to progressive accumulation of incompletely degraded heparan, dermatan and chondroitin sulfate glycosaminoglycans (GAGs). Patients with MPS VII exhibit progressive skeletal deformity including kyphoscoliosis and joint dysplasia, which decrease quality of life and increase mortality. Previously, using the naturally-occurring canine model, we demonstrated that one of the earliest skeletal abnormalities to manifest in MPS VII is failed initiation of secondary ossificatio
GSE132894	6	Mus musculus	1	aging	Genome-wide transcriptomic analysis of CRY2-KO and WT mouse articular cartilage	OBJECTIVES: Abnormal chondrocyte gene expression promotes osteoarthritis (OA) pathogenesis. RNA-sequencing revealed that circadian rhythm pathway and expression of core clock protein cryptochrome 2 (Cry2) are dysregulated in human OA cartilage. Here we determined expression patterns and function Cry1 and Cry2. METHODS: Cry mRNA and protein expression was analyzed in normal and OA human and mouse cartilage. Mice with deletion of Cry1 or Cry2 were analyzed for severity of experimental OA and to determine genes and pathways that are regulated by CRY. RESULTS: In human OA cartilage, CRY2 but not C
GSE142831	7	Homo sapiens	1	p62	Sacrificial cell death of adipose mesenchymal stem cells by autophagy facilitates cartilage formation in co-cultures with chondrocytes	Objective: Cartilage formation is stimulated in mixtures of chondrocytes and human adipose-derived mesenchymal stem cells (MSCs) both in vitro and in vivo. During co-culture, human MSCs perish through an unknown process.  The goal of this study is to elucidate the mechanism by which adipose tissue-derived MSC cell death occurs in the presence of chondrocytes.   Methods: Human primary chondrocytes were co-cultured with human MSCs derived from three donors. The cells were cultured in mono-culture or co-culture (20% chondrocytes and 80% MSCs) in pellets (200.000 cell/pellet) for 7 days in chondro
GSE146111	8	Mus musculus	1	postnatal day	β-catenin inhibits adipogenic differentiation of hypertrophic chondrocytes and promote osteogenesis	It has been shown that hypertrophic chondrocyte (HC) can become osteoblast, contributing to the formation of trabecular bone and endosteum. However, it is unclear what genes regulate the process of differentiation from chondrocyte to osteoblast. Conditional knock-out of β‑catenin in HCs can reduce the trabecular bone amount and there is also some evidence that ablation of β‑catenin in HCs can promote bone marrow adipogenesis. Conditional stabilization of β‑catenin in HCs results in osteopetrosis. In order to investigate the gene regulatory network with different dosage of β‑catenin in HC desce
GSE146349	6	Mus musculus	1	age 1	Adenosine A2A Receptor Null Chondrocyte Transcriptome Resembles that of Human Osteoarthiris Chodnrocytes	Osteoarthritis (OA) is a highly prevalent and morbid disease affecting over 30 million Americans. Effective drugs and treatments to halt the progression or reverse OA pathogenesis are not available, creating a need for translational research in the field. The A2AR null mouse is an important animal model for the understanding of disease pathogenesis and the development of novel therapies. We have previously shown that these mice develop OA spontaneously by age 16 weeks and that liposomal adenosine is able to reverse established OA in animal models of post-traumatic OA and overbearing/overweight
GSE150411	18	Homo sapiens	1	time course	Transcriptional response of fibronectin fragment treatment in human articular chondrocytes	Objective: Fibronectin is a matrix protein that is fragmented during cartilage degradation in osteoarthritis (OA). Treatment of chondrocytes with fibronectin fragments (FN-f) has been used to model OA in vitro, but the system has not been fully characterized. This study sought to define the transcriptional response of chondrocytes to FN-f, and directly compare it to responses traditionally observed in OA. Design: Normal human femoral chondrocytes isolated from tissue donors were treated with either FN-f or PBS (control) for 3, 6, or 18 hours. RNA-seq libraries were compared between time-matche
GSE157433	12	Mus musculus	1	5-day-old	RNA-seq of Runx3 cKO SFZ/DZ chondrocytes.	Purpose: To demonstrate Runx3's association with organizing the extracellular matrix in SFZ/DZ chondrocytes. Method: RNA samples were collected from SFZ/DZ chondrocytes of 5-day-old Col2a1-Cre;Runx3fl/fl and Runx3fl/fl mice. Results: 18 genes were up- or down-regulated by more than 2-fold in the Runx3 knockout in SFZ. Conclusions: However, genes organizing the extracellular matrix were down-regulated in Runx3 cKO DZ chondrocytes.
GSE165084	8	Mus musculus	1	5-day-old	RNA-seq of Runx2 cKO primary chondrocytes.	Purpose: To demonstrate Runx2's association with organizing the extracellular matrix in primary chondrocytes.  Method: RNA samples were collected from primary chondrocytes of 5-day-old Col2a1-CreERT2;Runx2fl/fl and Runx2fl/fl mice, cultured with or without IL-1beta.  Results: Thirty-three genes cultured without IL-1beta and 45 genes with IL-1beta were up- or down-regulated by more than 2-fold in the Runx2 knockout in primary chondrocytes.  Conclusions: Genes including collagen fibers were down-regulated in Runx2 cKO primary chondrocytes.
GSE165219	6	Rattus norvegicus	1	p53	RIP1 perturbation induces chondrocyte necroptosis and promotes osteoarthritis pathogenesis	Receptor-interacting protein kinase 1 (RIP1)-mediated necroptosis plays a vital role in various diseases, but the involvement of RIP1 and its functional mechanism in osteoarthritis pathogenesis remains largely unknown. To identify molecular targets of RIP1 in chondrocytes, RNA sequencing was performed in chondrocytes treated with adenovirus expressing RIP1 or vector control. We found that 9857 genes were differentially expressed in chondrocytes after RIP1 overexpression. GO analysis indicated that DNA replication, chromosome segregation and regulation of cell cycle process were upregulated, wh
GSE169383	7	Mus musculus	1	3-week-old	Next Generation Sequencing of Transcriptomes from Murine Articular Chondrocytes Treated with TGFb1 and BMP2 [RNA-seq]	Murine articular chondrocytes were isolated from femoral heads of 3-week-old wild-type C57BL/6J pups as described (Gosset et al., 2008) with modifications. Following digestion, chondrocytes were harvested and cultured in complete high-glucose Dulbecco’s modified Eagle’s medium (DMEM; Gibco; #31053028) supplemented with 10% fetal bovine serum (FBS; Gibco; #10437), 2 mM L-Glutamine (Gibco; #A2916801), and 1% penicillin/streptomycin. Primary chondrocytes were seeded at a density of 50 x 104 cells/well in 12-well plates and treated with vehicle, 5 ng/ml TGFβ1 (R&D Systems; #240-B-010) and 100ng/ml
GSE173204	2	Mus musculus	1	1-month-old	Single cell RNA-seq analysis links respiratory dysfunction to an extracellular matrix-specific damage response in cartilage	Energy metabolism and extracellular matrix function are closely connected to orchestrate and maintain tissue organization, but the crosstalk is poorly understood. Here, we used scRNA-seq analysis to uncover the importance of respiration for extracellular matrix homeostasis in mature cartilage. A combined approach of high-resolution single cell RNA sequencing, mass spectrometry/matrisome analysis and atomic force microscopy was applied to mutant mice with cartilage-specific inactivation of respiratory chain function. Genetic inhibition of respiration in cartilage results in the expansion of a c
GSE178090	6	Mus musculus	1	aging	The long noncoding RNA ELDR serves as an epigenetic driver in aging and injury-induced chondrocyte senescence [chondrocytes part1]	Using  large-scale patient data sets and genetically engineered (inducible conditional knockout and knockin) mouse models, we show that a novel transcript of long noncoding RNA ELDR is essential for the development of chondrocyte senescence.
GSE178091	6	Mus musculus	1	aging	The long noncoding RNA ELDR serves as an epigenetic driver in aging and injury-induced chondrocyte senescence [chondrocytes part2]	Using  large-scale patient data sets and genetically engineered (inducible conditional knockout and knockin) mouse models, we show that a novel transcript of long noncoding RNA ELDR is essential for the development of chondrocyte senescence.
GSE181355	2	Homo sapiens	1	aging	Identification of the key epigenetic determinants of chondrocyte aging in humans (Single cell-seq)	Articular chondrocytes undergo functional changes and their regenerative potential declines with age. Although the molecular mechanisms guiding articular cartilage aging is poorly understood, DNA methylation is known to play a mechanistic role in aging. However, our understanding of DNA methylation in chondrocyte development across human ontogeny is limited. To better understand DNA methylome changes, methylation profiling was performed in human chondrocytes. This study reveals association between methylation of specific CpG sites and chondrocyte age. We also determined the putative binding ta
GSE181356	17	Homo sapiens	1	aging	Identification of the key epigenetic determinants of chondrocyte aging in humans	This SuperSeries is composed of the SubSeries listed below.
GSE189337	6	Rattus norvegicus	1	5-week-old	Chronic sleep deprivation impaired bone formation in growing rats via down-regulating PI3K/AKT Signaling	Background: This study aimed to assess the effects of chronic sleep deprivation (CSD) on bone metabolism in growing rats and the likely underlying mechanism. Methods: Twenty 5-week-old male Wistar rats and randomly divided into the CSD and normal control (NC) groups after one-week acclimatization. After a 6-week intervention of sleep deprivation, the left distal femurs of both groups were harvested for micro-computed tomography scans and histological analysis. Meanwhile, the right femur were measured the mRNA and protein expression via RNA sequencing and western blot. Serum bone turnover marke
GSE189528	6	Mus musculus	1	14-day old	Comparative transcriptomic analysis of the proximal tibial growth plates of 14-day old Longshanks and wildtype mice	This study was undertaken to uncover the molecular pathways that underlie differences among individuals in rates of longitudinal growth and mature length of the long bones in a rodent model. To do so, the transcriptomic profiles of the proximal epiphyses of 14-day old CD-1 wildtype mice and the Longshanks mice were compared. The Longshanks mouse was selectively bred for longer tibiae in relation to body mass (see Marchini et al 2014 – BMC Evol Biol 14:258). Over 13 generations, Longshanks tibiae were 11-12% longer compared to random-bred wildtype mice (hereafter Controls) from the same  geneti
GSE190616	1	Mus musculus	1	e16.5	Collagen10-Cre;Rosa26-tdTomato e16.5 single cell RNA-sequencing	In order to assess the descendants of hypertrophic chondrocytes, we utilized Collagen10-Cre;Rosa26-tdTomato mouse total bone isolated at e16.5 by Collagenase II digestion after mechanical digestion and soft tissue removal. After sequencing and downstream analysis using Seurat, we observed clusters of cells with gene profiles matching classically defined chondrocytes, skeletal stem and progenitor cells (SSPCs), and osteoblasts. Trajectory analysis reveals that the SSPCs lie intermediate to the transition of chondrocyte to osteoblast. We conclude that hypertrophic chondrocytes dedifferentiate to
GSE192933	6	Mus musculus	1	12-week-old	WT versus Girk3-/- Chondrocytes	Long bones are formed and repaired through the process of endochondral ossification. Activation of G protein coupled receptor (GPCR) signaling regulates skeletal development and long bone growth. G protein-coupled Inward-Rectifying potassium (K+) channel (GIRK) genes are key functional components of the GPCR in excitable tissues (e.g., neurons and cardiomyocytes) but their roles in the non-excitable cells that directly contribute to endochondral bone formation have not been studied. In this study we analyzed skeletal phenotypes of Girk2-/-, Girk3-/- and Girk2/3-/- mice. Bones from 12-week-old 
GSE197283	6	Mus musculus	1	e18.5	Hnrnpk orchestrates embryonic growth plate development via regulating glycolysis	Here we show a multifunctional protein, Hnrnpk, is essential for preventing excessive apoptosis and premature differentiation of growth plate chondrocytes. These datas were the RNA-seq of E18.5 growth plate chondrocytes with or without Hnrnpk.
GSE197363	4	Mus musculus	1	3-week-old	RNA Sequencing Analyzes Chondrocyte Transcriptomes of Wild-type, miR-26a -/- and Cartilage-specific miR-23a/b clusters Knockout Mice	To reveal the potential regulation target genes of miR-26a and miR-23a/b clusters in articular chondrocytes, we performed RNA-seq using RNA samples from cultured chondrocytes, which were primarily isolated from 3-week-old wild-type, miR-26a -/- or miR-23a/b cluster flox/flox;Col2a1-cre mice. Single-read libraries were prepared and sequenced by Illumina Nextseq 500. Proteins from the same sample were extracted for LC-MS/MS analysis. After data processing, differential expressed genes were screened out for exploring potential miRNA regulation targets.
GSE201396	5	Homo sapiens	1	ageing	bulk RNA-seq of human nucleusus pulposus from disc-degenerated patients	Failure of the nucleus pulposus (NP) causes intervertebral disc (IVD) disease and associated low-back pain, which are highly prevalent among the aged populations. Molecular and cellular changes underpinning the structural failures in age-associated IVD diseases (IDDs) remain poorly elucidated. Here, we first identified that TAGLN, which encodes the cytoskeleton regulator transgelin, was transcribed in healthy NPs of both human and mouse, but diminished with ageing. Immunostaining showed that TAGLN were expressed on the peripheral of mouse NP (periNP). Lineage analyses in Tagln-CreERT2 mice sho
GSE201603	6	Mus musculus	1	e18.5	Col2a1-Cre;Idh1LSL/+ embryonic growth plate  - Bulk RNA-sequencing	As another method to determine differences between Idh1 mutant and control growth plates, we used Bulk RNA sequencing.  Three E18.5 growth plates from our Idh1 mutant mice and three control mice were studied.  Differential gene expression analysis revealed genes that were  expressed in the distinct clusters, further supporting our single cell RNA data.
GSE201605	6	Mus musculus	1	e18.5	Col2a1-Cre;Idh1LSL/+ embryonic growth plate chondrocytes - single cell RNA-sequencing	To determine differences between Idh1 mutant and control growth plates, we used scRNA sequencing. Three E18.5 growth plates from our Idh1 mutant mice and three control mice were studied. Differential gene expression analysis revealed genes that were expressed in the distinct clusters.
GSE201779	140	Homo sapiens	1	time course	Curcuma longa and Boswellia serrata extracts modulate different and complementary pathways on human chondrocytes in vitro: deciphering of a transcriptomic study	Objectives: Curcuma longa (CL) and Boswellia serrata (BS) extracts are used to relieve osteoarthritis symptoms. The aim of this in vitro study was to investigate their mechanisms of action at therapeutic plasmatic concentrations on primary human osteoarthritic (OA) chondrocytes.Methods: BS (10-50 µg/mL) and CL (0.4-2 µg/mL corresponding to 1-5 µM of curcumin) were evaluated separately or in combination on primary chondrocytes isolated from 17 OA patients and cultured in alginate beads. 10 patients were used for RNA-sequencing analysis. Proteomic confirmation was performed either by immunoassay
GSE205945	5	Mus musculus	1	postnatal day	Gene expression profile at single cell level of hindlimb bones from postnatal day 7.5 mice that label hypertrophic chondrocytes and their progeny by Col10a1-Cre;ROSA-ZsGreen.	Hypertrophic chondrocytes are considered as a key contributor to bone formation. We used single cell RNA sequencing (scRNA-seq) to analyze the diversity of hypertrophic chondrocytes and their progeny.
GSE207240	4	Mus musculus	1	aging	Premature aging of skeletal stem/progenitor cells rather than osteoblasts causes bone loss with mechanosensation decline	Distinct skeletal stem/progenitor cells (SSPCs) have been identified in the bone marrow, growth plate, and periosteum, which are indispensable for the maintenance and remodeling of the adult skeleton. However, the decline of which cell types are responsible for age-related bone loss and what characteristic changes of these cells during aging remain to be determined. Here, we constructed premature skeletal aging models by depleting metalloproteinase Zmpste24 (Z24) in mice and found that  Prx1-dependent, but not Osx-dependent, Z24 deletion caused significant bone loss. Single-cell RNA sequencing
GSE209578	6	Mus musculus	1	10 week old	Effect of adseverin deletion on gene expression in the articular cartilage of 10 week old mice	To investigate the alterations in the transcriptome profile due to adseverin deletion in articular chondrocytes, differential gene expression profiling analysis was performed using data obtained from RNA sequencing of articular chondrocytes in the native cartilage of 10 week old mice
GSE210826	21	Homo sapiens	1	ageing	HU308 Mitigates Osteoarthritis by Stimulating Sox9-Related Networks of Carbohydrate Metabolism	Osteoarthritis (OA) is characterized by progressive, irreversible erosion of articular cartilage accompanied with severe pain and immobility. This study aimed to assess the effect and mechanism of action of HU308- a selective cannabinoid receptor type 2 (CB2) agonist, in potentially preventing OA-related joint damage. To test this assumption, Cn2r null mice and WT mice were aged to reach 20 months, and analyzed for joint structural  features.  OA was induced in Wild type (WT) mice via ageing or post-traumatic procedure, followed by HU308 systemic (intraperitoneal) or local (intra-articular) ad
GSE219215	42	Homo sapiens	1	developmental stage	Human iPSC can be differentiated in vitro to articular cartilage or to osteogenic organoids via the endochondral ossification transdifferentiation pathway	The ability to generate chondrocytes and osteoblasts from induced pluripotent stem cells (iPSCs) will provide insights into skeletal development and genetic skeletal disorders and generate cells for regenerative medicine applications. Here we describe a method that directs iPSC-derived sclerotome to chondroprogenitors in 3D pellet culture then to articular chondrocytes or, alternatively, along the growth plate cartilage pathway to become hypertrophic chondrocytes that can transdifferentiate to osteoblasts. Osteogenic organoids deposit and mineralize a collagen I extracellular matrix (ECM), mir
GSE221483	8	Mus musculus	1	3-week-old	Next Generation Sequencing of Transcriptomes from Murine Articular Chondrocytes Treated with IL-1     [Bulk RNA-seq]	Murine articular chondrocytes were isolated as previously described (Gosset et al., 2008) with modifications. Briefly, articular cartilages were dissected from femoral heads of 3-week-old wild-type C57/BL6J mice and digested for 4-6 hours in 0.5 mg/mL collagenase P (Roche, # 11249002001) in high-glucose DMEM (Thermo Fisher Scientific, #10569010) supplemented with 1% penicillin/streptomycin. Following digestion, cells were collected and seeded at a density of 50 x 104 cells/well in 12-well plates. The next day, cells were treated with IL-1     (1 ng/mL) (R&D Systems, #201-LB-005) for 24 hours. 
GSE223750	80	Mus musculus	1	p21	The gelatinases, matrix metalloproteinases 2 and 9, play individual roles in skeleton development	The gelatinases, a subgroup of the matrix metalloproteinases (MMPs) superfamily are composed of two members; MMP2 and MMP9. They are known to degrade gelatin among other components of the extracellular matrix. Recently, the two gelatinases were found to be necessary for neural crest cell migration and to compensate for each other loss in these cells. To characterize their involvement in the skeletal system, and to better reveal their individual or common roles, we have generated double knockout (dKO) mice, lacking both MMP2 and MMP9. The transcriptome of calvaria, growth plate and femoral cort
GSE223751	7	Mus musculus	1	postnatal day	Single-cell RNA sequencing reveals cellular and molecular heterogeneity in fibrocartilaginous enthesis formation	The attachment site of the rotator cuff (RC) is a classic fibrocartilaginous enthesis, which is the junction between bone and tendon with typical characteristics of a fibrocartilage transition zone. Enthesis development has historically been studied with lineage tracing of individual genes selected a priori, which does not allow for the determination of single-cell landscapes yielding mature cell types and tissues. Here, in together with open source GSE182997 datasets (3 sample) provided by Fang et al, we applied Single-cell RNA sequencing (scRNA-seq) to delineate the comprehensive postnatal R
GSE225796	4	Mus musculus	1	developmental stage	Genes with specificity for expression in the round cell layer of the growth plate are enriched in genomewide association study (GWAS) of human height	Human adult height reflects the outcome of childhood skeletal growth. Growth plate (epiphyseal) chondrocytes are key determinants of height. As epiphyseal chondrocytes mature and proliferate, they pass through three developmental stages, which are organized into three distinct layers in the growth plate: (i) resting (round), (ii) proliferative (flat), and (iii) hypertrophic. Recent genomewide association studies (GWASs) of human height identified numerous associated loci, which are enriched for genes expressed in growth plate chondrocytes. However, it remains unclear which specific genes expre
GSE231795	10	Mus musculus	1	postnatal day	Altered cartilage gene expression in Aga2 OI mouse negatively impacts linear growth through Sox9 and FGF signaling	Osteogenesis Imperfecta is characterized by short stature however the cellular mechanisms behind this phenotype are unclear. We isolated tibial and femoral cartilage growth plate chondrocytes from postnatal day 5 wild type and Aga2 (a model of OI) mice and analyzed differential expression patterns using single cell RNA-seq
GSE234112	24	Mus musculus	1	ageing	Effect of different hydrostatic pressures on mouse metatarsal and hip cartilage tissues	Chondrocytes are subject to continuous loads placed upon them throughout development and physical activity. Normal physiological loads enable the maintenance of the articular cartilage health, however abnormal loads contribute to pathological joint ageing. Similarly, the growth plate cartilage is exposed to a number of loads during growth and development. Due to the high-water content of cartilage, hydrostatic pressure is considered one of the main biomechanical influences on chondrocytes and it plays an important role in the mechanoregulation of cartilage. Therefore in this study we conducted
